Gene ID	Description	Functional class	Comment	DENV SG (log2-fold)
AAEL006953	conserved hypothetical protein	CS		4.019
AAEL009219	predicted protein	CS		1.557
AAEL002495	conserved hypothetical protein	CS	Mucin-like peritrophin	1.531
AAEL004616	actin	CS		1.009
AAEL004798	conserved hypothetical protein	CS	Mucin-like peritrophin	0.849
AAEL001196	cadherin	CS		0.777
AAEL004157	hypothetical protein	CS		-0.79
AAEL005772	odorant-binding protein 99c, putative	CSR		1.382
AAEL007603	odorant-binding protein 56a, putative	CSR		0.922
AAEL008157	conserved hypothetical protein	CSR		0.777
AAEL000124	conserved hypothetical protein	CSR		-1.15
AAEL005449	protein kinase c alpha binding protein	DIV		6.946
AAEL004407	allergen, putative	DIV		1.851
AAEL000738	conserved hypothetical protein	DIV		1.772
AAEL007186	conserved hypothetical protein	DIV		1.587
AAEL012856	hypothetical protein	DIV		1.438
AAEL012532	tetraspanin 29fb	DIV		1.414
AAEL010207	sulfakinin receptor (dsk-r1)	DIV		1.356
AAEL005543	conserved hypothetical protein	DIV		1.349
AAEL000551	hypothetical protein	DIV		1.321
AAEL005289	ornithine aminotransferase	DIV		1.251
AAEL008789	apolipophorin-III, putative	DIV		1.232
AAEL005875	ionotropic glutamate receptor-invertebrate	DIV		1.186
AAEL009579	NBP2b protein, putative	DIV		1.084
AAEL014192	conserved hypothetical protein	DIV		1.078
AAEL005536	tetraspanin 29fb	DIV		0.998
AAEL005978	conserved hypothetical protein	DIV		0.992
AAEL007905	hypothetical protein	DIV		0.977
AAEL005432	conserved hypothetical protein	DIV		0.937
AAEL012866	conserved hypothetical protein	DIV	Acetyltransferase (GNAT) family domain	0.913
AAEL005903	UDP-glucuronosyltransferase, putative	DIV		0.906
AAEL011448	conserved hypothetical protein	DIV		0.897
AAEL010123	equilibrative nucleoside transporter	DIV		0.897
AAEL002510	serine hydroxymethyltransferase	DIV		0.891
AAEL005336	d-3-phosphoglycerate dehydrogenase	DIV		0.876
AAEL007218	conserved hypothetical protein	DIV		0.876
AAEL003568	threonine dehydratase/deaminase	DIV		0.867
AAEL003728	conserved hypothetical protein	DIV	Ankyrin repeats	0.866
AAEL005833	cytosolic purine 5-nucleotidase	DIV		0.859
AAEL002840	conserved hypothetical protein	DIV		0.85
AAEL014128	hypothetical protein	DIV		0.835
AAEL006820	lipid storage droplets surface binding protein 2 (lsd2)	DIV		0.807
AAEL015485	seven in absentia, putative	DIV		0.802
AAEL000102	conserved hypothetical protein	DIV		0.8
AAEL003606	purine biosynthesis protein 6, pur6	DIV		0.789
AAEL001100	phosphoserine phosphatase	DIV		0.785
AAEL010231	conserved hypothetical protein	DIV		-0.944
AAEL001879	conserved hypothetical protein	DIV		-0.893
AAEL006259	rhodopsin	DIV		-0.832
AAEL010352	hypothetical protein	DIV		-0.802
AAEL004369	alpha-glucosidase	DIG		1.857
AAEL000647	predicted protein	DIG		1.364
AAEL000667	alpha-amylase	DIG		1.119
AAEL000392	alpha-amylase	DIG		0.982
AAEL006181	amidase	DIG		0.908
AAEL013421	alpha-amylase	DIG		0.776
AAEL009760	Niemann-Pick Type C-2, putative	IMM	MD2-like	2.125
AAEL015136	Niemann-Pick Type C-2, putative	IMM	MD2-like	1.595
AAEL007585	cathepsin b	IMM		1.49
AAEL012216	cathepsin b	IMM		1.195
AAEL015312	cathepsin b	IMM		1.131
AAEL009680	chymotrypsin, putative	IMM		1.104
AAEL011641	transferrin	IMM		1.002
AAEL006702	fibrinogen and fibronectin	IMM		0.985
AAEL002295	leucinech transmembrane protein	IMM		0.965
AAEL003821	hypothetical protein	IMM		-0.888
AAEL000611	antibacterial peptide, putative	IMM		-0.885
AAEL000625	antibacterial peptide, putative	IMM		-0.884
AAEL006041	conserved hypothetical protein	IMM	leucine-rich repeats	1.022
AAEL013568	conserved hypothetical protein	IMM		0.911
AAEL014906	LAP4 protein, putative (Scribble protein, putative)	IMM		0.865
AAEL014871	methylenetetrahydrofolate dehydrogenase	MET		1.918
AAEL010751	methylenetetrahydrofolate dehydrogenase	MET		1.694
AAEL010678	conserved hypothetical protein	MET		1.63
AAEL010758	hypothetical protein	MET		1.532
AAEL000006	phosphoenolpyruvate carboxykinase	MET		1.496
AAEL013717	sphingomyelin phosphodiesterase	MET		1.349
AAEL013723	polypyrimidine tract binding protein	MET		1.05
AAEL014553	triacylglycerol lipase, pancreatic	MET		1.045
AAEL012425	sterol desaturase	MET		1.008
AAEL012341	lysosomal acid lipase, putative	MET		1.007
AAEL002413	sphingomyelin phosphodiesterase	MET		0.984
AAEL004728	5-methyltetrahydrofolate:homocysteine methyltransferase	MET		0.928
AAEL004504	valacyclovir hydrolase	MET		0.87
AAEL012430	AMP dependent ligase	MET		0.839
AAEL014452	acyl-coa dehydrogenase	MET		0.804
AAEL007555	acyl-coa dehydrogenase	MET		0.802
AAEL012439	enoyl-CoA hydratase, putative	MET		0.794
AAEL011144	triacylglycerol lipase, pancreatic	MET		-0.95
AAEL010782	carboxypeptidase	PROT		1.559
AAEL009244	serine-type enodpeptidase, putative	PROT		1.281
AAEL001693	serine-type enodpeptidase, putative	PROT		1.053
AAEL012783	protease m1 zinc metalloprotease	PROT		0.79
AAEL007046	mitochondrial brown fat uncoupling protein	RSM		1.906
AAEL009131	cytochrome P450	RSM		1.761
AAEL007669	oxidoreductase	RSM		1.499
AAEL010382	aldehyde oxidase	RSM		1.298
AAEL014616	cytochrome P450	RSM		1.237
