S.No.	Entrez Gene	Gene Symbol	Gene Title	RefSeq Transcript ID	Fold change	Regulation
1	10537	UBD	ubiquitin D	NM_001470	26.07	up
2	5328	PLAU	plasminogen activator, urokinase	NM_001145031	19.66	up
3	5645	PRSS2	protease, serine, 2 (trypsin 2)	NM_002770	14.84	up
4	330	BIRC3	baculoviral IAP repeat-containing 3	NM_001165	13.51	up
5	5644	PRSS1	protease, serine, 1 (trypsin 1)	NM_002769	13.24	up
6	4050	LTB	lymphotoxin beta (TNF superfamily, member 3)	NM_002341	12.98	up
7	7128	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	NM_006290	12.85	up
8	154754	PRSS1 /// TRY6	protease, serine, 1 (trypsin 1)	NM_002769	12.56	up
9	7262	PHLDA2	pleckstrin homology-like domain, family A, member 2	NM_003311	10.51	up
10	10148	EBI3	Epstein-Barr virus induced 3	NM_005755	9.9	up
11	4914	NTRK1	neurotrophic tyrosine kinase, receptor, type 1	NM_001007792	9.51	up
12	6352	CCL5	chemokine (C-C motif) ligand 5	NM_002985	9.42	up
13	4792	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NM_020529	8.33	up
14	2015	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	NM_001974	8.1	up
15	355	FAS	Fas (TNF receptor superfamily, member 6)	NM_000043	7.94	up
16	972	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	NM_001025158	7.02	up
17	3117	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	NM_002122	6.73	up
18	259307	IL4I1	interleukin 4 induced 1	NM_152899	6.58	up
19	51700	CYB5R2	cytochrome b5 reductase 2	NM_016229	6.44	up
20	1543	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	NM_000499	6.01	up
21	25907	TMEM158	transmembrane protein 158	NM_015444	5.81	up
22	7273	TTN	Titin	NM_003319	5.21	up
23	84033	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	NM_001098623	5.17	up
24	7412	VCAM1	vascular cell adhesion molecule 1	NM_001078	5.07	up
25	9294	S1PR2	sphingosine-1-phosphate receptor 2	NM_004230	5.03	up
26	5971	RELB	v-rel reticuloendotheliosis viral oncogene homolog B	NM_006509	4.97	up
27	5996	RGS1	regulator of G-protein signaling 1	NM_002922	4.97	up
28	9308	CD83	CD83 molecule	NM_001040280	4.94	up
29	3383	ICAM1	intercellular adhesion molecule 1	NM_000201	4.93	up
30	25801	GCA	grancalcin, EF-hand calcium binding protein	NM_012198	4.92	up
31	9235	IL32	interleukin 32	NM_001012631	4.81	up
32	8651	SOCS1	suppressor of cytokine signaling 1	NM_003745	4.75	up
33	11226	GALNT6	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6	NM_007210	4.7	up
34	1999	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	NM_001114309	4.68	up
35	3109	HLA-DMB	major histocompatibility complex, class II, DM beta	NM_002118	4.5	up
36	115019	SLC26A9	solute carrier family 26, member 9	NM_001142600	4.49	up
37	3561	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	NM_000206	4.48	up
38	4261	CIITA	class II, major histocompatibility complex, transactivator	NM_000246	4.34	up
