Gene bank Name	Fold accession number	Chromosome increase	location	Gene description	Function
SREBF2	NM_004599	?2.56	22q13	Sterol regulatory element binding transcription factor 2	Transcription factor
POU4F2	NM_004575	?1.77	4q31.2	POU class 4 homeobox 2	Transcription factor
RAB26	NM_014353	?2.49	16p13.3	Member RAS oncogene family	Transcription factor
TFAM	NM_003201	?1.40	10q21	Transcription factor A, mitochondrial	Transcription factor
MYBL2	NM_002466	?1.19	20q13.12	V-myb myeloblastosis viral oncogene homolog (avian)-like 2	Transcription factor
DEK	NM_003472	?1.52	6p22.3	DEK oncogene, DNA binding	Transcription factor
IRS1	NM_005544	?2.08	2q36.3	Insulin receptor substrate 1	Transcription factor
ABL2	NM_007314	?1.22	1q25.2	V-abl Abelson murine leukemia viral oncogene homolog 2	Transcription factor
SERBP1	NM_001018067	?1.72	1p31.3	SERPINE1 MRNA binding protein 1	Transcription factor
TGFB2	NM_001135599	?2.02	1q41	Transforming growth factor, beta 2	Angiogenesis
EGFL7	NM_201446	?2.30	9q34.3	EGF-like-domain, multiple 7	Angiogenesis
PGK1	NM_000291	?1.32	Xq21.1	Phosphoglycerate kinase 1	Angiogenesis
IGFBP2	NM_000597	?2.1	2q35	Insulin-like growth factor binding protein 2	Angiogenesis
NTRK1	NM_002529	?2.24	1q23.1	Neurotrophic tyrosine kinase, receptor, type 1	Angiogenesis
ANAPC7	NM_016238	?1.32	12q24.11	Anaphase promoting complex subunit 7	Cell cycle and differentiation
CDC2	NM_001786	?1.66	10q21.1	Cyclin division cycle 2	Cell cycle and differentiation
SKP2	NM_032637	?2.11	5p13	S-phase kinase-associated protein 2	Cell cycle and differentiation
CCNE2	NM_057749	?1.52	8q22.1	Cyclin E2	Cell cycle and differentiation
CCNH	NM_001239	?1.04	5q13.3-q14	Cyclin H	Cell cycle and differentiation
MYB	NM_005375	?1.64	6q22-q23	V-myb myeloblastosis viral oncogene homolog	Cell cycle and differentiation
MAD2L1	NM_002358	?1.80	4q27	MAD2 mitotic arrest deficient-like 1	Cell cycle and differentiation
MCM7	NM_182776	?2.09	7q21.3-q22.1	Minichromosome maintenance complex component 7	Cell cycle and differentiation
CCNF	NM_001761	?1.84	16p13.3	Cyclin F	Cell cycle and differentiation
NEK2	NM_002497	?1.44	1q32.2-q41	NIMA (never in mitosis gene a)-related kinase 2	Cell cycle and differentiation
NSL1	NM_015471	?1.29	1q41	NSL1, MIND kinetochore complex component, homolog	Cell cycle and differentiation
KIF20A	NM_005733	?1.36	5q31.2	Kinesin family member 20A	Cell cycle and differentiation
KIF14	NM_014875	?1.89	1q32.1	Kinesin family member 14	Cell cycle and differentiation
ICAM5	NM_003259	?1.74	19p13.2	Intercellular adhesion molecule 5	Cell adhesion
CITED1	NM_004143	?1.01	Xq13.1	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1	Cell adhesion
CRKL	NM_005207	?1.65	22q11.21	V-crk sarcoma virus CT10 oncogene homolog (avian)-like	Cell adhesion
PPARA	NM_001001928	?1.31	22q13.31	Peroxisome proliferator activated receptor	Cell adhesion
LAMA1	NM_005559	?1.61	18p11.31	Laminin, alpha 1	Cell migration
PPIA	NM_021130	?1.46	7p13	Peptidylprolyl isomerase A	Cell migration
YBX1	NM_004559	?1.09	1p34.2	Y box binding protein 1	Cell migration
BFAR	NM_016561	?1.49	16p13.12	Bifunctional apoptosis regulator	Anti-apoptosis
BAG4	NM_004874	?1.52	8p12	BCL2-associated athanogene 4	Anti-apoptosis
