# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_004891|NM_004891	hgnc_symbol|MRPL33|MRPL33
refseq_dna|NM_032479|NM_032479	hgnc_symbol|MRPL36|MRPL36
refseq_dna|NM_016071|NM_016071	hgnc_symbol|MRPS33|MRPS33
refseq_dna|NM_004280|NM_004280	hgnc_symbol|EEF1E1|EEF1E1
refseq_dna|NM_022839|NM_022839	hgnc_symbol|MRPS11|MRPS11
refseq_dna|NM_000991|NM_000991	hgnc_symbol|RPL28|RPL28
refseq_dna|NM_001001|NM_001001	hgnc_symbol|RPL36AL|RPL36AL
refseq_dna|NM_001017|NM_001017	hgnc_symbol|RPS13|RPS13
entrezgene|BC104478|6144	hgnc_symbol|RPL21|RPL21
refseq_dna|NM_001032|NM_001032	hgnc_symbol|RPS29|RPS29
entrezgene|M36647|7388	hgnc_symbol|UQCRH|UQCRH
refseq_dna|NM_001003703|NM_001003703	hgnc_symbol|ATP5J|ATP5J
refseq_dna|NM_004545|NM_004545	hgnc_symbol|NDUFB1|NDUFB1
refseq_dna|NM_002489|NM_002489	hgnc_symbol|NDUFA4|NDUFA4
refseq_dna|NM_005175|NM_005175	hgnc_symbol|ATP5G1|ATP5G1
refseq_dna|NM_006004|NM_006004	hgnc_symbol|UQCRH|UQCRH
refseq_dna|NM_000251|NM_000251	hgnc_symbol|MSH2|MSH2
refseq_dna|NM_006476|NM_006476	hgnc_symbol|ATP5L|ATP5L
refseq_dna|NM_007100|NM_007100	hgnc_symbol|ATP5I|ATP5I
refseq_dna|NM_005900|NM_005900	hgnc_symbol|SMAD1|SMAD1
refseq_dna|NM_080632|NM_080632	hgnc_symbol|UPF3B|UPF3B
refseq_dna|NM_012433|NM_012433	hgnc_symbol|SF3B1|SF3B1
refseq_dna|NM_018061|NM_018061	hgnc_symbol|PRPF38B|PRPF38B
refseq_dna|NM_032905|NM_032905	hgnc_symbol|RBM17|RBM17
refseq_dna|NM_005777|NM_005777	hgnc_symbol|RBM6|RBM6
refseq_dna|NM_019103|NM_019103	hgnc_symbol|ZMAT5|ZMAT5
refseq_dna|NM_032595|NM_032595	hgnc_symbol|PPP1R9B|PPP1R9B
refseq_dna|NM_006831|NM_006831	hgnc_symbol|CLP1|CLP1
refseq_dna|NM_006938|NM_006938	hgnc_symbol|SNRPD1|SNRPD1
refseq_dna|NM_002467|NM_002467	hgnc_symbol|MYC|MYC
refseq_dna|NM_016310|NM_016310	hgnc_symbol|POLR3K|POLR3K
refseq_dna|NM_080599|NM_080599	hgnc_symbol|UPF2|UPF2
refseq_dna|NM_001018052|NM_001018052	hgnc_symbol|POLR3H|POLR3H
refseq_dna|NM_024707|NM_024707	hgnc_symbol|GEMIN7|GEMIN7
refseq_dna|NM_023011|NM_023011	hgnc_symbol|UPF3A|UPF3A
refseq_dna|NM_012322|NM_012322	hgnc_symbol|LSM5|LSM5
refseq_dna|NM_003094|NM_003094	hgnc_symbol|SNRPE|SNRPE
refseq_dna|NM_014463|NM_014463	hgnc_symbol|LSM3|LSM3
refseq_dna|NM_030628|NM_030628	hgnc_symbol|INTS5|INTS5
refseq_dna|NM_005556|NM_005556	hgnc_symbol|KRT7|KRT7
refseq_dna|NM_003465|NM_003465	hgnc_symbol|CHIT1|CHIT1
refseq_dna|NM_000693|NM_000693	hgnc_symbol|ALDH1A3|ALDH1A3
refseq_dna|NM_005110|NM_005110	hgnc_symbol|GFPT2|GFPT2
refseq_dna|NM_001721|NM_001721	hgnc_symbol|BMX|BMX
refseq_dna|NM_005213|NM_005213	hgnc_symbol|CSTA|CSTA
refseq_dna|NM_002838|NM_002838	hgnc_symbol|PTPRC|PTPRC
refseq_dna|NM_002648|NM_002648	hgnc_symbol|PIM1|PIM1
refseq_dna|NM_014395|NM_014395	hgnc_symbol|DAPP1|DAPP1
refseq_dna|NM_005165|NM_005165	hgnc_symbol|ALDOC|ALDOC
embl|AF495759|AF495759	hgnc_symbol|MT1E|MT1E
refseq_dna|NM_005950|NM_005950	hgnc_symbol|MT1G|MT1G
refseq_dna|NM_005947|NM_005947	hgnc_symbol|MT1B|MT1B
refseq_dna|NM_176870|NM_176870	hgnc_symbol|MT1M|MT1M
refseq_dna|NM_005952|NM_005952	hgnc_symbol|MT1X|MT1X
refseq_dna|NM_005951|NM_005951	hgnc_symbol|MT1H|MT1H
refseq_dna|NM_005946|NM_005946	hgnc_symbol|MT1A|MT1A
embl|BC035091|BC035091	hgnc_symbol|GABPB2|GABPB2
refseq_dna|NM_002200|NM_002200	hgnc_symbol|IRF5|IRF5
refseq_dna|NM_032788|NM_032788	hgnc_symbol|ZNF514|ZNF514
embl|ENST00292562|ENST00292562	hgnc_symbol|ZNF251|ZNF251
refseq_dna|NM_015871|NM_015871	hgnc_symbol|ZNF593|ZNF593
refseq_dna|NM_021005|NM_021005	hgnc_symbol|NR2F2|NR2F2
refseq_dna|NM_001032372|NM_001032372	hgnc_symbol|ZNF226|ZNF226
refseq_dna|NM_022443|NM_022443	hgnc_symbol|MLF1|MLF1
refseq_dna|NM_033081|NM_033081	hgnc_symbol|DIDO1|DIDO1
refseq_dna|NM_032682|NM_032682	hgnc_symbol|FOXP1|FOXP1
refseq_dna|NM_001124|NM_001124	hgnc_symbol|ADM|ADM
refseq_dna|NM_058179|NM_058179	hgnc_symbol|PSAT1|PSAT1
refseq_dna|NM_000698|NM_000698	hgnc_symbol|ALOX5|ALOX5
refseq_dna|NM_001482|NM_001482	hgnc_symbol|GATM|GATM
refseq_dna|NM_182898|NM_182898	hgnc_symbol|CREB5|CREB5
refseq_dna|NM_014762|NM_014762	hgnc_symbol|DHCR24|DHCR24
refseq_dna|NM_017784|NM_017784	hgnc_symbol|OSBPL10|OSBPL10
refseq_dna|NM_006441|NM_006441	hgnc_symbol|MTHFS|MTHFS
refseq_dna|NM_000281|NM_000281	hgnc_symbol|PCBD1|PCBD1
refseq_dna|NM_005399|NM_005399	hgnc_symbol|PRKAB2|PRKAB2
