Gene ID	Symbol	Name	Fold Change
NM_017839	LPCAT2	Lysophosphatidylcholine acyltransferase 2	5.3
NM_002071	GNAL	Guanine nucleotide binding protein (G protein)	4.9
NM_018667	SMPD3	Sphingomyelin phosphodiesterase 3	4.7
NM_004283	RAB3D	RAB3D, member RAS oncogene family	4.5
NM_006327	TIMM23	Translocase of inner mitochondrial membrane 23 homolog (yeast)	4.5
NM_017902	HIF1AN	Hypoxia inducible factor 1	4.2
NM_001421	ELF4	E74-like factor 4	3.9
NM_023919	TAS2R7	Taste receptor, type 2, member 7	3.9
NM_004289	NFE2L3	Nuclear factor (erythroid-derived 2)-like 3	3.9
NM_003630	PEX3	Peroxisomal biogenesis factor 3	3.8
NM_025087	CWH43	Cell wall biogenesis 43 C-terminal homolog (S. cerevisiae)	3.8
NM_013417	IARS	Isoleucyl-tRNA synthetase	3.8
NM_012338	TSPAN12	Tetraspanin 12	3.7
NM_004131	GZMB	Granzyme B (granzyme 2)	3.7
NM_002427	MMP13	Matrix metallopeptidase 13 (collagenase 3)	3.6
NM_017849	TMEM127	Transmembrane protein 127	3.6
NM_003821	RIPK2	Receptor-interacting serine-threonine kinase 2	3.6
NM_003958	RNF8	Ring finger protein 8	3.5
NM_004224	GPR50	G protein-coupled receptor 50	3.5
NM_001244	TNFSF8	Tumor necrosis factor (ligand) superfamily, member 8	3.4
NM_020375	C12orf5	Chromosome 12 open reading frame 5	3.4
NM_004219	PTTG1	Pituitary tumor-transforming 1	3.4
NM_005925	MEP1B	Meprin A, beta	3.4
NM_024730	RERGL	RERG/RAS-like	3.3
NM_014942	ANKRD6	Ankyrin repeat domain 6	3.3
NM_032946	NXF5	Nuclear RNA export factor 5	3.3
NM_004528	MGST3	Microsomal glutathione S-transferase 3	3.3
NM_012280	FTSJ1	FtsJ homolog 1 (E. coli)	3.3
NM_001372	DNAH9	Dynein, axonemal, heavy chain 9	3.2
NM_013256	ZNF180	Zinc finger protein 180	3.2
NM_003569	STX7	Syntaxin 7	3.2
NM_018370	DRAM1	DNA-damage regulated autophagy modulator 1	3.2
NM_017817	RAB20	RAB20, member RAS oncogene family	3.2
NM_020377	CYSLTR2	Cysteinyl leukotriene receptor 2	3.2
NM_022087	GALNT11	N-acetylgalactosaminyltransferase 11	3.2
NM_004426	PHC1	Polyhomeotic homolog 1 (Drosophila)	3.2
NM_031857	PCDHA9	Protocadherin alpha 9	3.2
NM_019863	F8	Coagulation factor VIII, procoagulant component	3.1
NM_018840	C20orf24	Chromosome 20 open reading frame 24	3.1
NM_006243	PPP2R5A	Protein phosphatase 2, regulatory subunit B, alpha isoform	3.1
NM_017946	FKBP14	FK506 binding protein 14, 22 kDa	3.1
NM_025212	CXXC4	CXXC finger 4	3.1
NM_012214	MGAT4A	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	3.1
NM_012087	GTF3C5	General transcription factor IIIC, polypeptide 5, 63 kDa	3.1
NM_017952	PTCD3	Pentatricopeptide repeat domain 3	3.1
NM_005967	NAB2	NGFI-A binding protein 2 (EGR1 binding protein 2)	3.1
NM_016021	UBE2J1	Ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	3.1
NM_014945	ABLIM3	Actin binding LIM protein family, member 3	3.1
NM_001006	RPS3A	Ribosomal protein S3A	3.1
NM_012200	B3GAT3	Beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	3.1
