ProbeName	p-value	FCAbsolute	regulation	[Control](raw)	[DMH](raw)	[Control](normalized)	[DMH](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_51_P280918	0.001395838	1.7460507	down	862.1784	1026.5715	4.538733	3.7346375	NM_028007	chr8:88241877-88241818	Itfg1	Mus musculus integrin alpha FG-GAP repeat containing 1 (Itfg1), mRNA [NM_028007]	Mm.61018	71927	ENSMUST00000034140	TC1602977
A_52_P258194	0.06863966	1.7962352	down	69.403046	76.49917	0.82547265	-0.019503593	NM_145123	chr19:42358630-42358129	Crtac1	Mus musculus cartilage acidic protein 1 (Crtac1), mRNA [NM_145123]	Mm.313558	72832	ENSMUST00000048630	TC1582416
A_52_P214630	0.011410969	1.896584	down	2211.7737	2456.936	5.900757	4.9773536	NM_011448	chr11:112648809-112648868	Sox9	Mus musculus SRY-box containing gene 9 (Sox9), mRNA [NM_011448]	Mm.286407	20682	ENSMUST00000000579	TC1574097
A_52_P427024	0.019000519	1.7110273	down	10252.16	12316.374	8.103214	7.3283515	NM_010700	chr9:21554277-21554336	Ldlr	Mus musculus low density lipoprotein receptor (Ldlr), mRNA [NM_010700]	Mm.3213	16835	ENSMUST00000034713	TC1596367
A_52_P669145	0.004396265	2.4257398	down	1195.7617	1036.0304	5.0132422	3.7348175	NM_001005247	chr7:54016263-54016204	Hps5	Mus musculus Hermansky-Pudlak syndrome 5 homolog (human) (Hps5), transcript variant 1, mRNA [NM_001005247]	Mm.379442	246694	ENSMUST00000107653	TC1593203
A_51_P318564	0.011480228	1.9303011	down	122.7532	132.54417	1.7253617	0.7765358	NM_198703	chr6:119987711-119987652	Wnk1	Mus musculus WNK lysine deficient protein kinase 1 (Wnk1), transcript variant 1, mRNA [NM_198703]	Mm.333349	232341	ENSMUST00000088644	TC1599371
A_52_P267543	0.000217771	2.2504704	down	418.7998	386.74905	3.5013282	2.3311017	NM_145418	chr10:7493877-7493818	BC013529	Mus musculus cDNA sequence BC013529 (BC013529), mRNA [NM_145418]	Mm.471825	215751	ENSMUST00000124838	TC1713608
A_51_P144206	0.000507452	4.613596	down	188.35982	85.87855	2.3439853	0.13809364	BG963265			BG963265 602828342F1 NCI_CGAP_Co24 Mus musculus cDNA clone IMAGE:4983106 5, mRNA sequence [BG963265]
A_51_P114722	0.001047943	3.816082	down	15809.305	8517.323	8.72719	6.795098	NM_019545	chr3:98678723-98678664	Hao2	Mus musculus hydroxyacid oxidase 2 (Hao2), mRNA [NM_019545]	Mm.281874	56185	ENSMUST00000029464	TC1580327
A_52_P440044	0.002532144	1.558245	down	191.52406	254.78062	2.3730927	1.7331706	NM_025780	chr10:114809290-114809231	Thap2	Mus musculus THAP domain containing, apoptosis associated protein 2 (Thap2), mRNA [NM_025780]	Mm.32314	66816	ENSMUST00000020346	TC1583977
A_52_P413257	0.050393887	1.7515006	down	209.22649	242.54805	2.4702885	1.661697	NM_026039	chr4:132015362-132015303	Med18	Mus musculus mediator of RNA polymerase II transcription, subunit 18 homolog (yeast) (Med18), mRNA [NM_026039]	Mm.45929	67219	ENSMUST00000102567	TC1584555
A_51_P140321	2.09E-05	2.4546876	down	1502.207	1260.6234	5.335005	4.0394654	NM_026779	chr18:24859890-24859949	Mocos	Mus musculus molybdenum cofactor sulfurase (Mocos), mRNA [NM_026779]	Mm.28252	68591	ENSMUST00000068006	TC1606108
A_51_P425798	0.00331112	1.8457655	down	34.550945	38.986637	-0.0971152	-0.9813345	NM_029920	chr5:149125325-149125384	Mtus2	Mus musculus microtubule associated tumor sdownpressor candidate 2 (Mtus2), mRNA [NM_029920]	Mm.244177	77521	ENSMUST00000085554	TC1584915
A_51_P102122	0.014558131	1.8762959	down	21.80776	24.479845	-0.76138943	-1.6692768	NM_031189	chr1:136188874-136188933	Myog	Mus musculus myogenin (Myog), mRNA [NM_031189]	Mm.16528	17928	ENSMUST00000027730	TC1581588
A_52_P666646	0.000772975	2.6071281	down	4021.9036	3227.08	6.759641	5.3771796	NM_178682	chr12:81981584-81981643	4933426M11Rik	Mus musculus RIKEN cDNA 4933426M11 gene (4933426M11Rik), mRNA [NM_178682]	Mm.341776	217684	ENSMUST00000085243	TC1721813
A_51_P177605	0.001523528	1.5548172	down	492.5424	655.42224	3.7304409	3.0936959	NM_172730	chr6:91849675-91849734	C130022K22Rik	Mus musculus RIKEN cDNA C130022K22 gene (C130022K22Rik), mRNA [NM_172730]	Mm.234879	232236	ENSMUST00000037793	TC1581514
A_51_P327285	8.72E-05	3.0168095	down	710.7353	488.14554	4.2621865	2.669163	NM_021388	chr3:115731587-115731646	Extl2	Mus musculus exostoses (multiple)-like 2 (Extl2), transcript variant 1, mRNA [NM_021388]	Mm.41739	58193	ENSMUST00000106502	TC1577118
A_51_P258721	0.000943029	1.8817134	down	6732.845	7313.772	7.4871507	6.5751038	NM_012034	chr17:25511199-25511258	Tpsg1	Mus musculus tryptase gamma 1 (Tpsg1), mRNA [NM_012034]	Mm.180108	26945	ENSMUST00000024999	TC1586939
A_51_P262432	0.054380447	1.5672085	down	24477.271	32062.521	9.356449	8.708252	NM_011358	chr11:116711237-116711211	Sfrs2	Mus musculus splicing factor, arginine/serine-rich 2 (SC-35) (Sfrs2), mRNA [NM_011358]	Mm.21841	20382	ENSMUST00000136914	NP_056412
A_52_P493882	7.65E-06	5.4981637	down	260.56357	97.8204	2.8104618	0.35151196	NR_015493	chrX:106081805-106081864	2810403D21Rik	Mus musculus RIKEN cDNA 2810403D21 gene (2810403D21Rik), non-coding RNA [NR_015493]	Mm.160066	69964		TC1607935
A_51_P235440	0.049215257	1.7364813	down	44.774235	52.652607	0.25113186	-0.54503506	AK016197	chr11:70219178-70216246		proline, glutamic acid and leucine rich protein 1 Gene [Source:MGI Symbol;Acc:MGI:1922523] [ENSMUST00000019066]	Mm.340601		ENSMUST00000019066	TC1591058
A_52_P25008	9.36E-05	2.42568	down	841.00635	718.9753	4.50617	3.2277806	NM_175251	chr15:96235158-96235217	Arid2	Mus musculus AT rich interactive domain 2 (ARID, RFX-like) (Arid2), mRNA [NM_175251]	Mm.17166	77044	ENSMUST00000096250	TC1598368
A_52_P925197	0.003626942	3.724496	down	3180.3142	1670.9886	6.336874	4.439829	NM_007570	chr1:135973975-135973916	Btg2	Mus musculus B-cell translocation gene 2, anti-proliferative (Btg2), mRNA [NM_007570]	Mm.392646	12227	ENSMUST00000020692	TC1765651
A_51_P329366	2.68E-05	4.048589	down	151.19463	76.459045	2.0139573	-0.003461997	NM_080448	chr6:112672282-112672223	Srgap3	Mus musculus SLIT-ROBO Rho GTPase activating protein 3 (Srgap3), mRNA [NM_080448]	Mm.236401	259302	ENSMUST00000113171	TC1586243
A_52_P692753	0.048905075	2.8220274	down	1153.1923	953.81885	4.9627757	3.4660437		chr5:144267624-144267576
A_51_P158538	0.005383731	2.1025155	down	4791.119	4671.6567	6.999235	5.927119	NM_011756	chr7:29162191-29162132	Zfp36	Mus musculus zinc finger protein 36 (Zfp36), mRNA [NM_011756]	Mm.389856	22695	ENSMUST00000051241	TC1587859
