Probe ID	Unigene	Gene	Description
1424600_at	Mm.213898	Abp1	Amiloride binding protein 1 amine oxidase (coppercontaining)
1427034_at	Mm.754	Ace	Angiotensin I-converting enzyme (peptidyldipeptidase A) 1
1418553_at	Mm.170461	Arhgef18	Rho/rac guanine nucleotide exchange factor (GEF) 18
1459924_at	Mm.340818	Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit a1
1416582_a_at	Mm.4387	Bad	BCL2-antagonist of cell death
1423635_at	Mm.103205	Bmp2	Bone morphogenetic protein 2
1456616_a_at	Mm.726	Bsg	BSG: Basigin (Ok blood group)
1424226_at	Mm.218590	9030617O03Rik	Chromosome 14 open reading frame 159
1427944_at	Mm.150568	C1qdc1	C1q domain containing 1
1449248_at	Mm.177761	Clcn2	Chloride channel 2
1416565_at	Mm.400	Cox6b1	Cytochrome c oxidase subunit Vib polypeptide 1 (ubiquitous)
1420617_at	Mm.339792	Cpeb4	Cytoplasmic polyadenylation element binding protein 4
1415677_at	Mm.21623	Dhrs1	Dehydrogenase/reductase (SDR family) member 1
1416697_at	Mm.1151	Dpp4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)
1450314_at	Mm.140332	Dqx1	DEAQ box polypeptide 1 (RNA-dependent ATPase)
1421136_at	Mm.9478	Edn3	Endothelin 3
1423005_a_at	Mm.264215	Espn	Espin
1421969_a_at	Mm.256025	Faah	Fatty acid amide hydrolase
1452117_a_at	Mm.170905	Fyb	FYN binding protein (FYB-120/130)
1436889_at	Mm.338713	Gabra1	gamma -Aminobutyric acid (GABA) A receptor, alpha 1
1423236_at	Mm.30249	Galnt1	UDP-N-acetyl- -D-galactosamine:polypeptide Nacetylgalactosaminyltransferase 1 (GalNAc-T1)
1418863_at	Mm.247669	Gata4	GATA binding protein 4
1429076_a_at	Mm.283495	Gdpd2	Glycerophosphodiester phosphodiesterase domain containing 2
1449144_at	Mm.260925	Gna11	Guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
1419371_s_at	Mm.195451	Gosr2	Golgi SNAP receptor complex member 2
1416416_x_at	Mm.37199	Gstm1	Glutathione S-transferase M5
1425343_at	Mm.41506	Hdhd3	Haloacid dehalogenase-like hydrolase domain containing 3
1422527_at	Mm.16373	H2-DMa	HLA-DMA: Major histocompatibility complex, class II, DM alpha
1419455_at	Mm.4154	Il10rb	Interleukin 10 receptor, beta
1418265_s_at	Mm.1149	Irf2	Interferon regulatory factor 2
1433775_at	Mm.331907	C77080	KIAA1522
1425547_a_at	Mm.279599	Klc4	Kinesin light chain 4
1451322_at	Mm.28108	Cmbl	Carboxymethylenebutenolidase homolog (Pseudomonas)
1425780_a_at	Mm.241387	Tmem167	Transmembrane protein 167
1425704_at	Mm.192213	BC022224	Short-chain dehydrogenase/reductase
1425930_a_at	Mm.628	Mlx	MAX-like protein X
1450376_at	Mm.2154	Mxi1	MAX interactor 1
1425230_at	Mm.31686	Nags	N-Acetylglutamate synthase
1448331_at	Mm.29683	Ndufb7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7
1415821_at	Mm.15125	Nptn	Neuroplastin
1451274_at	Mm.276348	Ogdh	Oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
1417677_at	Mm.32744	Opn3	Opsin 3
1449330_at	Mm.29872	Pdzd3	PDZ domain containing 3
1435872_at	Mm.328931	Pim1	Pim-1 oncogene
1425542_a_at	Mm.240396	Ppp2r5c	Protein phosphatase 2, regulatory subunit B, gamma isoform
1422847_a_at	Mm.2314	Prkcd	Protein kinase C, delta
1424456_at	Mm.4341	Pvrl2	Poliovirus receptor-related 2 (herpesvirus entry mediator B)
1430527_a_at	Mm.261818	Rnf167	Ring finger protein 167
1448704_s_at	Mm.22362	H47	Selenoprotein S
1448299_at	Mm.246670	Slc1a1	Solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
1424441_at	Mm.330113	Slc27a4	Solute carrier family 27 (fatty acid transporter), member 4
1433595_at	Mm.281800	Slc35d1	Solute carrier family 35 (UDP-glucuronic acid/UDPN- acetylgalactosamine dual transporter), member D1
1421225_a_at	Mm.41044	Slc4a4	Solute carrier family 4, sodium bicarbonate cotransporter, member 4
1448783_at	Mm.45874	Slc7a9	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 9
1436797_a_at	Mm.300594	Surf4	Surfeit 4
1428095_a_at	Mm.33869	Tmem24	Transmembrane protein 24
1417895_a_at	Mm.25295	Tmem54	Transmembrane protein 54
1434553_at	Mm.26088	Tmem56	Transmembrane protein 56
1420412_at	Mm.1062	Tnfsf10	Tumor necrosis factor (ligand) superfamily, member 10
1428327_at	Mm.305318	Trak1	Trafficking protein, kinesin binding 1
1448737_at	Mm.18590	Tspan7	Tetraspanin 7
1448782_at	Mm.291015	Txndc11	Thioredoxin domain containing 11
1435110_at	Mm.290433	Unc5b	Unc-5 homolog B
1426399_at	Mm.26515	Vwa1	Von Willebrand factor A domain containing 1
1436953_at	Mm.223504	Wipf1	WAS/WASL interacting protein family, member 1
1416545_at	Mm.240076	Zdhhc7	Zinc finger, DHHC-type containing 7
