Chromosome 	Affymetrix probe set 	Gene symbol 
8q21.13 	202345_s_at 	FABP5 
Xp22.12 	1555864_s_at 	PDHA1 
5p15.33 	204033_at 	TRIP13 
1q22 	206513_at 	AIM2 
2p24.1 	1555274_a_at 	SELI 
21q22.3 	211576_s_at 	SLCI19A1 
3p21.3 	204016_at 	LARS2 
1q43 	1565951_s_at 	OPN3 
1q31.3 	219918_s_at 	ASPM 
12q15 	201947_s_at 	CCT2 
16p13.3 	213535_s_at 	UBE2I 
20q13.31 	204092_s_at 	STK6 
1p36.33 	213607_x_at 	FLJ13052 
Xq12 	208117_s_at 	LAS1L 
17q25 	210334_x_at 	BIRC5 
3q27 	204023_at 	RFC4 
1q21.2 	201897_s_at 	CKS1B 
19q13.12 	216194_s_at 	CKAP1 
1p11 	225834_at 	MGC57827 
19q13.12 	238952_x_at 	DKFZp779O175 
17p13.3 	200634_at 	PFN1 
19p13.2 	208931_s_at 	ILF3 
1q22 	206332_s_at 	IFI16 
7p13 	220789_s_at 	TBRG4 
10p11.23 	218947_s_at 	PAPD1 
8q24 	213310_at 	EIF2C2 
3q12.1 	224523_s_at 	MGC4308 
1p36.13 	201231_s_at 	ENO1 
18q12.1 	217901_at 	DSG2 
6q22 	226936_at 	C6orf173 
8q24.3 	58696_at 	EXOSC4 
1q23.3 	200916_at 	TAGLN2 
3q21 	201614_s_at 	RUVBL1 
16p11.2 	200966_x_at 	ALDOA 
2p25.1 	225082_at 	CPSF3 
1q43 	242488_at 	NA 
3q12.3 	243011_at 	MGC15606 
22q13.1 	201105_at 	LGALS1 
3p25.3 	224200_s_at 	RAD18 
20p11 	222417_s_at 	SNX5 
1q21.2 	210460_s_at 	PSMD4 
12q24.3 	200750_s_at 	RAN 
1q32.1 	206364_at 	KIF14 
7p15.2 	201091_s_at 	CBX3 
12q22 	203432_at 	TMPO 
17q24.2 	221970_s_at 	DKFZP586L0724 
11p15.4 	212533_at 	WEE1 
3p12 	213194_at 	ROBO1 
5q33.1 	244686_at 	TCOF1 
8q23.1 	200638_s_at 	YWHAZ 
10q23.31 	205235_s_at 	MPHOSPH1 
9q31.3 	201921_at 	GNG10 
1p13 	227278_at 	NA 
Xp22.3 	209740_s_at 	PNPLA4 
20q11.21 	227547_at 	NA 
10q25.1 	225582_at 	KIAA1754 
1p13.2 	200850_s_at 	AHCYL1 
1p13.3 	213628_at 	MCLC 
1p22 	209717_at 	EVI5 
1p13.3 	222495_at 	AD-020 
6p21.31 	1557277_a_at 	NA 
1p22.1 	1554736_at 	PARG1 
1p22 	218924_s_at 	CTBS 
9p13.2 	226954_at 	UBE2R2 
1p34 	202838_at 	FUCA1 
13q14 	230192_at 	RFP2 
12q13.11 	48106_at 	FLJ20489 
11q13.1 	237964_at 	NA 
2p22.3 	202729_s_at 	LTBP1
p13.1 	212435_at 	TRIM33
