ProbeName	p-value	FCAbsolute	regulation	[Group(DMH+Calcium)](raw)	[Group(DMH)](raw)	[Group(DMH+Calcium)](normalized)	[Group(DMH)](normalized)	GenbankAccession	GenomicCoordinates	GeneSymbol	Description	UniGeneID	EntrezGeneID	EnsemblID	TIGRID
A_52_P258194	0.03317553	1.7390083	up	130.10127	76.49917	0.7787612	-0.019503593	NM_145123	chr19:42358630-42358129	Crtac1	Mus musculus cartilage acidic protein 1 (Crtac1), mRNA [NM_145123]	Mm.313558	72832	ENSMUST00000048630	TC1582416
A_52_P682382	4.59E-06	3.0536084	down	3401.4558	10723.963	5.516083	7.126598	NM_009127	chr19:44469446-44469387	Scd1	Mus musculus stearoyl-Coenzyme A desaturase 1 (Scd1), mRNA [NM_009127]	Mm.267377	20249	ENSMUST00000041331	TC1765950
A_52_P103628	0.010454319	1.7232277	down	45606.66	81112.72	9.262473	10.047586		chr3:93330142-93330203
A_51_P496795	0.009064987	1.8627214	down	267.90128	512.1626	1.8428587	2.7402706	NM_145555	chr4:134926026-134925967	A330049M08Rik	Mus musculus RIKEN cDNA A330049M08 gene (A330049M08Rik), transcript variant 1, mRNA [NM_145555]	Mm.35548	230822	ENSMUST00000064481	TC1594739
A_51_P507602	0.027422525	1.5587229	down	1007.71576	1704.0026	3.7804787	4.420843	NM_139148	chr3:144486375-144486316	Clca4	Mus musculus chloride channel calcium activated 4 (Clca4), mRNA [NM_139148]	Mm.290600	229927	ENSMUST00000029931	TC1589381
A_51_P425798	0.0289654	1.564446	up	57.97461	38.986637	-0.33568263	-0.9813345	NM_029920	chr5:149125325-149125384	Mtus2	Mus musculus microtubule associated tumor suppressor candidate 2 (Mtus2), mRNA [NM_029920]	Mm.244177	77521	ENSMUST00000085554	TC1584915
A_51_P449777	0.030394368	1.7461431	down	1032.2932	1855.5397	3.7870266	4.5911984	NM_022995	chr2:173050486-173050427	Pmepa1	Mus musculus prostate transmembrane protein, androgen induced 1 (Pmepa1), mRNA [NM_022995]	Mm.478899	65112	ENSMUST00000109115	TC1597668
A_51_P308298	0.028028257	1.6165571	up	76784.79	50715.027	10.026109	9.333184	NM_172118	chr2:156607301-156607360	Myl9	Mus musculus myosin, light polypeptide 9, regulatory (Myl9), mRNA [NM_172118]	Mm.271770	98932	ENSMUST00000088552	TC1572833
A_51_P487162	0.015657516	1.7390792	down	206.2834	366.63916	1.4587545	2.2570782	NM_028002	chr12:32325073-32325014	Dus4l	Mus musculus dihydrouridine synthase 4-like (S. cerevisiae) (Dus4l), mRNA [NM_028002]	Mm.62979	71916	ENSMUST00000020977	TC1586181
A_52_P430886	0.00110247	1.8741317	down	108.32693	214.0457	0.57438797	1.4806103	NM_010662	chr11:99980948-99980710	Krt13	Mus musculus keratin 13 (Krt13), mRNA [NM_010662]	Mm.4646	16663	ENSMUST00000107412	TC1578459
A_52_P642005	0.016636519	1.5848372	down	240.86311	396.26334	1.7022771	2.3666117	NM_001081557	chr4:150435801-150435742	Camta1	Mus musculus calmodulin binding transcription activator 1 (Camta1), transcript variant 1, mRNA [NM_001081557]	Mm.318846	100072	ENSMUST00000105668	TC1644339
A_52_P381799	0.038471438	1.8247027	down	41.6538	71.87064	-0.9684847	-0.100823246	NM_001081324	chr8:88164375-88164316	Neto2	Mus musculus neuropilin (NRP) and tolloid (TLL)-like 2 (Neto2), mRNA [NM_001081324]	Mm.126079	74513	ENSMUST00000047344	TC1600362
A_51_P271529	0.03891341	1.9299533	up	185.88123	96.472755	1.2358264	0.28726038	AK140034	chr12:104433237-104433178	Prima1	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230105G10 product:Proline rich membrane anchor 1 precursor (PRiMA) homolog [Homo sapiens], full insert sequence. [AK140034]	Mm.427936	170952
A_52_P225158	0.003155159	2.866281	down	35.150562	111.69473	-1.062903	0.45627704		chr12:116082073-116082006
A_51_P302942	0.027382858	1.5025567	down	35.77151	56.017414	-1.0421453	-0.4547259	NM_145216	chr11:4960167-4960226	Rasl10a	Mus musculus RAS-like, family 10, member A (Rasl10a), mRNA [NM_145216]	Mm.374836	75668	ENSMUST00000037218	TC1596191
A_51_P222741	0.00061514	1.74009	down	1870.4877	3431.866	4.682652	5.481814	NM_010381	chr17:34481528-34481469	H2-Ea	Mus musculus histocompatibility 2, class II antigen E alpha (H2-Ea), mRNA [NM_010381]	Mm.15680	14968	ENSMUST00000040306	TC1580387
A_51_P270519	0.002794806	1.7079356	down	100.033775	178.61528	0.44044304	1.2126966	NM_027263	chr4:148504293-148503010	Apitd1	Mus musculus apoptosis-inducing, TAF9-like domain 1 (Apitd1), mRNA [NM_027263]	Mm.260893	69928	ENSMUST00000150150	TC1678740
A_52_P380195	0.002241251	1.989581	down	97.51446	201.65338	0.39661732	1.389082	NM_177305	chr1:90595398-90595339	Arl4c	Mus musculus ADP-ribosylation factor-like 4C (Arl4c), mRNA [NM_177305]	Mm.27968	320982		TC1577933
A_52_P638100	0.005225622	2.5808048	down	799.8836	2094.429	3.384289	4.75211	AB070552	chr12:117040896-117040837		Mus musculus V102-D-J-IgG1 mRNA, partial cds, sequence:lec-8. [AB070552]	Mm.335723			NP_592060
A_51_P516012	3.29E-06	4.4696565	down	27.037516	125.05432	-1.4595829	0.7005809	NM_008745	chr13:59033682-59033741	Ntrk2	Mus musculus neurotrophic tyrosine kinase, receptor, type 2 (Ntrk2), transcript variant 2, mRNA [NM_008745]	Mm.130054	18212		TC1575671
A_52_P676623	0.001608847	1.5453751	down	214.61568	349.44583	1.5441518	2.172109	NM_028319	chr19:40991517-40991576	Zfp518	Mus musculus zinc finger protein 518 (Zfp518), mRNA [NM_028319]	Mm.313523	72672		TC1737932
A_51_P476481	0.07446783	1.8236116	down	129.89449	241.50848	0.7135529	1.5803514	NM_145548	chr4:95723288-95712305	Cyp2j13	Mus musculus cytochrome P450, family 2, subfamily j, polypeptide 13 (Cyp2j13), mRNA [NM_145548]	Mm.268175	230459	ENSMUST00000030305
A_51_P347240	0.003028809	1.5134319	down	190.97646	301.07242	1.3743166	1.9721403	NM_001081406	chr12:70276105-70276164	Ppil5	Mus musculus peptidylprolyl isomerase (cyclophilin) like 5 (Ppil5), mRNA [NM_001081406]	Mm.28847	69706	ENSMUST00000110621	TC1601289
A_51_P225224	0.03246261	1.6156095	down	5496.765	9065.777	6.194182	6.8862605	NM_019564	chr7:138129081-138129140	Htra1	Mus musculus HtrA serine peptidase 1 (Htra1), mRNA [NM_019564]	Mm.30156	56213	ENSMUST00000006367	TC1575172
A_51_P154753	0.051881578	1.7158841	down	502.14114	869.138	2.7244408	3.503393	NM_146182	chr7:19979921-19979862	Klc3	Mus musculus kinesin light chain 3 (Klc3), mRNA [NM_146182]	Mm.213403	232943	ENSMUST00000047170	TC1582294
A_52_P74229	0.004652212	1.6335521	up	182.41454	116.45535	1.305751	0.59773856	XM_001475276	chr11:102438040-102437981		MCG21374, isoform CRA_aNovel protein ; [Source:UniProtKB/TrEMBL;Acc:A6PWP4] [ENSMUST00000107080]	Mm.277966		ENSMUST00000107080	TC1740221
A_52_P538084	0.006912868	2.1149554	down	94.743866	221.03912	0.36597404	1.4466013	Z25442	chr6:67560270-67560329		M.musculus immunoglobulin kappa light chain (DBA/1) gene, v region. [Z25442]	Mm.333124		ENSMUST00000103303	NP_052023
