Curated Gene Symbol	FeatureNumber	GeneName	+9hr Wnt	siMLLT10 +9hr Wnt	siDOT1L +9hr Wnt	siBRG1 +9hr Wnt	siP300 +9hr Wnt	Description
ACTL8	6213	ACTL8	3.831	-2.549	-2.807	-3.737	-2.813	actin-like 8 (ACTL8), mRNA [NM_030812]
	12439	ENST00000344759	3.626	-3.319	-3.464	--	--	CDNA FLJ46385 fis, clone THYMU2038199. [Source:Uniprot/SPTREMBL;Acc:Q6ZRF7] [ENST00000344759]
PLBD1	13566	FLJ22662	3.603	-2.148	-3.041	-3.446	-3.367	hypothetical protein FLJ22662 (FLJ22662), mRNA [NM_024829]
SPTA1	27040	SPTA1	3.589	-3.27	-2.77	-2.788	-3.353	spectrin, alpha, erythrocytic 1 (elliptocytosis 2) (SPTA1), mRNA [NM_003126]
TNFRSF17	16124	TNFRSF17	3.538	-1.77	-2.314	-2.791	-2.1	tumor necrosis factor receptor superfamily, member 17 (TNFRSF17), mRNA [NM_001192]
	13976	U09197	3.491	-3.123	-3.409	-3.207	-3.219	Human 5.5 kb mRNA upregulated in retinoic acid treated HL-60 neutrophilic cells. [U09197]
C1QTNF5	20765	C1QTNF5	3.388	-2.837	-3.35	-3.264	-2.952	C1q and tumor necrosis factor related protein 5 (C1QTNF5), mRNA [NM_015645]
	15900	OSTalpha	3.231	-2.038	-2.407	-2.749	-2.834	organic solute transporter alpha (OSTalpha), mRNA [NM_152672]
IL1B	28341	IL1B	3.148	-2.405	-3.116	-3.116	-2.838	interleukin 1, beta (IL1B), mRNA [NM_000576]
	28502	THC2697162	2.937	-1.651	-3.437	-3.231	-3.408	Unknown
IL1B	14484	IL1B	2.91	-3.807	-4.168	-3.711	-3.788	interleukin 1, beta (IL1B), mRNA [NM_000576]
PTPRC	29253	PTPRC	2.841	-2.844	-1.737	-3.177	-1.91	protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 1, mRNA [NM_002838]
	29186	A_32_P204565	2.775	-0.673	-1.181	-0.218	-1.174	Unknown
EGR1	3808	EGR1	2.741	-1.625	-0.284	-2.084	-1.248	early growth response 1 (EGR1), mRNA [NM_001964]
SLC6A4	25527	SLC6A4	2.734	-2.032	-2.221	-3.617	-2.882	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4 (SLC6A4), mRNA [NM_001045]
THBS1	12045	THBS1	2.602	-2.161	-0.957	-1.935	-2.726	thrombospondin 1 (THBS1), mRNA [NM_003246]
	14333	LOC730102	2.592	-1.087	-2.483	-2.598	-2.256	Homo sapiens mRNA; cDNA DKFZp686F09156 (from clone DKFZp686F09156). [BX538051]
KLB	17883	KLB	2.588	-2.184	-2.523	-2.364	-2.327	Homo sapiens klotho beta, mRNA (cDNA clone IMAGE:4824602), partial cds. [BC033021]
NRG1	40884	NRG1	2.577	-0.64	-0.368	-1.829	-0.774	neuregulin 1 (NRG1), transcript variant GGF2, mRNA [NM_013962]
INSL4	29534	INSL4	2.564	-2.046	-1.922	-2.633	-2.394	insulin-like 4 (placenta) (INSL4), mRNA [NM_002195]
	19345	CR749831	2.518	-2.623	-2.535	-2.686	-3.4	Homo sapiens mRNA; cDNA DKFZp779G2222 (from clone DKFZp779G2222). [CR749831]
EIF1AY	32431	EIF1AY	2.508	-2.18	-2.5	-2.528	-2.354	eukaryotic translation initiation factor 1A, Y-linked (EIF1AY), mRNA [NM_004681]
DDX3Y	27895	DDX3Y	2.486	-2.107	-2.381	-2.26	-2.195	Homo sapiens dead box, Y isoform (DBY) mRNA, alternative transcript 2, complete cds. [AF000984]
HKDC1	27651	HKDC1	2.469	-1.828	-1.299	-3.309	-2.42	hexokinase domain containing 1 (HKDC1), mRNA [NM_025130]
BAALC	41345	BAALC	2.425	-0.056	0.506	-0.503	-2.62	brain and acute leukemia, cytoplasmic (BAALC), transcript variant 1, mRNA [NM_024812]
EID3	30525	EID3	2.417	-2.275	-0.749	1.123	-1.093	EP300 interacting inhibitor of differentiation 3 (EID3), mRNA [NM_001008394]
THBS1	13506	THBS1	2.41	-2.25	-1.916	-1.592	-2.276	thrombospondin 1 (THBS1), mRNA [NM_003246]
	25532	THC2652836	2.398	-2.229	-1.88	-2.182	-2.401	Unknown
	30030	H25835	2.394	-1.952	-1.715	-2.409	-2.289	H25835 yl53b04.s1 Soares breast 3NbHBst Homo sapiens cDNA clone IMAGE:161935 3 similar to gb:X68733_rna1 ALPHA-1-ANTICHYMOTRYPSIN PRECURSOR (HUMAN);, mRNA sequence [H25835]
	41474	THC2663668	2.366	-2.155	-2.148	-2.292	-2.155	Unknown
	14569	LOC389043	2.317	-3.267	-3.495	--	-3.324	Homo sapiens cDNA FLJ43994 fis, clone TESTI4020806. [AK125982]
	7008	THC2605277	2.299	-2.415	-1.44	-2.594	--	Q8NG87_HUMAN (Q8NG87) Seven transmembrane helix receptor (Fragment), complete [THC2605277]
LINC00518	38158	C6orf218	2.281	-1.963	-2.156	0.782	-2.095	chromosome 6 open reading frame 218 (C6orf218), mRNA [NM_152738]
	4488	A_32_P5205	2.278	-1.986	-2.021	--	--	Unknown
	28413	LOC100133469	2.259	-1.991	-2.068	-2.201	-2.178	human full-length cDNA 5-PRIME end of clone CS0DA002YL09 of Neuroblastoma of Homo sapiens (human). [BX248748]
OOEP	9352	OOEP	2.258	-2.88	-3.084	-3.057	-2.956	oocyte expressed protein homolog (dog) (OOEP), mRNA [NM_001080507]
ESR1	8394	ESR1	2.235	-2.078	-0.723	-1.995	-2.239	estrogen receptor 1 (ESR1), transcript variant 1, mRNA [NM_000125]
CDH9	11070	CDH9	2.219	-1.043	-1.077	--	-2.323	cadherin 9, type 2 (T1-cadherin) (CDH9), mRNA [NM_016279]
VWA5A	6786	LOH11CR2A	2.204	-2.969	-1.546	-1.509	-1.408	loss of heterozygosity, 11, chromosomal region 2, gene A (LOH11CR2A), transcript variant 1, mRNA [NM_014622]
GIMAP1	26373	GIMAP1	2.181	-1.461	-2.243	-1.889	-1.461	GTPase, IMAP family member 1 (GIMAP1), mRNA [NM_130759]
PTPRC	36330	PTPRC	2.151	-2.132	-1.283	-2.632	-0.991	protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 1, mRNA [NM_002838]
APOL1	13760	APOL1	2.148	-1.938	-1.411	-2.255	-1.986	apolipoprotein L, 1 (APOL1), transcript variant 2, mRNA [NM_145343]
ESR1	3995	ESR1	2.121	-1.922	-1.084	-1.841	-2.072	estrogen receptor 1 (ESR1), transcript variant 1, mRNA [NM_000125]
TLR3	14481	TLR3	2.117	-2.753	-0.57	-1.141	-1.247	toll-like receptor 3 (TLR3), mRNA [NM_003265]
DNAJA4	25548	DNAJA4	2.092	-2.344	-1.059	-2.61	-1.489	DnaJ (Hsp40) homolog, subfamily A, member 4 (DNAJA4), mRNA [NM_018602]
TFAP2B	44176	TFAP2B	2.074	-2.093	-1.444	-2.374	-2.152	transcription factor AP-2 beta (activating enhancer binding protein 2 beta) (TFAP2B), mRNA [NM_003221]
	11605	AK092681	2.047	-2.104	-2.009	-1.944	-0.47	Homo sapiens cDNA FLJ35362 fis, clone SKMUS2000330. [AK092681]
OAS1	31336	OAS1	2.042	-0.169	0.055	-0.83	-1.612	2,5-oligoadenylate synthetase 1, 40/46kDa (OAS1), transcript variant 2, mRNA [NM_002534]
	14328	CD518596	2.035	-1.7	-1.578	-1.924	-1.791	AGENCOURT_14377902 NIH_MGC_181 Homo sapiens cDNA clone IMAGE:30398336 5, mRNA sequence [CD518596]
EPM2AIP1	31223	EPM2AIP1	2.03	-2.016	-0.991	-2.501	-2.283	EPM2A (laforin) interacting protein 1 (EPM2AIP1), mRNA [NM_014805]
	2625	BX640843	2.009	-2.163	-1.643	-1.774	-2.361	Homo sapiens mRNA; cDNA DKFZp686B14224 (from clone DKFZp686B14224). [BX640843]
PTPN22	16216	PTPN22	2.004	-1.89	-0.703	-2.846	-2.529	protein tyrosine phosphatase, non-receptor type 22 (lymphoid) (PTPN22), transcript variant 1, mRNA [NM_015967]
RGS22	11625	RGS22	1.999	-0.505	-0.581	--	-0.397	regulator of G-protein signaling 22 (RGS22), mRNA [NM_015668]
	26977	LOC729170	1.971	-1.59	-2.271	-2.313	-2.103	PREDICTED: Homo sapiens hypothetical LOC729170 (LOC729170), mRNA [XM_001129548]
