GeneName	Description	Fold change	Region
ALPK2	alpha-kinase 2	-34,6	18q12.3-q22.2
SETBP1	SET binding protein 1	-13,1	18q12.3-q22.2
CCDC102B	coiled-coil domain containing 102B	-5,6	18q12.3-q22.2
CD274	CD274 molecule	-4,4	9p24.3-p21.1
NFIB	nuclear factor I/B	-4,4	9p24.3-p21.1
SERPINB3	serpin peptidase inhibitor, clade B (ovalbumin), member 3	-4,3	18q12.3-q22.2
SERPINB4	serpin peptidase inhibitor, clade B (ovalbumin), member 4	-4,0	18q12.3-q22.2
KATNAL2	katanin p60 subunit A-like 2	-3,7	18q12.3-q22.2
MOBKL2B	MOB1, Mps One Binder kinase activator-like 2B (yeast)	-3,3	9p24.3-p21.1
AK3	adenylate kinase 3	-3,0	9p24.3-p21.1
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	-2,9	9p24.3-p21.1
MLANA	melan-A	-2,7	9p24.3-p21.1
SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	-2,7	18q12.3-q22.2
RCL1	RNA terminal phosphate cyclase-like 1	-2,7	9p24.3-p21.1
TSHZ1	teashirt zinc finger homeobox 1	-2,6	18q22.3-qter
LRRC19	leucine rich repeat containing 19	-2,6	9p24.3-p21.1
JAK2	Janus kinase 2 (a protein tyrosine kinase)	-2,6	9p24.3-p21.1
KIAA0427	KIAA0427	-2,4	18q12.3-q22.2
CCDC68	coiled-coil domain containing 68	-2,3	18q12.3-q22.2
INSL4	insulin-like 4 (placenta)	-2,3	9p24.3-p21.1
HSPA13	heat shock protein 70kDa family, member 13	-2,3	21q11.2-q21.1
TPD52L3	tumor protein D52-like 3	-2,3	9p24.3-p21.1
SERPINB8	serpin peptidase inhibitor, clade B (ovalbumin), member 8	-2,3	18q12.3-q22.2
MTAP	methylthioadenosine phosphorylase	-2,2	9p24.3-p21.1
SERPINB2	serpin peptidase inhibitor, clade B (ovalbumin), member 2	-2,2	18q12.3-q22.2
PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	-2,2	18q12.3-q22.2
TUSC1	tumor suppressor candidate 1	-2,1	9p24.3-p21.1
SMAD7	SMAD family member 7	-2,1	18q12.3-q22.2
JMJD2C	jumonji domain containing 2C	-2,1	9p24.3-p21.1
WDR7	WD repeat domain 7	-2,0	18q12.3-q22.2
ZNF578	zinc finger protein 578	2,0	19q12-qter
VGF	VGF nerve growth factor inducible	2,0	7q21.3-q11.1
LGALS8	lectin, galactoside-binding, soluble, 8	2,0	1q41-q43.1
ZNF320	zinc finger protein 320	2,0	19q12-qter
ZNF416	zinc finger protein 416	2,0	19q12-qter
RBM34	RNA binding motif protein 34	2,0	1q41-q43.1
LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6	2,0	19q12-qter
GUK1	guanylate kinase 1	2,0	1q41-q43.1
PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans)	2,0	20p13-qter
CEP250	centrosomal protein 250kDa	2,0	20p13-qter
GML	glycosylphosphatidylinositol anchored molecule like protein	2,0	8q24.3
ZNF223	zinc finger protein 223	2,0	19q12-qter
COL22A1	collagen, type XXII, alpha 1	2,0	8q24.13-q24.3
NALP12	NLR family, pyrin domain containing 12	2,0	19q12-qter
TSKS	testis-specific kinase substrate	2,1	19q12-qter
CAPN2	calpain 2, (m/II) large subunit	2,1	1q41-q43.1
TNNT1	troponin T type 1	2,1	19q12-qter
AP1G2	adaptor-related protein complex 1, gamma 2 subunit	2,1	14q11.2
ARV1	ARV1 homolog (S. cerevisiae)	2,1	1q41-q43.1
RIN2	Ras and Rab interactor 2	2,1	20p13-qter
SGK2	serum/glucocorticoid regulated kinase 2	2,1	20p13-qter
DDX27	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27	2,1	20p13-qter
OSMR	oncostatin M receptor	2,1	5p13.3-q11.1
ZNF552	zinc finger protein 552	2,1	19q12-qter
SPAG4L	sperm associated antigen 4-like	2,1	20p13-qter
NIPBL	Nipped-B homolog (Drosophila)	2,1	5p13.3-q11.1
LEFTY2	left-right determination factor 2	2,1	1q41-q43.1
CHGB	chromogranin B (secretogranin 1)	2,1	20p13-qter
RNASEN	ribonuclease type III, nuclear	2,1	5p13.3-q11.1
DNAJC21	DnaJ (Hsp40) homolog, subfamily C, member 21	2,1	5p13.3-q11.1
RAI14	retinoic acid induced 14	2,1	5p13.3-q11.1
CPNE1	copine I	2,1	20p13-qter
IFT52	intraflagellar transport 52 homolog (Chlamydomonas)	2,1	20p13-qter
DDEF1IT1	DDEF1 intronic transcript 1 (non-protein coding)	2,1	8q24.13-q24.3
ZNF586	zinc finger protein 586	2,1	19q12-qter
FUT1	fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)	2,1	19q12-qter
