Illumina probe set ID 	RefSeq 	Common 	Multiple R2 	Adjusted R2 	F-statistic 	P-value (x 10-11) 					
GI_19924171-S	NM_000553 	WRN 	1.00E+00	1	5.15E +33 	<2.2	 				
GI_19718761-A 	NM_000462 	UBE3A 	8.37E-01	0.836	1329	<2.2					
GI_38570096-S 	NM_017730 	QRICH1 	8.09E-01	0.808	1097	<2.2	 				
GI_7705400-S 	NM_016648 	LARP7 	7.90E-01	0.79	976	<2.2	 				
GI_34147516-S 	NM_001025105 	CSNK1A1 	7.82E-01	0.781	927.1	<2.2	 				
GI_21735565-A 	NM_003188 	MAP3K7 	7.80E-01	0.779	915.8	<2.2	 				
GI_26051236-S 	NM_017426 	NUP54 	7.67E-01	0.766	853.7	<2.2	 				
GI_27597083-S 	NM_006838 	METAP2 	7.63E-01	0.763	835.6	<2.2	 				
GI_34222098-S 	NM_015138 	RTF1 	0.763	0.762	833.3	<2.2	 				
GI_31543202-S 	NM_052940 	LRRC42 	0.761	0.76	826.3	<2.2	 				
GI_5902033-S 	NM_007062 	PWP1 	7.31E-01	0.73	704.2	<2.2	 				
GI_38788371-S 	NM_014691 	AQR 	0.724	0.723	678.4	<2.2	 				
GI_21626463-S 	NM_001655 	ARCN1 	7.21E-01	0.72	669	<2.2	 				
GI_16357499-S 	NM_001253 	CDC5L 	0.719	0.718	661.8	<2.2	 				
GI_10863994-S 	NM_021188 	ZNF410 	0.715	0.714	648.4	<2.2	 				
GI_4505940-S 	NM_000938 	POLR2B 	7.08E-01	0.707	62808	<2.2	 				
GI_31317304-S 	NM_005791 	MPHOSPH10 	7.05E-01	0.704	618.4	<2.2	 				
GI_13491165-S 	NM_001020658 	PUM1 	6.96E-01	0.695	593.5	<2.2	 				
GI_17986281-S 	NM_003463 	PTP4A1 	0.695	0.694	590.9	<2.2	 				
GI_19923363-S 	NM_006628 	ARPP-19 	0.69	0.689	577.2	<2.2	 				
GI_8922258-S 	NM_018011 	ARGLU1 	0.69	0.689	57607	<2.2	 				
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
