Name	Accession	Function
Egr 1 (early growth response)	X52541	Transcription factor
Egr 2	AA486027	Transcription factor
GOS2 (lymphocyte G0/G1 gene)	T52813	Transcription factor
KIAA1100	AA411433	Transcription factor
Transforming protein fos-B	L49169	Transcription factor
MYB binding protein (P160) 1a	N49846	Transcription factor
Cathepsin K	T67463	Proteases and inhibitors
SLPI (antileukoproteinase)	AA026641	Proteases and inhibitors
LYZ (lysozyme)	M21119	Proteases and inhibitors
ATP-binding A (ABC1), 7	H45265	Membrane associated
Adaptor-related protein alpha2	H28956	Membrane associated
ATP synthase subunit	T49146	Membrane associated
Membrane assoc protein 17	AA253473	Membrane associated
Mitochondrial membrane protein	AA121962	Membrane associated
Phospholipid scramblase	AF008445	Membrane associated
IL-8	M28130	Secreted proteins
Inducible cytokine A4	M69203	Secreted proteins
VNN3 Vanin 3	AA461448	Secreted proteins
PTGS2 (COX-2)	U04636	Vasoactive mediators
BTG family, member 2	Y09943	Cell cycle
BHLHB2	T40999	Cell cycle
Amplified in ostersarcoma	N25082	Cell cycle
PTMS (parathymosin)	W90032	Cell cycle
MIR (myosin regulatory interacting protein)	AA129373	Cell cycle
IDN3	AA490868	Cell cycle
NELL2 (NEL-like 2)	H23584	Cell cycle
HLX1 (H2.0-like homeo box 1)	M60721	Cell cycle
M AP KKK3 (kinase)	U78876	Signaling
SGK kinase	R97759	Signaling
GADD34	AA251320	Signaling
OSR1 (oxidative-stress responsive 1)	AA039663	Signaling
Ubiquitin enzyme 7 interacting protein 3	AA447671	Signaling
HM74 putative chemokine receptor	D10923	Signaling
NCUBE1	AA256528	Signaling
NUP98 (nucleoporin 98 kD)	AA505118	Signaling
SREBP cleavage-activating protein	D83782	Signaling
SOS1 (son of sevenless homolog 1)	W74256	Signaling
GRN (granulin)	X62320	Signaling
FLJ22948 fis, clone KAT09449	AA447740	Signaling
AXUD1 (AXIN1 up-regulated 1)	T16484	Signaling
B3GNT5	AA043551	Signaling
GIG2 (G-protein-receptor-induced)	AA236455	Signaling
PMAIP1 (PMA-induced protein 1)	AA262439	Signaling
SSI-3 (suppressor of cytokine signaling)	R69417	Signaling
UBE1 (ubiquitin-activating enzyme E1)	M58028	Signaling
DDX34 DEAD/H Box 34	R48810	Nucleic acid binding
KIAA1100	AA411433	Nucleic acid binding
SRPK1 (SFRS protein kinase)	R78142	Nucleic acid binding
BTBD1 [BTB (POZ) domain containing]	R69336	Nucleic acid binding
HDAC5 (histone deacetylase 5)	AA496574	Nucleic acid binding
FHL3 (four and a half LIM domains)	AA460438	Nucleic acid binding
SLC25A1 (solute carrier family 25)	W86850	Miscellaneous
SLC16A5 (solute carrier family 16)	AA421374	Miscellaneous
Wolf-Hirschhorn syndrome-like	AA286863	Miscellaneous
KIAA1536 protein	AA412555	Miscellaneous
