Probeset	Chip	Ratio25-25	Ratio15-15	Ratio10-10	RatioBMPC/PPC	GenBank	Gene	Localization	Description	Function
AFFX-r2-Ec-bioB-5_at	U133A	2.2	3	3.3	2.9	NM_030943.1	AMN	14q32.3	amnionless homolog (mouse)	Intercellular communication signals
AFFX-r2-Ec-bioB-5_at	U133B	1.6	2	2.2	2.9	AV653766	APOC2	19q13.2	apolipoprotein C-II	Intercellular communication signals
202615_at	U133A	1.5	1.8	1.9	3.5	AK025267.1	BTNL3	5q35	butyrophilin-like 3	Intercellular communication signals
221419_s_at	U133A	1.6	1.7	1.8	3.7	NM_005191.1	CD80	3q13.3-q21	CD80 antigen (CD28 antigen ligand 1, B7-1 antigen)	Intercellular communication signals
216051_x_at	U133A	1.7	2.3	2.6	2.2	M76742.1	CEACAM1	19q13.2	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	Intercellular communication signals
AFFX-r2-P1-cre-5_at	U133A	1.6	1.8	1.9	2.1	X14362.1	CR1	1q32	complement component (3b/4b) receptor 1, including Knops blood group system	Intercellular communication signals
AFFX-r2-P1-cre-5_at	U133A	1.8	2.2	2.4	2.1	NM_006688.1	CRF	17q21	C1q-related factor	Intercellular communication signals
237187_at	U133A	1.8	2	2.1	3.2	L20817.1	DDR1	6p21.3	discoidin domain receptor family, member 1	Intercellular communication signals
229465_s_at	U133A	1.6	1.9	1.8	2.5	NM_001401.1	EDG2	9q32	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	Intercellular communication signals
216993_s_at	U133B	1.6	1.9	3.3	1.8	AU118419	GNG2	14q21	guanine nucleotide binding protein (G protein), gamma 2	Intercellular communication signals
242793_at	U133A	1.7	2.1	1.9	2.6	AL050220.1	KLK13	19q13.3-q13.4	kallikrein 13	Intercellular communication signals
237287_at	U133A	1.6	2.2	2.1	1.7	NM_007015.1	LECT1	13q14-q21	leukocyte cell derived chemotaxin 1	Intercellular communication signals
243576_at	U133A	2	2.5	2.6	2	NM_004829.1	NCR1	19q13.42	natural cytotoxicity triggering receptor 1	Intercellular communication signals
235317_at	U133A	1.6	2.4	2.2	3.3	AF041811.2	NTRK3	15q25	neurotrophic tyrosine kinase, receptor, type 3	Intercellular communication signals
222301_at	U133A	1.6	1.8	2.2	1.6	NM_002856.1	PVRL2	19q13.2-q13.4	poliovirus receptor-related 2 (herpesvirus entry mediator B)	Intercellular communication signals
237370_at	U133A	1.9	2.5	3.3	1.6	AF184174	SSTR2	17q24	somatostatin receptor 2	Intercellular communication signals
240501_at	U133A	1.6	2	2	1.7	NM_025218.1	ULBP1	6q25	UL16 binding protein 1	Intercellular communication signals
233282_at	U133A	1.7	2	2.1	1.7	AA809056	ACTB	7p15-p12	actin, beta	Cytosqueleton
233511_at	U133A	1.7	2.3	2.9	1.7	AK023853.1	ARHGEF15	17p13.1	Rho guanine nucleotide exchange factor (GEF) 15	Cytosqueleton
243017_at	U133A	1.7	2.1	1.9	2.1	NM_001978.1	EPB49	8p21.1	erythrocyte membrane protein band 4.9 (dematin)	Cytosqueleton
211454_x_at	U133A	1.7	1.9	1.8	2.5	NM_002385.1	MBP	18q23	myelin basic protein	Cytosqueleton
233761_at	U133A	3.7	4.2	3.3	2.1	AA576961	PHLDA1	12q15	pleckstrin homology-like domain, family A, member 1	Cytosqueleton
215549_x_at	U133A	1.9	2.2	2	1.9	NM_002677.1	PMP2	8q21.3-q22.1	peripheral myelin protein 2	Cytosqueleton
214180_at	U133A	1.6	2.1	2.4	2	NM_001740.2	CALB2	16q22.2	calbindin 2, 29kDa (calretinin)	Transduction signals
228376_at	U133A	2.3	2.9	2.5	4.2	NM_004420.1	DUSP8	11p15.5	dual specificity phosphatase 8	Transduction signals
211172_x_at	U133A	2	2.6	3	2	NM_012324.1	MAPK8IP2	22q13.33	mitogen-activated protein kinase 8 interacting protein 2	Transduction signals
204151_x_at	U133A	1.6	2	2.1	1.5	AL157418.1	MINK	17p13.3	misshapen/NIK-related kinase	Transduction signals
220989_s_at	U133A	1.5	1.7	1.8	3.2	NM_014308.1	P101-PI3K	17p13.1	phosphoinositide-3-kinase, regulatory subunit, polypeptide p101	Transduction signals
231561_s_at	U133A	1.6	1.7	1.7	1.8	BF432478	PINK1	1p36	PTEN induced putative kinase 1	Transduction signals
217014_s_at	U133A	1.8	1.9	2.1	3.8	NM_002944.1	ROS1	6q22	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)	Transduction signals
201883_s_at	U133A	1.6	2.1	2	3	NM_001661.1	ARF4L	17q12-q21	ADP-ribosylation factor 4-like	Protein synthesis and regulation
220451_s_at	U133A	1.9	2.2	2.4	1.9	NM_001958.1	EEF1A2	20q13.3	eukaryotic translation elongation factor 1 alpha 2	Protein synthesis and regulation
209578_s_at	U133A	1.5	1.9	2.3	2.2	AB007892.1	CDC5L	6p21	CDC5 cell division cycle 5-like (S. pombe)	Cell cycle
209906_at	U133A	1.5	1.7	1.9	2.2	NM_013229.1	APAF1	12q23	apoptotic protease activating factor	Apoptosis
231710_at	U133A	1.8	2.2	2.2	2.9	NM_014911.1	AAK1	2p24.3-p14	adaptor-associated kinase 1	Metabolism
223703_at	U133A	1.8	2.2	2.6	1.9	NM_001353.2	AKR1C1	10p15-p14	aldo-keto reductase family 1, member C1	Metabolism
213348_at	U133A	1.7	2.4	2.8	3.5	NM_012069.2	ATP1B4	Xq24	ATPase, (Na+)/K+ transporting, beta 4 polypeptide	Metabolism
205575_at	U133A	1.6	1.7	1.8	2	BC005894.1	FMO2	1q23-q25	flavin containing monooxygenase 2	Metabolism
214411_x_at	U133A	1.6	1.7	1.9	2	NM_005258.2	GCHFR	15q15	GTP cyclohydrolase I feedback regulatory protein	Metabolism
204470_at	U133A	1.6	1.9	1.8	2.3	AW086154	GGA2	16p12	golgi associated, gamma adaptin ear containing, ARF binding protein 2	Metabolism
205088_at	U133A	1.6	1.8	2.3	2.1	AK027032.1	GLG1	16q22-q23	golgi apparatus protein 1	Metabolism
206878_at	U133A	1.6	2	1.8	1.8	NM_001512.1	GSTA4	6p12.1	glutathione S-transferase A4	Metabolism
