AffyID	Genes	Description
201148	TIMP3	TIMP metallopeptidase inhibitor 3 (dystrophy, pseudoinflammatory)
203666	CXCL12	Chemokine (C-X-C motif)ligand 12 (stromal cell derived factor-1)
204653	TFAP2A	Transcription factor AP-2 alpha (activating enhancer binding protein 2alpha)
207057	SLC16A7	Solute carrier family member 16, member 7 (monocarboxylic acid transporter 2)
208900	TOP1	Topoisomerase (DNA) 1
209763	CHRDL1	Chordin-like 1
209960	HGF	Hepatocyte growth factor (hepatopoietin A, scatter factor)
213689	RPL5	Ribosomal protein L5
214600	TEAD1	TEA domain family member 1 (SV40 transcriptional enahncer factor)
215695	GYG2	Glycogenin 2
223940	MALAT1	Metastasis associated lung adenocarcinoma transcript 1
227657	RFN150	Ring finger protein 150
227952	LOC40211	Hypothetical LOC402110
238013	PLEKHA2	Pleckstrin homology domain, family A (phosphoinositide binding specific) member 2
239218	PDE1C	Phosphodiesterase 1C, calmodulin dependent
239367	BDNF	Brain-derived neurotrophic factor
