Curated Gene Symbol	Probeset	Location	Class of long non-coding RNA	Transcript Name	Target Gene	Name	P-value	Fold Change
PXN	227332_at	12:120644357-120650534(1)	Antisense		PXN	paxillin	0.00004	-1.64
KCNQ1	204486_at	11:2466654-2549218(-1)	Antisense		KCNQ1	potassium voltage-gated channel, KQT-like subfamily, member 1	0.00022	-1.69
SRSF8	229471_s_at	11:94800423-94800900(-1)	Antisense		SRSF8	serine/arginine-rich splicing factor 8	0.00142	-1.51
ETV6	216656_at	12:12022607-12022844(-1)	Antisense		ETV6	ets variant 6	0.0001	-1.56
MCM3AP	220459_at	21:47671032-47671538(1)	Antisense	MCM3APAS	MCM3AP	minichromosome maintenance complex component 3 associated protein	0.00014	1.73
	1565692_at	16:22424537-22424948(-1)	Intergenic				0	1.62
	241799_x_at	15:31507853-31508006(1)	Intergenic				0.0004	-1.5
	1570194_x_at	2:175410064-175410298(-1)	Intergenic				0	2.16
	1557008_at	5:24835827-24835971(-1)	Intergenic	RP11-730N24.1			0.00015	-1.8
	240892_at	3:46958186-46958699(-1)	Intergenic				0.00098	1.64
	1565895_at	17:46202772-46203095(-1)	Intergenic				0.00001	1.92
	236097_at	4:42100829-42101265(1)	Intergenic				0.00022	1.59
	227082_at	3:114041173-114041689(-1)	Intergenic				0.00004	1.96
	241181_x_at	19:36343031-36343395(-1)	Intergenic				0.00002	-1.51
	237201_at	7:30310066-30310372(-1)	Intergenic				0.0002	1.55
	236355_s_at	10:81548846-81549244(-1)	Intergenic				0.00008	1.69
	1561363_a_at	10:51451361-51451749(-1)	Intergenic				0.00002	1.62
	241388_at	4:140372897-140373184(-1)	Intergenic				0.00134	1.59
	239484_at	15:50849401-50849846(-1)	Intergenic				0.00019	1.54
	211693_at	14:106050223-106170717(-1)	Intergenic				0.00021	-1.77
	236330_at	15:102161782-102162169(-1)	Intergenic				0.0002	1.62
	1569311_at	X:73228308-73228577(1)	Intergenic				0.00003	2.03
	238112_at	11:134350768-134373052(1)	Intergenic				0.00108	-1.51
	1556636_at	5:141547367-141547618(1)	Intergenic				0.00124	1.7
	239798_at	2:173470994-173471283(1)	Intergenic				0.00026	2.19
	229318_at	10:81451324-81451686(-1)	Intergenic				0.00032	1.54
	1569234_at	17:19911659-19911807(-1)	Intergenic				0.00028	-1.56
	242968_at	8:38236891-38237255(-1)	Intergenic				0.00037	1.91
	243310_at	14:75308989-75309372(1)	Intergenic				0.00037	1.8
	239045_at	17:62203324-62203881(-1)	Intergenic				0.00031	1.59
	238109_at	9:99650542-99651102(-1)	Intergenic				0.00066	1.72
	1556453_at	2:7569966-7570317(1)	Intergenic	AC_013460.1			0.00107	-1.59
	210794_s_at	14:101327062-101327312(1)	Intergenic	maternally expressed 3 (MEG3)			0.00002	-1.54
	215011_at	1:28837053-28837310(1)	Intergenic	small nucleolar RNA host gene 3 (SNHG3))			0.00148	1.53
	1553449_at	16:89227921-89229541(1)	Intergenic	C16orf81			0	-1.86
	228913_at	13:45963685-45964183(1)	Intergenic	XXyac-R12DG2.2-010			0	1.56
	1554447_at	X:73219577-73220128(1)	Intergenic	NCRNA00183			0.00152	2.27
	242208_at	10:43011550-43011954(-1)	Intergenic				0.00073	1.58
	223725_at	3:10326855-10327308(1)	Intergenic	ghrelin opposite strand (GHRLOS)			0.0003	1.53
	215105_at	13:28308504-37636206(-1)	Intergenic				0.00148	1.54
	243656_at	21:46710016-46710477(1)	Intergenic	BX322557.10			0.00021	-1.6
	1563088_a_at	21:45225704-45226175(-1)	Intergenic	AP_001053.11			0.00005	-1.53
	228832_at	4:102269527-102270001(1)	Intergenic				0.0007	-1.55
	215778_x_at	7:302890-304046(1)	Intergenic				0.00071	-1.59
	1553372_at	22:39568926-39569215(-1)	Intergenic				0.00003	-1.71
	1557505_a_at	14:35470654-35471011(1)	Intergenic (known lincRNA)	AL049776.2			0	1.67
	241270_at	17:74488138-74488556(-1)	Intergenic (known lincRNA)	AC_015802.2			0.00002	-1.62
	1564211_at	14:98399694-98399988(-1)	Intergenic (known lincRNA)	C14orf64			0.00115	1.67
	1564426_x_at	8:12453592-12453703(-1)	Intergenic (known lincRNA)	AC_130352.1			0.00151	-1.95
IREB2	242261_at	15:78767486-78767906(1)	Intronic (antisense)		IREB2	iron-responsive element binding protein 2	0.00026	1.7
CEP192	243315_at	18:13107363-13107693(1)	Intronic (antisense)		CEP192	centrosomal protein 192kDa	0	1.71
NKIRAS1	1563348_at	3:23946825-23947263(1)	Intronic (antisense)		NKIRAS1	NFKB inhibitor interacting Ras-like 1	0	1.52
	228983_at	17:3705527-3706540(-1)	Intronic (antisense)		LincRNA	AC_087742.1	0.00011	1.53
RAF1	242425_at	3:12627502-12627863(1)	Intronic (antisense)		RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	0.0012	1.53
RNF10	237062_at	12:121010770-121011083(-1)	Intronic (antisense)		RNF10	ring finger protein 10	0.00129	1.85
CERKL	1562067_at	2:182408177-182408439(1)	Intronic (antisense)		CERKL	ceramide kinase-like	0.00042	1.58
PRKRA	228620_at	2:179300909-179301375(1)	Intronic (antisense)		PRKRA	protein kinase, interferon-inducible double stranded RNA dependent activator pseudogene 1	0.00014	1.64
CAPZB	238351_x_at	1:19718728-19718998(1)	Intronic (antisense)		CAPZB	capping protein (actin filament) muscle Z-line, beta	0.00009	-1.53
MUC6	1565662_at	11:1016725-1018441(1)	Intronic (antisense)		MUC6	mucin 6, oligomeric mucus/gel-forming	0.00004	-1.59
MYH7B	1557744_at	20:33577003-33577327(-1)	Intronic (antisense)		MYH7B	myosin, heavy chain 7B, cardiac muscle, beta	0.00032	1.55
PAX5	1566427_at	9:36957974-36958398(1)	Intronic (antisense)		PAX5	paired box 5	0.00124	-1.58
MIA3	223641_at	1:222834900-222835295(-1)	Intronic (antisense)		MIA3	melanoma inhibitory activity family, member 3	0.00107	1.76
ZNF418	236229_at	19:58382753-58383164(1)	Intronic (antisense)		ZNF418	zinc finger protein 418	0	1.87
EGR2	229409_s_at	10:64564976-64565231(-1)	Intronic (sense)		EGR2	early growth response 2	0.00001	-1.79
TBC1D10A	244382_at	22:30709697-30709911(-1)	Intronic (sense)		TBC1D10A	TBC1 domain family, member 10A	0.00001	2.02
