Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	28 genes associated with lipid metabolism	Gene Accession	Gene Name	GO Annotation	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_24_P289265	chr9:107618189-107618248	ABCA1	1	AK024328	ATP-binding cassette, sub-family A (ABC1), member 1	molecular function|ATP binding|IDA|GO:0005524|GOA|11700048//molecular function|ATPase activity|IEA|GO:0016887|GOA|na//molecular function|anion transmembrane transporter activity|ISS|GO:0008509|GOA|na//molecular function|apolipoprotein A-I binding|IPI|GO:0034186|GOA|ARRAY(0xfafb28)//molecular function|apolipoprotein A-I receptor activity|IDA|GO:0034188|GOA|16443932//molecular function|apolipoprotein binding|IPI|GO:0034185|GOA|11162594//molecular function|cholesterol binding|IC|GO:0015485|GOA|12084722//molecular function|cholesterol transporter activity|IDA|GO:0017127|GOA|12084722//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|phospholipid binding|IC|GO:0005543|GOA|16702602//molecular function|phospholipid transporter activity|IDA|GO:0005548|GOA|16702602//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb35ecc)//molecular function|small GTPase binding|IPI|GO:0031267|GOA|16443932//molecular function|syntaxin-13 binding|IPI|GO:0030349|GOA|15469992//biological process|Cdc42 protein signal transduction|IMP|GO:0032488|GOA|16443932//biological process|G-protein coupled receptor protein signaling pathway|IMP|GO:0007186|GOA|16443932//biological process|cholesterol efflux|IDA|GO:0033344|GOA|ARRAY(0xf4e834)//biological process|cholesterol efflux|IMP|GO:0033344|GOA|16443932//biological process|cholesterol homeostasis|IDA|GO:0042632|GOA|10431236//biological process|cholesterol metabolic process|IDA|GO:0008203|GOA|14747463//biological process|endosome transport|IDA|GO:0016197|GOA|14747463//biological process|high-density lipoprotein particle assembly|IMP|GO:0034380|GOA|ARRAY(0xb231cc)//biological process|interleukin-1 beta secretion|IMP|GO:0050702|GOA|11855831//biological process|intracellular cholesterol transport|IMP|GO:0032367|GOA|10431236//biological process|lysosome organization|IDA|GO:0007040|GOA|15163665//biological process|negative regulation of cholesterol storage|TAS|GO:0010887|GOA|18490524//biological process|negative regulation of macrophage derived foam cell differentiation|TAS|GO:0010745|GOA|18490524//biological process|peptide secretion|IEA|GO:0002790|GOA|na//biological process|phagocytosis, engulfment|IEA|GO:0006911|GOA|na//biological process|phospholipid efflux|IDA|GO:0033700|GOA|ARRAY(0xb6bddc)//biological process|phospholipid efflux|IMP|GO:0033700|GOA|16702602//biological process|phospholipid homeostasis|IMP|GO:0055091|GOA|16702602//biological process|phospholipid translocation|IEA|GO:0045332|GOA|na//biological process|platelet dense granule organization|IMP|GO:0060155|GOA|15163665//biological process|positive regulation of cAMP biosynthetic process|IMP|GO:0030819|GOA|14701824//biological process|protein amino acid lipidation|IEA|GO:0006497|GOA|na//biological process|reverse cholesterol transport|IMP|GO:0043691|GOA|10431236//biological process|steroid metabolic process|IEA|GO:0008202|GOA|na//biological process|transport|IEA|GO:0006810|GOA|na//cellular component|Golgi apparatus|IEA|GO:0005794|GOA|na//cellular component|endocytic vesicle|IDA|GO:0030139|GOA|14747463//cellular component|integral to plasma membrane|IDA|GO:0005887|GOA|10525055//cellular component|membrane fraction|IDA|GO:0005624|GOA|10525055//cellular component|membrane raft|IDA|GO:0045121|GOA|15469992//cellular component|phagocytic vesicle|IDA|GO:0045335|GOA|15469992//cellular component|plasma membrane|EXP|GO:0005886|GOA|ARRAY(0x12c38e8)	F	14	0.801	-1.2484	0.000027009	74.9804	59.277
A_24_P100742	chr4:2909528-2909571	ADD1	0	NM_176801	Adducin 1 (alpha)	molecular function|actin binding|TAS|GO:0003779|GOA|1840603//molecular function|actin filament binding|IDA|GO:0051015|GOA|7642559//molecular function|calmodulin binding|IEA|GO:0005516|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|protein heterodimerization activity|IPI|GO:0046982|GOA|7642559//molecular function|protein homodimerization activity|IPI|GO:0042803|GOA|7642559//molecular function|spectrin binding|IDA|GO:0030507|GOA|7642559//molecular function|transcription factor binding|IPI|GO:0008134|GOA|16289097//biological process|actin cytoskeleton organization|IC|GO:0030036|GOA|3693401//biological process|actin filament bundle assembly|IDA|GO:0051017|GOA|3693401//biological process|barbed-end actin filament capping|IDA|GO:0051016|GOA|8626479//biological process|positive regulation of protein binding|IDA|GO:0032092|GOA|ARRAY(0xb37714)//cellular component|F-actin capping protein complex|IDA|GO:0008290|GOA|8626479//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|10823823//cellular component|nucleus|IDA|GO:0005634|GOA|16289097//cellular component|plasma membrane|IEA|GO:0005886|GOA|na	F	14	0.7817	-1.2793	5.6898E-11	63.5293	48.7109
A_23_P41970	chr5:76331493-76331552	AGGF1	0	NM_018046	Angiogenic factor with G patch and FHA domains 1	molecular function|eukaryotic cell surface binding|IDA|GO:0043499|GOA|14961121//molecular function|nucleic acid binding|IEA|GO:0003676|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|14961121//biological process|RNA processing|TAS|GO:0006396|GOA|15486042//biological process|cell adhesion|IDA|GO:0007155|GOA|14961121//biological process|multicellular organismal development|IEA|GO:0007275|GOA|na//biological process|positive regulation of angiogenesis|IDA|GO:0045766|GOA|14961121//biological process|positive regulation of endothelial cell proliferation|IDA|GO:0001938|GOA|14961121//biological process|vasculogenesis|TAS|GO:0001570|GOA|15905966//cellular component|cytoplasm|IDA|GO:0005737|GOA|14961121//cellular component|extracellular region|IDA|GO:0005576|GOA|14961121//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|perinuclear region of cytoplasm|IDA|GO:0048471|GOA|14961121	F	15	0.8119	-1.2316	6.4289E-08	1622.3608	1295.1736
A_24_P29876	chr8:6616823-6616882	AGPAT5	1	NM_018361	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	molecular function|1-acylglycerol-3-phosphate O-acyltransferase activity|NAS|GO:0003841|GOA|15367102//molecular function|acyltransferase activity|IEA|GO:0008415|GOA|na//molecular function|phospholipid:diacylglycerol acyltransferase activity|EXP|GO:0046027|GOA|11487472//molecular function|transferase activity|IEA|GO:0016740|GOA|na//biological process|metabolic process|IEA|GO:0008152|GOA|na//biological process|phospholipid biosynthetic process|NAS|GO:0008654|GOA|15367102//cellular component|cellular_component|ND|GO:0005575|GOA|na//cellular component|cytosol|EXP|GO:0005829|GOA|11487472//cellular component|integral to membrane|IEA|GO:0016021|GOA|na//cellular component|membrane|IEA|GO:0016020|GOA|na//cellular component|mitochondrion|IDA|GO:0005739|GOA|11256614	M	16	1.3893	1.3893	5.2326E-19	2885.5964	4030.7615
A_24_P923353	chr6:24535617-24535676	ALDH5A1	1	NM_170740	Aldehyde dehydrogenase 5 family, member A1	molecular function|oxidoreductase activity|IEA|GO:0016491|GOA|na//molecular function|protein homodimerization activity|IC|GO:0042803|GOA|16199352//molecular function|succinate-semialdehyde dehydrogenase activity|IDA|GO:0004777|GOA|9683595//molecular function|succinate-semialdehyde dehydrogenase activity|ISS|GO:0004777|GOA|7814412//biological process|acetate metabolic process|ISS|GO:0006083|GOA|na//biological process|central nervous system development|IMP|GO:0007417|GOA|9683595//biological process|galactosylceramide metabolic process|ISS|GO:0006681|GOA|na//biological process|gamma-aminobutyric acid catabolic process|IDA|GO:0009450|GOA|9683595//biological process|gamma-aminobutyric acid catabolic process|IMP|GO:0009450|GOA|15037717//biological process|glucose metabolic process|ISS|GO:0006006|GOA|na//biological process|glutamate metabolic process|ISS|GO:0006536|GOA|na//biological process|glutamine metabolic process|ISS|GO:0006541|GOA|na//biological process|glutathione metabolic process|ISS|GO:0006749|GOA|na//biological process|glycerophospholipid metabolic process|ISS|GO:0006650|GOA|na//biological process|neurotransmitter catabolic process|ISS|GO:0042135|GOA|na//biological process|oxidation reduction|IEA|GO:0055114|GOA|na//biological process|protein homotetramerization|IDA|GO:0051289|GOA|16199352//biological process|respiratory electron transport chain|ISS|GO:0022904|GOA|na//biological process|short-chain fatty acid metabolic process|ISS|GO:0046459|GOA|na//biological process|succinate metabolic process|ISS|GO:0006105|GOA|na//cellular component|mitochondrion|ISS|GO:0005739|GOA|na//cellular component|soluble fraction|IDA|GO:0005625|GOA|16199352	F	14	0.8622	-1.1598	2.1279E-06	2580.7979	2218.3975
A_24_P401768	chr11:94563214-94563264	AMOTL1	0	NM_130847	Angiomotin like 1	molecular function|identical protein binding|IDA|GO:0042802|GOA|16019084//molecular function|protein binding|IPI|GO:0005515|GOA|17353931//cellular component|cell junction|IDA|GO:0030054|GOA|18029348//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|tight junction|IDA|GO:0005923|GOA|16019084	F	15	0.7564	-1.322	5.9522E-06	30.0105	22.4583
A_23_P216108	chr8:41513069-41513128	ANK1	0	NM_020480	Ankyrin 1, erythrocytic	molecular function|cytoskeletal adaptor activity|IDA|GO:0008093|GOA|379653//molecular function|cytoskeletal adaptor activity|TAS|GO:0008093|GOA|11427698//molecular function|enzyme binding|TAS|GO:0019899|GOA|11427698//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xb9d268)//molecular function|spectrin binding|IDA|GO:0030507|GOA|379653//molecular function|spectrin binding|NAS|GO:0030507|GOA|8640229//molecular function|structural constituent of cytoskeleton|TAS|GO:0005200|GOA|8640229//molecular function|structural molecule activity|NAS|GO:0005198|GOA|9430667//biological process|cytoskeleton organization|NAS|GO:0007010|GOA|9430667//biological process|exocytosis|NAS|GO:0006887|GOA|1833445//biological process|maintenance of epithelial cell apical/basal polarity|TAS|GO:0045199|GOA|11427698//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|M band|IEA|GO:0031430|GOA|na//cellular component|basolateral plasma membrane|NAS|GO:0016323|GOA|12409278//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|NAS|GO:0005856|GOA|1833445//cellular component|plasma membrane|IDA|GO:0005886|GOA|379653//cellular component|plasma membrane|NAS|GO:0005886|GOA|9430667//cellular component|sarcoplasmic reticulum|IEA|GO:0016529|GOA|na//cellular component|spectrin-associated cytoskeleton|IDA|GO:0014731|GOA|379653	F	14	0.7908	-1.2646	0.0003	17.657	13.9625
A_24_P162173	chr10:61843250-61843293	ANK3	0	NM_020987	Ankyrin 3, node of Ranvier (ankyrin G)	molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0xf8fbc4)//biological process|establishment of protein localization|IMP|GO:0045184|GOA|15611082//biological process|signal transduction|IEA|GO:0007165|GOA|na//cellular component|basolateral plasma membrane|IDA|GO:0016323|GOA|15611082//cellular component|cytoplasm|IEA|GO:0005737|GOA|na//cellular component|cytoskeleton|IEA|GO:0005856|GOA|na	F	14	0.8043	-1.2433	4.5657E-06	93.7275	74.9138
A_23_P96827	chr1:159558017-159558076	APCS	0	NM_001639	Amyloid P component, serum	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|sugar binding|IEA|GO:0005529|GOA|na//molecular function|unfolded protein binding|TAS|GO:0051082|GOA|10812074//biological process|acute-phase response|TAS|GO:0006953|GOA|2987268//biological process|chaperone-mediated protein complex assembly|TAS|GO:0051131|GOA|10972085//biological process|protein complex assembly|IEA|GO:0006461|GOA|na//biological process|protein folding|TAS|GO:0006457|GOA|10812074//biological process|response to protein stimulus|IEA|GO:0051789|GOA|na//cellular component|extracellular region|NAS|GO:0005576|GOA|14718574//cellular component|extracellular space|TAS|GO:0005615|GOA|10972085//cellular component|protein complex|IEA|GO:0043234|GOA|na	M	15	1.1728	1.1728	3.2582E-07	60036.5391	70345.2422
A_23_P75630	chr11:116660206-116660265	APOA5	1	NM_052968	Apolipoprotein A-V	molecular function|enzyme activator activity|IDA|GO:0008047|GOA|16806135//molecular function|enzyme binding|IDA|GO:0019899|GOA|15178420//molecular function|heparin binding|IDA|GO:0008201|GOA|15878877//molecular function|heparin binding|IDA|GO:0008201|GOA|17326667//molecular function|lipase activator activity|IMP|GO:0060229|GOA|15178420//molecular function|lipid binding|IDA|GO:0008289|GOA|12810715//molecular function|lipoprotein lipase activator activity|IDA|GO:0060230|GOA|18635818//molecular function|lipoprotein receptor binding|IPI|GO:0070325|GOA|18635818//molecular function|low-density lipoprotein receptor binding|IPI|GO:0050750|GOA|17326667//molecular function|phosphatidylcholine binding|IDA|GO:0031210|GOA|16806135//molecular function|phospholipid binding|IDA|GO:0005543|GOA|12810715//biological process|acylglycerol homeostasis|IDA|GO:0055090|GOA|11588264//biological process|acylglycerol homeostasis|IMP|GO:0055090|GOA|15178420//biological process|lipid transport|IDA|GO:0006869|GOA|15178420//biological process|lipoprotein metabolic process|IEA|GO:0042157|GOA|na//biological process|positive regulation of fatty acid biosynthetic process|IDA|GO:0045723|GOA|18635818//biological process|positive regulation of lipid catabolic process|IDA|GO:0050996|GOA|16806135//biological process|positive regulation of lipoprotein lipase activity|IDA|GO:0051006|GOA|ARRAY(0x47ae81c)//biological process|positive regulation of receptor-mediated endocytosis|TAS|GO:0048260|GOA|18635818//biological process|positive regulation of triglyceride catabolic process|IDA|GO:0010898|GOA|18635818//biological process|positive regulation of very-low-density lipoprotein particle remodeling|IDA|GO:0010902|GOA|18635818//biological process|tissue regeneration|IEP|GO:0042246|GOA|11577099//biological process|triglyceride catabolic process|IMP|GO:0019433|GOA|15178420//biological process|triglyceride homeostasis|IMP|GO:0070328|GOA|18635818//biological process|triglyceride metabolic process|IDA|GO:0006641|GOA|11588264//biological process|triglyceride metabolic process|IMP|GO:0006641|GOA|ARRAY(0x14b61f0)//biological process|triglyceride-rich lipoprotein particle remodeling|IEA|GO:0034370|GOA|na//cellular component|chylomicron|IDA|GO:0042627|GOA|15528295//cellular component|extracellular region|IDA|GO:0005576|GOA|11577099//cellular component|extracellular space|IDA|GO:0005615|GOA|18635818//cellular component|high-density lipoprotein particle|IDA|GO:0034364|GOA|15528295//cellular component|low-density lipoprotein particle|IDA|GO:0034362|GOA|15528295//cellular component|very-low-density lipoprotein particle|IDA|GO:0034361|GOA|15528295	F	14	0.7981	-1.2531	1.7508E-08	13914.8965	11072.7295
