Fold Increase	Map	Gene	Gene Identity
0.03	6q12Å]q21	CGA	glycoprotein hormones, alpha polypeptide
0.06	11p13	FSHB	follicle stimulating hormone, beta polypeptide
0.09	9p22	SH3GL2	SH3Å]domain GRB2Å]like 2
0.11	14q24.2Å]q24.3	DIO2	deiodinase, iodothyronine, type II
0.17	Xq26.1	GPC4	glypican 4
0.18	5q31	PITX1	pairedÅ]like homeodomain 1
0.19	19q13.32	CGB5	chorionic gonadotropin, beta polypeptide 5
0.19	21q22.3	COL6A1	collagen, type VI, alpha 1
0.2	Xq26.1	GPC3	glypican 3
0.2	16q22.1	CDH1	cadherin 1, type 1, EÅ]cadherin (epithelial)
0.21	20q11.2Å]q12	NNAT	neuronatin
0.22	16q22.1	HP	haptoglobin
0.22	4q22.1	SPARCL1	SPARCÅ]like 1 (mast9, hevin)
0.25	12p13.1Å]p12.3	MGP	matrix Gla protein
0.27	1p36.1Å]p35	HSPG2	heparan sulfate proteoglycan 2
0.28	5q32	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain
0.3	6p21.3	HLAÅ]DRB5	major histocompatibility complex, class II, DR beta 5
0.32	17q12Å]q21.1	IGFBP4	insulinÅ]like growth factor binding protein 4
0.36	11p11.2	MDK	midkine (neurite growthÅ]promoting factor 2)
0.39	6p21.3	HLAÅ]DRB3	major histocompatibility complex, class II, DR beta 3
0.42	3q26.2Å]qter	APOD	apolipoprotein D
0.43	6p21.3	HLAÅ]DRA	major histocompatibility complex, class II, DR alpha
0.45	Xq22Å]q24	PGRMC1	progesterone receptor membrane component 1
0.6	1p13.3	GSTM2	glutathione SÅ]transferase mu 2 (muscle)
