pbs	gene symbol	chrom	arm	cytogenet	start	end	genes cluster	p-value	fold-change
1562447_a_at		9	9q	q34.3	137499803	137512385	a	2,87E-15	-0,43593369
226313_at	C10orf35	10	10q	q21.3	71060305	71063358	a	2,11E-11	-0,68192255
226567_at	USP14	18	18p	p11.32	203613	204736	a	4,06E-08	-0,6215581
1559780_at	DDAH1	1	1p	p22.3	85640452	85642528	a	4,57E-08	-0,58594099
219258_at	TIPIN	15	15q	q22.31	64416229	64432349	a	1,13E-07	-0,95913656
208002_s_at	ACOT7	1	1p	p36.31	6246918	6376025	a	1,23E-06	-1,07257101
213785_at	IPO9	1	1q	q32.1	200118536	200120042	a	1,57E-06	-0,83709371
202641_at	ARL3	10	10q	q24.32	104426304	104455237	a	3,36E-05	-0,97432274
1556144_at	DHX30	3	3p	p21.31	47819598	47859058	a	3,76E-05	-0,42369862
218911_at	YEATS4	12	12q	q15	68039798	68070842	a	0,00010517	-1,02630275
242056_at	TRIM45	1	1p	p13.1	117455206	117455860	a	0,00010894	-1,36787902
1568873_at	ZNF519	18	18p	p11.21	14089945	14122427	a	0,00015371	-0,99308184
228812_at		2	2p	p16.1	61011008	61012250	a	0,00015502	-1,13056842
207358_x_at	MACF1	1	1p	p34.3	39469437	39724699	a	0,00017633	-0,76163303
203983_at	TSNAX	1	1q	q42.2	229731021	229768890	a	0,00023845	-0,91002259
1569701_at	PER3	1	1p	p36.23	7769968	7771216	a	0,00025592	-1,24876164
235039_x_at	LIN9	1	1q	q42.12	224485699	224493359	a	0,0003203	-0,63218435
202916_s_at	FAM20B	1	1q	q25.2	177261653	177312320	a	0,00033176	-0,77253508
205283_at	FKTN	9	9q	q31.2	107377044	107443219	a	0,0003411	-0,87465438
226341_at		8	8q	q21.3	92149321	92150640	a	0,00034174	-1,00278391
1558369_at	MPHOSPH9	12	12q	q24.31	122204731	122206833	a	0,00035714	-0,99047975
204662_at	CP110	16	16p	p12.3	19442778	19472227	a	0,00041718	-0,9231633
235130_at	PANK2	20	20p	p13	3846209	3847286	a	0,00042177	-0,41204552
221909_at	RNFT2	12	12q	q24.22	115773636	115775819	a	0,00042971	-1,37986061
215222_x_at	MACF1	1	1p	p34.2	39689381	39724329	a	0,00047637	-0,63905773
225456_at	MED1	17	17q	q12	34814063	34816026	a	0,00048103	-0,77567642
212238_at	ASXL1	20	20q	q11.21	30481397	30490782	a	0,00048365	-0,66916179
237881_at		15	15q	q26.3	97140520	97140922	a	0,00049839	-2,05564923
242156_at		2	2p	p13.2	73673364	73673825	a	0,00050608	-0,99481906
214999_s_at	RAB11FIP3	16	16p	p13.3	451404	487449	a	0,0005258	-0,5926189
204299_at	FUSIP1	1	1p	p36.11	24168159	24179404	a	0,00056255	-0,61206443
232168_x_at	MACF1	1	1p	p34.2	39694964	39703169	a	0,00061882	-0,60719995
1557164_a_at		9	9q	q22.32	97684168	97684774	a	0,0006495	-0,67560609
226883_at		17	17q	q21.2	37258295	37259038	a	0,00073763	-0,73600563
242563_at	FCHSD2	11	11q	q13.4	72448422	72449258	a	0,00075447	-0,90799488
1559988_at	ZNF483	9	9q	q31.3	113327333	113346533	a	0,00079595	-0,232543
1564773_x_at		12	12q	q13.2	54468573	54987291	a	0,00080576	-0,61991063
206273_at	SLMO1	18	18p	p11.21	12421580	12422232	a	0,00081023	-0,71569851
242439_s_at	ASXL1	20	20q	q11.21	30410948	30411530	a	0,00081929	-0,94579813
215170_s_at	CEP152	15	15q	q21.1	46820636	46890519	a	0,0008326	-0,60719148
236780_at		9	9q	q33.3	126670329	126670793	a	0,0008996	-0,71026123
215905_s_at	WDR57	1	1p	p35.2	31505143	31515100	a	0,000944	-0,55092427
220078_at	USP48	1	1p	p36.12	21877674	21905626	a	0,00095198	-0,77409018
204784_s_at	MLF1	3	3q	q25.32	159771687	159805878	a	0,00096206	-1,60572083
1553602_at	MUCL1	12	12q	q13.2	53534566	53538437	b	4,13E-21	5,26160053
214079_at	DHRS2	14	14q	q11.2	23182093	23184686	b	7,40E-12	6,07114177
223748_at	SLC4A11	20	20p	p13	3156063	3166373	b	7,93E-10	2,22123385
226553_at	TMPRSS2	21	21q	q22.3	41758174	41791989	b	1,23E-09	1,24805783
203021_at	SLPI	20	20q	q13.12	43314292	43316616	b	1,39E-09	3,58791781
201525_at	APOD	3	3q	q29	196776885	196787657	b	1,51E-09	4,13028273
231098_at		8	8q	q11.23	54586901	54587381	b	1,84E-08	1,99477218
228064_at	C22orf36	22	22q	q11.23	23311602	23312245	b	8,02E-08	1,3144069
211682_x_at	UGT2B28	4	4q	q13.2	70180805	70195356	b	1,59E-07	6,76107504
226812_at		11	11q	q12.1	58103517	58138386	b	2,39E-07	0,21132599
201087_at	PXN	12	12q	q24.31	119132639	119187892	b	3,38E-07	0,75117881
217276_x_at	SERHL2	22	22q	q13.2	41281178	41300005	b	1,06E-06	5,41658163
206463_s_at	DHRS2	14	14q	q11.2	23177396	23184470	b	3,29E-06	5,20892144
200831_s_at	SCD	10	10q	q24.31	102096870	102114573	b	3,87E-06	2,14221968
228523_at	NANOS1	10	10q	q26.11	120779907	120781025	b	4,66E-06	2,39161748
217284_x_at	SERHL2	22	22q	q13.2	41279970	41300005	b	5,14E-06	5,60209707
1561817_at		17	17p	p13.1	7901044	7902449	b	5,22E-06	4,32106468
