Entrez gene ID	Gene Symbol	FDR
12	SERPINA3	0
205	AK4	0.011392405
214	ALCAM	0.007692308
216	ALDH1A1	0.003571429
231	AKR1B1	0.04964539
338	APOB	0.043307087
341	APOC1	0.005660377
347	APOD	0.007462687
348	APOE	0
650	BMP2	0.047368421
682	BSG	0.005769231
760	CA2	0.005
768	CA9	0.023076923
857	CAV1	0.003448276
871	SERPINH1	0.003703704
1009	CDH11	0.0078125
1029	CDKN2A	0.048951049
1114	CHGB	0.048175182
1116	CHI3L1	0.016091954
1266	CNN3	0.016853933
1277	COL1A1	0.005263158
1278	COL1A2	0.007692308
1281	COL3A1	0.005882353
1282	COL4A1	0.0025
1284	COL4A2	0.008333333
1289	COL5A1	0.036206897
1290	COL5A2	0
1293	COL6A3	0.004255319
1300	COL10A1	0.048630137
1301	COL11A1	0.002702703
1306	COL15A1	0.023529412
1356	CP	0.043076923
1363	CPE	0.003846154
1410	CRYAB	0.018181818
1462	VCAN	0
1490	CTGF	0.011688312
1513	CTSK	0.039830508
1545	CYP1B1	0.018085106
1645	AKR1C1	0.02293578
1836	SLC26A2	0.017894737
1948	EFNB2	0.018681319
2059	EPS8	0.003125
2167	FABP4	0.002564103
2191	FAP	0.00625
2244	FGB	0.017045455
2273	FHL1	0.007575758
2335	FN1	0.004761905
2669	GEM	0.017346939
2697	GJA1	0.044262295
2778	GNAS	0.047407407
2878	GPX3	0.002380952
2982	GUCY1A3	0.04296875
2983	GUCY1B3	0.043697479
3017	HIST1H2BD	0.01547619
3039	HBA1	0.006666667
3043	HBB	0.014457831
3078	CFHR1	0.008571429
3248	HPGD	0.048611111
3306	HSPA2	0.030088496
3315	HSPB1	0
3371	TNC	0.018478261
3485	IGFBP2	0.047761194
3486	IGFBP3	0.004347826
3491	CYR61	0.043548387
3576	IL8	0.017708333
3625	INHBB	0.023148148
3912	LAMB1	0.011111111
3956	LGALS1	0.004
4015	LOX	0.002222222
4060	LUM	0.004347826
4071	TM4SF1	0.002631579
4082	MARCKS	0.007936508
4102	MAGEA3	0.007142857
4103	MAGEA4	0.042975207
4111	MAGEA12	0
4192	MDK	0.002439024
4232	MEST	0
4318	MMP9	0.016470588
4692	NDN	0.013580247
4811	NID1	0.047826087
4837	NNMT	0.003333333
5054	SERPINE1	0.004166667
5118	PCOLCE	0.002777778
5176	SERPINF1	0
5217	PFN2	0.011538462
5225	PGC	0.043333333
5265	SERPINA1	0.021782178
5270	SERPINE2	0.00862069
5327	PLAT	0.045454545
5352	PLOD2	0
5627	PROS1	0.002941176
5744	PTHLH	0.021
5836	PYGL	0.043902439
5918	RARRES1	0.005555556
5919	RARRES2	0.002857143
5997	RGS2	0.013414634
6364	CCL20	0.017777778
6414	SEPP1	0.030357143
6576	SLC25A1	0.01627907
6678	SPARC	0.004166667
6696	SPP1	0
6781	STC1	0.008695652
6876	TAGLN	0.004081633
6947	TCN1	0.008928571
7045	TGFBI	0
7058	THBS2	0.004545455
7076	TIMP1	0.003030303
7078	TIMP3	0.008474576
7138	TNNT1	0.043650794
7422	VEGFA	0.043410853
7424	VEGFC	0.049295775
7431	VIM	0.036752137
7991	TUSC3	0.01827957
8140	SLC7A5	0.003225806
8334	HIST1H2AC	0.048965517
8349	HIST2H2BE	0.035087719
8404	SPARCL1	0.0432
8612	PPAP2C	0.023364486
8743	TNFSF10	0.030630631
8910	SGCE	0.012162162
9052	GPRC5A	0.002272727
9590	AKAP12	0.047142857
9805	SCRN1	0.007352941
10398	MYL9	0.008064516
10409	BASP1	0.003921569
10457	GPNMB	0
10512	SEMA3C	0.011267606
10628	TXNIP	0.008196721
10631	POSTN	0.004
10769	PLK2	0.048979592
10979	FERMT2	0.047482014
23089	PEG10	0.011842105
23532	PRAME	0.017525773
26064	RAI14	0.030909091
51809	GALNT7	0.012
55857	PLK1S1	0.045801527
79589	RNF128	0.010958904
266740	MAGEA2B	0.009090909
283131	NEAT1	0.022857143
347902	AMIGO2	0.022641509
100133941	CD24	0.007407407
301	ANXA1	0.011111111
306	ANXA3	0.0125
307	ANXA4	0.030864198
384	ARG2	0.029487179
440	ASNS	0.043877551
445	ASS1	0
595	CCND1	0.0375
684	BST2	0.012244898
688	KLF5	0.011764706
894	CCND2	0.007142857
914	CD2	0.035869565
928	CD9	0.004545455
969	CD69	0.035483871
1152	CKB	0.026760563
1365	CLDN3	0.036458333
1672	DEFB1	0.037209302
1847	DUSP5	0
1992	SERPINB1	0.007692308
2353	FOS	0.01025641
2633	GBP1	0.05
2810	SFN	0.026388889
2919	CXCL1	0
2920	CXCL2	0.047524752
2921	CXCL3	0.026470588
3108	HLA-DMA	0.02
3117	HLA-DQA1	0.023880597
3205	HOXA9	0.05
3429	IFI27	0.03125
3434	IFIT1	0
3512	IGJ	0
3620	IDO1	0
3627	CXCL10	0.00952381
3726	JUNB	0.013207547
3860	KRT13	0.005
3866	KRT15	0.010714286
3880	KRT19	0.005263158
3913	LAMB2	0.044329897
3934	LCN2	0
4016	LOXL1	0.012698413
4072	EPCAM	0.012727273
4283	CXCL9	0.008333333
4599	MX1	0
4753	NELL2	0.010810811
5268	SERPINB5	0
5321	PLA2G4A	0.009302326
5450	POU2AF1	0
5646	PRSS3	0.026027397
5696	PSMB8	0.02972973
5698	PSMB9	0
5743	PTGS2	0.011666667
5920	RARRES3	0.026086957
5947	RBP1	0.02987013
6091	ROBO1	0.013333333
6192	RPS4Y1	0.005555556
6273	S100A2	0.036263736
6286	S100P	0.008
6289	SAA2	0.009090909
6347	CCL2	0.043434343
6352	CCL5	0.012765957
6373	CXCL11	0.012903226
6590	SLPI	0.015625
6890	TAP1	0.004761905
7033	TFF3	0.013461538
7103	TSPAN8	0.010344828
7127	TNFAIP2	0.027142857
7257	TSNAX	0.034117647
7447	VSNL1	0.011864407
7851	MALL	0.009756098
8519	IFITM1	0.00625
8766	RAB11A	0.022727273
8857	FCGBP	0.012962963
9111	NMI	0.009677419
9235	IL32	0.013043478
9636	ISG15	0.006666667
9804	TOMM20	0.032926829
9882	TBC1D4	0.012280702
9982	FGFBP1	0.03373494
10158	PDZK1IP1	0.011363636
10537	UBD	0
10563	CXCL13	0.036666667
10874	NMU	0.049514563
10875	FGL2	0.01
10964	IFI44L	0.011428571
10974	C10orf116	0
23160	WDR43	0.013114754
23171	GPD1L	0.012
23474	ETHE1	0.007407407
23650	TRIM29	0.009375
25966	C2CD2	0.03452381
25984	KRT23	0.030263158
26175	C14orf109	0.011764706
26751	SH3YL1	0.010526316
27346	TMEM97	0.034736842
28951	TRIB2	0.01
51316	PLAC8	0.036666667
51599	LSR	0.030666667
54578	UGT1A6	0.008695652
221061	FAM171A1	0.035106383
682	BSG	<=0.05
6576	SLC25A1	<=0.05
12	SERPINA3	0
13	AADAC	0.019446845
47	ACLY	0
54	ACP5	0.00097493
81	ACTN4	0.005630865
86	ACTL6A	0
97	ACYP1	0.007583418
123	PLIN2	0
125	ADH1B	0
133	ADM	0
142	PARP1	0.047015475
157	ADRBK2	0.001419355
162	AP1B1	0.001101928
163	AP2B1	0
164	AP1G1	0.03605547
183	AGT	0
203	AK1	0.039847909
205	AK4	0
212	ALAS2	0.033175729
213	ALB	0
214	ALCAM	0
222	ALDH3B2	0.001310616
226	ALDOA	0
230	ALDOC	0.002196532
249	ALPL	0.023205342
268	AMH	0.039299315
285	ANGPT2	0
292	SLC25A5	0
302	ANXA2	0.02147708
325	APCS	0.049562044
330	BIRC3	0.012885154
335	APOA1	0.004751848
338	APOB	0
341	APOC1	0
344	APOC2	0.042739521
345	APOC3	0.000573066
348	APOE	0
350	APOH	0.000573888
351	APP	0
