Curated Gene Symbol	Order	Parametric p-value	t-value	% CV support	Geom mean of intensities in class 1	Geom mean of intensities in class 2	Geom mean of intensities in class 3	Geom mean of intensities in class 4	Unique id	Description	GB acc	Gene symbol
POLH	1	< 1e-07	85.835	100	122.02	162.59	279.35	441.66	A_32_P69492	Homo sapiens cDNA: FLJ21978 fis, clone HEP06046, highly similar to AF158185 Homo sapiens xeroderma pigmentosum variant RAD30 (RAD30) mRNA. [AK025631]	AK025631	POLH
MAMDC4	2	< 1e-07	48.427	100	210.02	251.68	373.23	486.3	A_23_P71790	Homo sapiens MAM domain containing 4 (MAMDC4), mRNA [NM_206920]	NM_206920	MAMDC4
AEN	3	< 1e-07	213.436	100	105.18	301.14	620.38	840.79	A_23_P206077	Homo sapiens interferon stimulated exonuclease gene 20kDa-like 1 (ISG20L1), mRNA [NM_022767]	NM_022767	ISG20L1
PCNA	4	< 1e-07	146.013	100	691.48	1051.69	1875.54	3636.54	A_23_P28886	Homo sapiens proliferating cell nuclear antigen (PCNA), transcript variant 1, mRNA [NM_002592]	NM_002592	PCNA
	5	< 1e-07	86.575	100	228.33	338.66	609.23	929.15	A_32_P96692	Q9BX12_HUMAN (Q9BX12) GTP binding protein 2 (Fragment), partial (26%) [THC2532504]	THC2532504	THC2532504
TRIAP1	6	< 1e-07	107.663	100	355.18	529.46	902.22	1254.2	A_23_P128408	Homo sapiens TP53 regulated inhibitor of apoptosis 1 (TRIAP1), mRNA [NM_016399]	NM_016399	TRIAP1
PHPT1	7	< 1e-07	109.401	100	1859.88	2869.14	5062.23	6735.37	A_23_P83192	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	NM_014172	PHPT1
TNFRSF10B	8	< 1e-07	85.312	100	3804.87	5131.67	7669.56	8841.19	A_24_P218265	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	NM_003842	TNFRSF10B
	9	< 1e-07	41.268	100	156.07	297.44	623.46	1035.41	A_32_P347617	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H (APOBEC3H), mRNA [NM_181773]	NM_181773	RP4-742C19.3
SESN1	10	< 1e-07	44.361	100	156.31	197.25	293.27	349.83	A_24_P346339	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	NM_014454	SESN1
ASCC3	11	< 1e-07	73.754	100	145.97	228.95	386.75	479.49	A_23_P382654	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 2, mRNA [NM_022091]	NM_022091	ASCC3
	12	< 1e-07	191.638	100	166.67	386.38	842.47	1159.22	A_24_P916853	Unknown	A_24_P916853	A_24_P916853
MDM2	13	< 1e-07	33.276	100	478.1	583.81	776.51	1169.01	A_23_P139895	Homo sapiens hypothetical protein MGC5370, mRNA (cDNA clone IMAGE:3049213), partial cds. [BC006795]	BC006795	MGC5370
CDKN1A	14	< 1e-07	45.533	100	77.92	104.13	203.93	331.33	A_24_P89457	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 2, mRNA [NM_078467]	NM_078467	CDKN1A
	15	< 1e-07	70.782	100	133.49	185.69	272.13	333.53	A_24_P639629	Homo sapiens cDNA FLJ31683 fis, clone NT2RI2005353. [AK056245]	AK056245	AK056245
	16	< 1e-07	71.567	100	53.21	60.89	84.2	151.13	A_23_P78244	Homo sapiens cDNA clone IMAGE:6141118, partial cds. [BC053363]	BC053363	BC053363
TMEM30A	17	< 1e-07	54.736	100	344.84	440.36	648.3	860.92	A_23_P70290	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	NM_018247	TMEM30A
	18	< 1e-07	54.594	100	280.39	382.95	564.92	896.18	A_24_P925664	Unknown	THC2545454	THC2545454
CD70	19	< 1e-07	34.061	100	314.91	623.37	1351.66	2843.34	A_23_P119202	Homo sapiens CD70 molecule (CD70), mRNA [NM_001252]	NM_001252	CD70
MDM2	20	< 1e-07	40.115	100	17.65	23.24	34.28	57.75	A_23_P502750	Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2, mRNA [NM_002392]	NM_002392	MDM2
ZNF79	21	< 1e-07	49.279	100	128.78	153.14	215.71	270.53	A_23_P303763	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	NM_007135	ZNF79
ASCC3	22	< 1e-07	57.819	100	167.76	245.7	397.73	580.73	A_23_P30972	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 2, mRNA [NM_022091]	NM_022091	ASCC3
CDKN1A	23	< 1e-07	60.294	100	2052.19	2953.51	5700.8	10093.61	A_23_P59210	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA [NM_000389]	NM_000389	CDKN1A
	24	< 1e-07	140.534	100	103.12	194.79	432.39	744.56	A_24_P592871	UI-CF-FN0-age-k-21-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-age-k-21-0-UI 3, mRNA sequence [CB250445]	CB250445	CB250445
ASCC3	25	< 1e-07	206.016	100	514.45	734.48	1166.09	1654.27	A_23_P19565	Homo sapiens activating signal cointegrator 1 complex subunit 3 (ASCC3), transcript variant 1, mRNA [NM_006828]	NM_006828	ASCC3
CCNG1	26	< 1e-07	50.927	100	438.05	585.19	818.62	1053.44	A_23_P58606	Homo sapiens cyclin G1 (CCNG1), transcript variant 1, mRNA [NM_004060]	NM_004060	CCNG1
PLK2	27	< 1e-07	36.918	100	309.19	394.05	617.61	907.93	A_23_P30254	Homo sapiens polo-like kinase 2 (Drosophila) (PLK2), mRNA [NM_006622]	NM_006622	PLK2
ASTN2	28	< 1e-07	188.557	100	80.05	143.88	307.05	591.58	A_23_P357936	Homo sapiens astrotactin 2 (ASTN2), transcript variant 1, mRNA [NM_014010]	NM_014010	ASTN2
	29	< 1e-07	169.602	100	489.6	1369.03	3180.57	4769.49	A_32_P85230	BE646426 7e86f01.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292057 3, mRNA sequence [BE646426]	BE646426	BE646426
RPS27L	30	< 1e-07	116.352	100	4390	6901.78	11704.64	15540.79	A_23_P14734	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA [NM_015920]	NM_015920	RPS27L
ZMAT3	31	< 1e-07	62.338	100	42.68	57.43	91.3	126.84	A_23_P113283	Homo sapiens zinc finger, matrin type 3 (ZMAT3), transcript variant 1, mRNA [NM_022470]	NM_022470	ZMAT3
FAM129C	32	< 1e-07	31.672	100	665.41	566.8	453.54	244.15	A_24_P940348	Homo sapiens family with sequence similarity 129, member C (FAM129C), mRNA [NM_173544]	NM_173544	FAM129C
	33	< 1e-07	80.67	100	194.66	276.11	491.27	868.2	A_24_P127462	PREDICTED: Homo sapiens similar to Proliferating cell nuclear antigen (PCNA) (Cyclin) (LOC392454), mRNA [XR_018314]	XR_018314	LOC392454
DCP1B	34	< 1e-07	41.179	100	1153.99	1352.36	1884.01	2549.4	A_23_P313512	Homo sapiens DCP1 decapping enzyme homolog B (S. cerevisiae) (DCP1B), mRNA [NM_152640]	NM_152640	DCP1B
TNFSF4	35	< 1e-07	56.173	100	89.79	95.74	145.03	348.07	A_23_P126836	Homo sapiens tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa) (TNFSF4), mRNA [NM_003326]	NM_003326	TNFSF4
SESN1	36	< 1e-07	116.773	100	533.08	664.99	936.9	1308.06	A_23_P93562	Homo sapiens sestrin 1 (SESN1), mRNA [NM_014454]	NM_014454	SESN1
ZNF79	37	< 1e-07	68.056	100	175.72	211.72	293.68	411.79	A_24_P128312	Homo sapiens zinc finger protein 79 (ZNF79), mRNA [NM_007135]	NM_007135	ZNF79
VWCE	38	< 1e-07	55.832	100	196.52	249.98	540.23	2182.96	A_23_P52986	Homo sapiens von Willebrand factor C and EGF domains (VWCE), mRNA [NM_152718]	NM_152718	VWCE
PHLDA3	39	< 1e-07	161.85	100	23.18	64.49	197.99	432.97	A_23_P62959	Homo sapiens pleckstrin homology-like domain, family A, member 3 (PHLDA3), mRNA [NM_012396]	NM_012396	PHLDA3
	40	< 1e-07	79.376	100	166.17	237.23	414.77	720.68	A_32_P170664	Homo sapiens cDNA: FLJ21245 fis, clone COL01184. [AK024898]	AK024898	AK024898
EBI3	41	< 1e-07	75.454	100	56.98	63.07	113.64	430.17	A_23_P119478	Homo sapiens Epstein-Barr virus induced gene 3 (EBI3), mRNA [NM_005755]	NM_005755	EBI3
	42	< 1e-07	116.206	100	21.23	48.2	107.09	186.78	A_23_P31681	Homo sapiens cDNA FLJ23887 fis, clone LNG14332. [AK074467]	AK074467	AK074467
TMEM30A	43	< 1e-07	42.219	100	393.31	495.03	730.85	942.81	A_24_P180424	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	NM_018247	TMEM30A
	44	< 1e-07	76.866	100	107.27	141.84	235.74	319.77	A_32_P140501	Unknown	A_32_P140501	A_32_P140501
GADD45A	45	< 1e-07	47.474	100	635.7	851.3	1225.1	1960.81	A_23_P23221	Homo sapiens growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA [NM_001924]	NM_001924	GADD45A
DDB2	46	< 1e-07	234.463	100	3047.21	6342.34	12507.89	18652.44	A_23_P52610	Homo sapiens damage-specific DNA binding protein 2, 48kDa (DDB2), mRNA [NM_000107]	NM_000107	DDB2
BBC3	47	< 1e-07	55.879	100	7514.14	10316.78	15252.7	20145.84	A_23_P382775	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	NM_014417	BBC3
FBXO22	48	< 1e-07	32.279	100	196.85	251.44	365.37	457.58	A_23_P65870	Homo sapiens F-box protein 22 (FBXO22), transcript variant 2, mRNA [NM_012170]	NM_012170	FBXO22
TNFRSF10B	49	< 1e-07	32.094	100	245.33	318.29	466.46	534.91	A_23_P169030	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	NM_003842	TNFRSF10B
MDM2	50	< 1e-07	39.851	100	145.7	188.18	307.47	506.39	A_23_P309545	Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2b, mRNA [NM_006879]	NM_006879	MDM2
FDXR	51	< 1e-07	437.199	100	1030.4	4898.12	14139.09	28034.59	A_23_P38154	Homo sapiens ferredoxin reductase (FDXR), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_004110]	NM_004110	FDXR
GLS2	52	< 1e-07	40.183	100	56.03	66.36	116.36	188.49	A_24_P326739	Homo sapiens glutaminase 2 (liver, mitochondrial) (GLS2), nuclear gene encoding mitochondrial protein, mRNA [NM_013267]	NM_013267	GLS2
PHPT1	53	< 1e-07	77.917	100	2056.2	3341.89	6019.03	8106.01	A_24_P184031	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	NM_014172	PHPT1
CABYR	54	< 1e-07	44.468	100	10.76	11.86	26.52	60.32	A_23_P314712	Homo sapiens calcium binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) (CABYR), transcript variant 1, mRNA [NM_012189]	NM_012189	CABYR
TRIM22	55	< 1e-07	32.601	100	1058.37	1449.31	2159.51	2309.48	A_24_P172481	Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA [NM_006074]	NM_006074	TRIM22
GNG7	56	< 1e-07	28.711	100	483.01	414.14	342.32	183.03	A_32_P136295	Homo sapiens guanine nucleotide binding protein (G protein), gamma 7 (GNG7), mRNA [NM_052847]	NM_052847	GNG7
LIG1	57	< 1e-07	29.412	100	2135.06	2468.2	3270.07	4561.38	A_23_P39116	Homo sapiens ligase I, DNA, ATP-dependent (LIG1), mRNA [NM_000234]	NM_000234	LIG1
TRIM22	58	< 1e-07	29.147	100	1191.93	1630.28	2444.39	2670.19	A_23_P203498	Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA [NM_006074]	NM_006074	TRIM22
	59	< 1e-07	26.358	100	39.84	59.13	122.61	184.69	A_24_P917549	Unknown	A_24_P917549	A_24_P917549
E2F7	60	< 1e-07	24.558	100	15.43	18.91	41.1	83.96	A_32_P210202	Homo sapiens E2F transcription factor 7 (E2F7), mRNA [NM_203394]	NM_203394	E2F7
CAV1	61	< 1e-07	23.424	100	13.82	15.47	16.65	29.08	A_23_P134454	Homo sapiens caveolin 1, caveolae protein, 22kDa (CAV1), mRNA [NM_001753]	NM_001753	CAV1
FCRL5	62	< 1e-07	23.723	100	19.51	20.56	39.29	69.39	A_24_P376848	Homo sapiens Fc receptor-like 5 (FCRL5), mRNA [NM_031281]	NM_031281	FCRL5
	63	< 1e-07	23.13	100	2754.18	3051.58	4070.88	5103.22	A_24_P653603	Homo sapiens cDNA clone IMAGE:6572580. [BC079831]	BC079831	LOC284184
	64	< 1e-07	22.742	100	66.88	84.32	110.47	137.07	A_24_P784846	Homo sapiens cDNA FLJ11844 fis, clone HEMBA1006665. [AK021906]	AK021906	AK021906
