Top Genes	ID	M	A	t	P.Value
32732	223454_at	-0.568450664	6.062627607	-4.417894775	0.000838866
37019	227764_at	0.515543143	5.980435693	3.827769952	0.002405694
3167	1556687_a_at	0.466579402	5.070374212	3.681799779	0.003138964
21487	212180_at	-0.595377167	5.530227332	-3.630180602	0.003450092
47041	237791_at	0.439000451	4.869464903	3.522871341	0.004201753
31101	221820_s_at	0.59265163	6.601269625	3.365602101	0.005616402
8120	1566038_at	0.470226096	5.658893935	3.35477899	0.005729972
53849	244598_at	0.344263728	5.189003087	3.346360816	0.005819915
51513	242263_at	0.394004446	4.362755546	3.289471242	0.006466414
21335	212028_at	0.639833526	6.752475463	3.256275909	0.006876746
8430	1566772_at	0.494700964	4.881746695	3.250984196	0.006944547
43612	234361_at	0.485143065	5.132446498	3.228945528	0.007234261
36011	226755_at	0.391533863	6.301912785	3.224821434	0.007289816
18031	208612_at	0.376825971	6.248945005	3.198326586	0.007657128
19883	210487_at	-0.355255165	6.823929676	-3.18634715	0.007829276
1507	1554349_at	0.443579012	5.374482357	3.185160392	0.007846541
13036	203588_s_at	0.478500147	5.121190091	3.184788491	0.00785196
42903	233651_s_at	0.479384702	5.44098677	3.156200359	0.008279945
13267	203819_s_at	-0.34716115	4.285260768	-3.149027285	0.008390967
33535	224265_s_at	-0.391679781	5.254316093	-3.12841273	0.008718438
34788	225530_at	0.480679419	5.795226319	3.126216018	0.008754082
24740	215445_x_at	-0.457581677	4.857070404	-3.093033002	0.009310676
47672	238422_at	0.389544607	7.313877767	3.085590412	0.009440314
34397	225139_at	-0.390611906	5.594924297	-3.076435661	0.009602261
