Probeset	Chip	Ratio25-25	Ratio15-15	Ratio10-10	GenBank	Gene	Localization	Description	Function
214214_s_at	U133A	1.8	2.2	2.1	AU151801	C1QBP	17p13.3	complement component 1, q subcomponent binding protein	Intercellular communication signals
203510_at	U133A	3.1	3.9	4.3	BG170541	MET	7q31	met proto-oncogene (hepatocyte growth factor receptor)	Intercellular communication signals
201804_x_at	U133A	1.5	1.9	2	NM_001281.1	CKAP1	19q13.11-q13.12	cytoskeleton-associated protein 1	Cytosqueleton
220319_s_at	U133A	1.9	2.9	3.1	NM_013262.2	MIR	6p23-p22.3	myosin regulatory light chain interacting protein	Cytosqueleton
219174_at	U133A	2.5	3.3	3.3	NM_025103.1	CMG1	9p21.1	capillary morphogenesis protein 1	Transduction signals
202041_s_at	U133A	1.7	2	2.3	NM_004214.3	FIBP	11q13.1	fibroblast growth factor (acidic) intracellular binding protein	Transduction signals
201503_at	U133A	1.5	1.7	1.7	BG500067	G3BP	5q33.1	Ras-GTPase-activating protein SH3-domain-binding protein	Transduction signals
218192_at	U133A	1.6	2	2	NM_016291.1	IHPK2	3p21.31	inositol hexaphosphate kinase 2	Transduction signals
214787_at	U133A	1.9	2.2	3.3	BE268538	IRLB	15q22.1	c-myc promoter-binding protein	Transduction signals
217745_s_at	U133A	1.6	2.1	2	NM_025146.1	MAK3P	3q13.2	likely ortholog of mouse Mak3p homolog (S. cerevisiae)	Transduction signals
209585_s_at	U133A	1.7	2	2	AF084943.1	MINPP1	10q23	multiple inositol polyphosphate histidine phosphatase, 1	Transduction signals
201877_s_at	U133A	1.5	1.6	1.8	NM_002719.1	PPP2R5C	14q32	protein phosphatase 2, regulatory subunit B (B56), gamma isoform	Transduction signals
222077_s_at	U133A	1.7	2.1	1.8	AU153848	RACGAP1	12q13.12	Rac GTPase activating protein 1	Transduction signals
200750_s_at	U133A	1.7	2	2.1	AF054183.1	RAN	6p21	RAN, member RAS oncogene family	Transduction signals
222140_s_at	U133A	1.6	1.6	1.5	AK021758.1	SH120	1p36.13-q31.3	putative G-protein coupled receptor	Transduction signals
209649_at	U133A	1.8	2.1	2.8	AL133600.1	STAM2	2q23.3	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	Transduction signals
202266_at	U133A	1.6	2	2	NM_016614.1	TTRAP	6p22.3-p22.1	TRAF and TNF receptor-associated protein	Transduction signals
201947_s_at	U133A	1.6	2	2.2	NM_006431.1	CCT2	12q14.3	chaperonin containing TCP1, subunit 2 (beta)	Protein synthesis and regulation
208696_at	U133A	1.7	2.1	2.3	AF275798.1	CCT5	5p15.2	chaperonin containing TCP1, subunit 5 (epsilon)	Protein synthesis and regulation
201532_at	U133A	1.9	2.1	2.4	NM_002788.1	PSMA3	14q23	proteasome (prosome, macropain) subunit, alpha type, 3	Protein synthesis and regulation
201252_at	U133A	1.5	1.8	1.8	NM_006503.1	PSMC4	19q13.11-q13.13	proteasome (prosome, macropain) 26S subunit, ATPase, 4	Protein synthesis and regulation
200820_at	U133A	2.1	2.3	2.9	NM_002812.1	PSMD8	19q13.13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	Protein synthesis and regulation
223268_at	U133B	1.7	1.9	2.3	BF109592	PTD012	11q14.3	PTD012 protein	Protein synthesis and regulation
218830_at	U133A	1.5	1.8	1.8	NM_016093.1	RPL26L1	5q35.2	ribosomal protein L26-like 1	Protein synthesis and regulation
204244_s_at	U133A	1.7	2.5	2.5	NM_006716.1	ASK	7q21.3	activator of S phase kinase	Cell cycle
201456_s_at	U133A	1.6	1.9	1.8	AU160695	BUB3	10q26	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	Cell cycle
203213_at	U133A	1.9	2.2	1.7	AL524035	CDC2	10q21.1	cell division cycle 2, G1 to S and G2 to M	Cell cycle
202892_at	U133A	1.7	2.3	2.2	NM_004661.1	CDC23	5q31	CDC23 (cell division cycle 23, yeast, homolog)	Cell cycle
208930_s_at	U133A	1.8	2.1	2.9	BG032366	ILF3	19p13.2	interleukin enhancer binding factor 3, 90kDa	Cell cycle
202107_s_at	U133A	2.2	2.8	2.5	NM_004526.1	MCM2	3q21	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	Cell cycle
212269_s_at	U133A	1.7	2.6	3.5	AJ010089.1	MCM3AP	21q22.3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) associated protein	Cell cycle
206205_at	U133A	1.8	3.1	3.3	NM_022782.1	MPHOSPH9	12q24.31	M-phase phosphoprotein 9	Cell cycle
202589_at	U133A	2.1	2.9	2.5	NM_001071.1	TYMS	18p11.32	thymidylate synthetase	Cell cycle
218761_at	U133A	1.6	1.8	1.8	NM_017610.1	ARK	15q21	Arkadia	Apoptosis
220864_s_at	U133A	1.8	2.2	2.3	NM_015965.1	GRIM19	19p13.2	cell death-regulatory protein GRIM19	Apoptosis
203415_at	U133A	1.7	2	2.1	NM_013232.1	PDCD6	5pter-p15.2	programmed cell death 6	Apoptosis
202169_s_at	U133A	1.7	2.3	2.1	AF302110.1	AASDHPPT	11q22	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Metabolism
213017_at	U133A	1.8	1.9	1.8	AL534702	ABHD3	18q11.1	abhydrolase domain containing 3	Metabolism
218147_s_at	U133A	1.8	2.1	2.4	NM_018446.1	AD-017	3p21.31	glycosyltransferase AD-017	Metabolism
208745_at	U133A	1.5	1.7	1.7	AA917672	ATP5L	11q23	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit g	Metabolism
230656_s_at	U133B	1.9	2.3	2.6	AL578336	CIRH1A	16q22.1	testis expressed gene 292	Metabolism
222869_s_at	U133B	1.8	2.6	3.1	AI669235	ELAC1	18q21	elaC homolog 1 (E. coli)	Metabolism
203720_s_at	U133A	1.6	1.8	2	NM_001983.1	ERCC1	19q13.2-q13.3	excision repair cross-complementing rodent repair deficiency, complementation group 1.	Metabolism
213129_s_at	U133A	1.6	1.8	2.1	BE908931	GCSH	16q23.1	glycine cleavage system protein H (aminomethyl carrier)	Metabolism
217933_s_at	U133A	1.5	1.8	1.9	NM_015907.1	LAP3	4p15.32	leucine aminopeptidase 3	Metabolism
203465_at	U133A	2	2.7	2.7	NM_014763.1	MRPL19	2q11.1-q11.2	mitochondrial ribosomal protein L19	Metabolism
230027_s_at	U133B	1.9	2.3	2.4	N74662	MRPL43	10q24.31	mitochondrial ribosomal protein L43	Metabolism
225581_s_at	U133B	1.7	2.3	2.6	BG028213	MRPL50	9q31.1	mitochondrial ribosomal protein L50	Metabolism
204331_s_at	U133A	1.7	2.2	2.3	NM_021107.1	MRPS12	19q13.1-q13.2	mitochondrial ribosomal protein S12	Metabolism
201157_s_at	U133A	1.5	1.7	1.9	NM_021079.1	NMT1	17q21.31	N-myristoyltransferase 1	Metabolism
202783_at	U133A	2	2.5	2.6	U40490.1	NNT	5p13.1-5cen	nicotinamide nucleotide transhydrogenase	Metabolism
223100_s_at	U133B	1.5	1.9	2.1	BC000025.1	NUDT5	10p14-p13	nudix (nucleoside diphosphate linked moiety X)-type motif 5	Metabolism
204873_at	U133A	1.8	2.1	2.4	NM_000466.1	PEX1	7q21-q22	peroxisome biogenesis factor 1	Metabolism
208694_at	U133A	1.6	1.9	2.4	U47077.5	PRKDC	8q11	protein kinase, DNA-activated, catalytic polypeptide	Metabolism
209900_s_at	U133A	1.5	1.6	2	AL162079.1	SLC16A1	1p12	solute carrier family 16 (monocarboxylic acid transporters), member 1	Metabolism
