Hunigene number	Gene name	Ad5luc1	Ad5/3luc1	Ad5lucRGD	Category
Hs.215595	Guanine nucleotide-binding protein (G protein), beta polypeptide 1	0.000204278	0.015126512	0.021941997	Signal transduction
Hs.75452	Heat shock 70 kDa protein 1A	0.006075749	0.030097733	0.036267876	Heat shock protein 70 family
Hs.433387	Antigen identified by monoclonal antibodies 12E7, F21, and O13 (CD99, MIC2, MIC2X, MIC2Y)	0.014567956	0.018363924	0.045995795	Cell adhesion molecule
Hs.90061	Progesterone receptor membrane component 1	0.011971633	0.004087297	0.004927286	Steroid membrane receptor
Hs.75111	Protease, serine, 11 (IGF binding)	6.45E-05	0.00267148	0.007349328	Serine protease
Hs.5710	Cellular repressor of E1A-stimulated genes	0.011215752	0.020463883	0.024473946	Transcription co-repressor activity
Hs.356310	Homo sapiens cDNA FLJ41000 fis, clone UTERU2016761, highly similar to Homo sapiens ES/130 mRNA, mRNA sequence	0.004706859	0.004472031	0.030222715	Ribosome binding protein
Hs.7838	Makorin, ring finger protein, 1	4.37E-05	0.002147303	0.039714451	Zinc-finger proteins
Hs.196437	Chromosome 2 open reading frame 6	0.047309772	0.026015426	0.03476319	Unknown
Hs.239069	Four-and-a-half LIM domains 1	0.011882304	0.003939586	0.043592569	Cell growth and differentiation
Hs.6061	Protein kinase, AMP-activated, beta 1 noncatalytic subunit	0.028819509	0.042806009	0.047438189	Signal transduction
Hs.171734	Protein phosphatase 2, regulatory subunit B (B56), gamma isoform	0.01643218	0.046071614	0.048346285	Serine/threonine phosphotase
Hs.10247	Activated leukocyte cell adhesion molecule	0.017959237	0.04701154	0.017032965	Cell adhesion molecule
Hs.75275	Ubiquitination factor E4A (UFD2 homolog, yeast)	0.005192516	0.005497208	0.01330692	Ubiquination factor
Hs.12372	Tripartite motif-containing 2	0.007097161	0.000671827	0.008098282	Zinc-finger protein
Hs.154294	Discs, large (Drosophila) homolog 1	0.008213125	0.000448738	0.010761404	Tumor suppressor protein
Hs.77573	Uridine phosphorylase	0.034517027	0.000893175	0.044976527	Nucleoside metabolism
Hs.11590	Cathepsin F	0.013989595	0.038431822	0.040166257	Cysteine proteinase
Hs.79241	B-cell CLL/lymphoma 2 (BCL2)	0.007057559	0.029265359	0.04556323	Antiapoptosis
Hs.173859	Frizzled homolog 7 (Drosophila)	0.001433313	0.007024225	0.034582012	Extracellular signalling receptor
Hs.16611	Tumor protein D52-like 1	0.028974149	0.000673197	0.00944114	Oncogenesis
Hs.101174	Microtubule-associated protein tau	5.52E-06	0.000519528	0.015023973	Structural protein
Hs.102419	Zinc-finger protein	0.001244865	0.024040686	0.009613812	Zinc-finger protein
Hs.380778	Metallothionein 1L	0.006113216	0.011060884	0.046671134	Metal ion-binding protein
Hs.183858	Transcriptional intermediary factor 1	0.019125652	0.009841077	0.038160807	Transcription factor
Hs.90875	RAB interacting factor	0.005690353	0.008011355	5.36E-05	Protein transport
Hs.153704	NIMA (never in mitosis gene a)-related kinase 2	0.031912872	0.033071753	0.022432776	Cell cycle regulator
Hs.1572	Faciogenital dysplasia (Aarskog-Scott syndrome)	0.016635969	0.030857066	0.027971997	Guanine-nucleotide exchange factor
Hs.82084	Integrin beta 3 binding protein (beta3-endonexin)	0.022488953	0.023268637	0.041848079	Cell adhesion/signal transduction
Hs.283677	GTP binding protein 1	0.020941423	0.045289992	0.029686631	Signal transduction
Hs.119014	Zinc-finger protein 175	0.02450312	0.018458885	0.015118712	Transcription factor
Hs.80426	Brain and reproductive organ-expressed (TNFRSF1A modulator)	0.03047583	0.004081268	0.004742041	Signal transduction
Hs.6129	ATP-binding cassette, sub-family B (MDR/TAP), member 9	0.011002952	0.001712531	0.029260571	ATP-binding casette
Hs.79042	Neuromedin B receptor	0.029323533	0.03245723	0.048080019	G-protein signaling
Hs.79375	Holocarboxylase synthetase (biotin-[proprionyl-coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	0.000103616	0.00833923	0.038523903	Nucleotide/ATP binding
Hs.2247	Interleukin 5 (colony-stimulating factor, eosinophil)	0.032578561	0.023301573	0.014912183	Cell regulation/inflammatory response
Hs.3155	Casein alpha s 1	0.023491516	0.028486514	0.031207059	Digestion
Hs.36566	LIM domain kinase 1	0.009644091	0.043180566	0.044420281	Protein kinase
Hs.248074	Homeo box A3	0.00427916	0.004768664	0.033814409	Transcription factor
Hs.78305	RAB2, member RAS oncogene family	0.032669516	0.001611994	0.010404235	Protein transport
Hs.121068	Transmembrane 4 superfamily member 6	0.04930044	0.000676423	0.015262571	Signal transduction
Hs.78563	Ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, C. elegans)	6.73E-05	0.047135998	0.042420957	Ubiquitin conjugation
Hs.106061	RD RNA binding protein	0.002856826	0.044478544	0.046050187	Negative elongation factor
Hs.74122	Caspase 4, apoptosis-related cysteine protease	0.004186509	0.045859779	0.010678938	Apoptosis
Hs.24427	DKFZP566O1646 protein	0.002234911	0.028810207	0.001811777	DNA methylase
Hs.12102	Sorting nexin 3	0.004334186	2.57E-05	0.014760265	Protein trafficking
Hs.733	Erythrocyte membrane protein band 4.2	0.015148625	0.007226678	0.034738578	ATP-binding protein
Hs.32597	Ring finger protein (C3H2C3 type) 6	0.000195819	0.021702806	0.036194104	Zinc ion binding
Hs.552	Steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)	0.005493056	0.041542476	0.048871934	Enzyme
Hs.10590	Zinc-finger protein 313	0.027955771	0.002440505	0.007967194	Zinc-finger proteins
Hs.13024	DKFZP564I122 protein	0.00018591	0.003610241	0.020505585	Unknown
Hs.356806	Recombining binding protein suppressor of hairless (Drosophila)	0.035440408	0.000113312	0.038860895	DNA transposition
Hs.6283	Glutamate receptor, ionotropic, N-methyl-d-Aspartate-like 1A	0.008223717	0.010914137	0.041882379	Receptor
Hs.241552	KIAA0268 protein	7.96E-05	0.002285875	0.024237459	Unknown
Hs.4791	KIAA0376 protein	0.00101736	0.014113683	0.021837892	Unknown
Hs.355570	ESTs, Weakly similar to hypothetical protein FLJ23109; likely ortholog of mouse E-cadherin binding protein E7 [Homo sapiens] [H.sapiens]	0.003556864	0.001279856	0.020614255	Ubiquitin conjugating enzyme
Hs.323878	Solute carrier family 1 (glutamate/neutral amino-acid transporter), member 4	4.84E-08	0.000413732	0.033637091	Phosphoserine-aminotransferase
Hs.4930	Low-density lipoprotein receptor-related protein 4	0.022032785	0.039489051	0.016621878	Calcium binding
Hs.325625	Homo sapiens cDNA FLJ33775 fis, clone BRSSN2000498, mRNA sequence	0.003181222	5.17E-05	0.024352583	Unknown
Hs.8164	Tripartite motif-containing 37	0.027154593	0.034521187	0.0382079	Zinc ion binding
Hs.12896	KIAA1034 protein	0.000153833	0.044099277	0.002776023	Unknown
Hs.82932	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	0.024857158	0.03401415	0.011696013	Cell cycle regulator
Hs.118281	Zinc-finger protein 266	0.004007667	0.005326885	0.031443068	DNA binding
Hs.278635	HDCMA18P protein	0.040766097	0.02781395	0.029603087	Unknown
Hs.81505	BDG-29 proten	0.005315921	0.018265399	0.015477403	Nucleic acid binding
Hs.300813	Consensus sequence	0.005165088	0.024730138	0.039984241	Unknown
Hs.278577	Homo sapiens mRNA; cDNA DKFZp564P073 (from clone DKFZp564P073), mRNA sequence	0.000619453	0.004546939	0.011488339	Unknown
Hs.258730	Heme-regulated initiation factor 2-alpha kinase	0.001300758	0.013795319	0.013433762	Translation factor
Hs.189658	CGI-149 protein	0.002569785	0.012563843	0.023600725	Neuroendocrine differentiation factor
Hs.78893	PHF3: PHD finger protein 3	0.030850907	0.034315709	0.000524699	Transcription factor
Hs.125287	Zinc-finger protein 302	0.006600528	0.046285861	0.007493714	Transcription regulation
Hs.170088	SLC2A4 regulator	0.005316373	0.014124446	0.044331752	Transcription factor
Hs.14394	Aprataxin	0.017531995	0.012142375	0.03191004	Histadine triad superfamily
Hs.12677	CGI-147 protein	0.011842555	0.022165822	0.049989495	Transcription factor
Hs.73625	RAB6 interacting, kinesin-like (rabkinesin6)	0.011838509	0.003145182	0.039880398	Protein transport
Hs.106101	Hypothetical protein FLJ22557	0.000186815	0.037709439	0.048707906	Unknown
Hs.288158	UDP-glucuronate decarboxylase 1	0.000139036	0.016517949	0.035995771	Proteoglycan synthesis enzyme
Hs.112208	G antigen, family D, 2	0.031153011	0.049695027	0.023308436	XAGE family of cancer/testis associated genes
Hs.87016	Hypothetical protein FLJ22938	0.030080513	0.014374192	0.033829344	Unknown
Hs.95870	PTD015 protein	0.033588872	0.002434145	0.000832386	Unknown
Hs.310512	Chemokine (C-C motif) receptor-like 1	0.016346165	0.023989856	0.031862757	G-protein-coupled receptor signaling pathway
Hs.262219	Hypothetical protein; cytochrome c-like antigen	0.014407572	0.007005467	0.045370736	Unknown
Hs.347349	Cell cycle progression 2 protein	0.01325995	0.032670401	0.016258797	Cell cycle
Hs.433344	Hypothetical protein DKFZp434N062	0.000952311	0.002026711	0.032046399	Metabolism
Hs.216958	KIAA0194 protein	0.02087134	0.049219499	0.03604791	Unknown
Hs.234898	Homo sapiens, clone IMAGE:3833472, mRNA, mRNA sequence	0.006611059	0.022146526	0.032536686	Hypothetical protein; function unknown
Hs.75425	Ubiquitin-associated protein 1	4.80E-05	0.00020343	0.003853806	Ubiquitin pathway
Hs.293724	Homo sapiens cDNA FLJ12683 fis, clone NT2RM4002457, mRNA sequence	0.046046436	0.041049776	0.024171341	Unknown
