Accession Number	Gene Name	Control (PBS)	LPS 1 mg/ml	5 mg/ml	Function	Expression
NM_005936	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (MLLT4)	4359.67	9640.62	11632.08	Adhesion	Up-Regulated under 1 mg/ml LPS
NM_002354	tumor-associated calcium signal transducer 1 (TACSTD1)	2771.93	18957.02	29591.83	Adhesion	Up-Regulated under 1 mg/ml LPS
NM_014226	renal tumor antigen (RAGE)	3549.69	17350.21	20983.24	Angiogenesis	Up-Regulated under 1 mg/ml LPS
U82987	Bcl-2 binding component 3 (bbc3)	753.95	2090.74	2767.69	Apoptosis	Up-Regulated under 1 mg/ml LPS
NM_004403	Deafness, autosomal dominant 5 (DFNA5)	9836.18	20701.78	23426.71	Apoptosis	Up-Regulated under 1 mg/ml LPS
NM_012306	Fas apoptotic inhibitory molecule 2 (FAIM2)	721.78	1705.94	3101.19	Apoptosis	Up-Regulated under 1 mg/ml LPS
NM_000754	catechol-O-methyltransferase (COMT)	674.98	2069.18	2940.17	Brain Function	Up-Regulated under 1 mg/ml LPS
NM_004557	Notch homolog 4 (Drosophila) (NOTCH4)	412.49	2229.27	2951.94	Brain Function	Up-Regulated under 1 mg/ml LPS
NM_002962	S100 calcium binding protein A5 (S100A5)	791.88	1340.83	2193.11	Brain Function	Up-Regulated under 1 mg/ml LPS
NM_005814	glycoprotein A33 (transmembrane) (GPA33)	406.87	1620.57	2610.81	Cancer Marker	Up-Regulated under 1 mg/ml LPS
NM_004378	cellular retinoic acid binding protein 1 (CRABP1)	974.9	3177.65	4643.59	Cell Cycle Regulation	Up-Regulated under 1 mg/ml LPS
NM_003914	cyclin A1 (CCNA1)	2772.5	5594.61	6206.73	Cell Cycle Regulation	Up-Regulated under 1 mg/ml LPS
NM_017830	OCIA domain containing 1 (OCIAD1)	9772.23	30095.17	38114.11	Cell Cycle Regulation	Up-Regulated under 1 mg/ml LPS
XM_003151	claudin 1 (CLDN1)	4813.75	11698.28	15859.94	Cell Junction	Up-Regulated under 1 mg/ml LPS
NM_001943	desmoglein 2 (DSG2)	1842.44	4517.4	7926.54	Cell Junction	Up-Regulated under 1 mg/ml LPS
NM_002613	3-phosphoinositide dependent protein kinase-1 (PDPK1)	3964.44	13831.32	26545.39	Cytoskeletal Constitution and Rearrangement	Up-Regulated under 1 mg/ml LPS
NM_014353	RAB26, member RAS oncogene family (RAB26)	1311.74	2564.22	2640.72	Cytoskeletal Constitution and Rearrangement	Up-Regulated under 1 mg/ml LPS
NM_005613	regulator of G-protein signalling 4 (RGS4)	501.33	1924.94	3053.79	Cytoskeletal Constitution and Rearrangement	Up-Regulated under 1 mg/ml LPS
NM_003186	transgelin	879.75	1538.87	3248.83	Cytoskeletal Constitution and Rearrangement	Up-Regulated under 1 mg/ml LPS
NM_012222	mutY homolog (E. coli) (MUTYH)	889.73	3182.18	3322.69	DNA Damage Repair	Up-Regulated under 1 mg/ml LPS
NM_014272	ADAM metallopeptidase with thrombospondin type 1 motif, 7 (ADAMTS7)	1811.9	6420.07	8262.34	Extra Celluar Signals	Up-Regulated under 1 mg/ml LPS
NM_007036	endothelial cell-specific molecule 1 (ESM1)	1048.29	12116.26	18227.92	Extra Celluar Signals	Up-Regulated under 1 mg/ml LPS
NM_002643	phosphatidylinositol glycan anchor biosynthesis, class F (PIGF)	1120.37	3216.98	4812.4	Extra Celluar Signals	Up-Regulated under 1 mg/ml LPS
NM_020975	ret proto-oncogene (RET)	1175.48	2208.77	2365.56	Extra Celluar Signals	Up-Regulated under 1 mg/ml LPS
NM_012466	tetraspanin 16 (TSPAN16)	527.46	1491.05	2117.98	Extra Celluar Signals	Up-Regulated under 1 mg/ml LPS
NM_007255	xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I) (B4GALT7)	19507.18	51064.18	79717.04	Extra Celluar Signals	Up-Regulated under 1 mg/ml LPS
NM_000760	colony stimulating factor 3 receptor (granulocyte) (CSF3R)	744.98	1514.64	1918.2	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_001429	E1A binding protein p300 (EP300)	10221.26	29576.51	32866.14	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_004956	ets variant gene 1 (ETV1)	1101.73	3689.56	4191.8	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_003923	forkhead box H1 (FOXH1)	684.38	3549.86	4205.67	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_013275	nasopharyngeal carcinoma susceptibility protein; lz16/ankyrin repeat domain 11 (ANKRD11)	4288.37	11606.66	17001.24	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_006180	neurotrophic tyrosine kinase receptor, type 2 (NTRK2)	905.99	7445.02	14961.38	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_013945	paired box 7 isoform 2	635.73	1841.64	2749.35	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_005732	RAD50 homolog (S. cerevisiae) (RAD50)	3467.51	11102.2	13674.81	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_005077	transducin-like enhancer of split 1, homolog of Drosophila E(spl)	1149.89	2429.75	3004.44	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_005375	v-myb myeloblastosis viral oncogene homolog (avian) (MYB)	3165.52	9170.54	10707.12	Growth Factor and Related Protein Factors	Up-Regulated under 1 mg/ml LPS
NM_000638	vitronectin (VTN)	1271.73	2189.54	4050.01	Hemostasis	Up-Regulated under 1 mg/ml LPS
NM_001565	chemokine (C-X-C motif) ligand 10 (CXCL10)	8528.33	50088.58	167448.53	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
L34093	(clone 94) MHC class II HLA-DQA10503	969.38	2805.75	10542.29	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_000063	complement component 2 (C2)	1929.94	3953.48	5469.18	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_002198	interferon regulatory factor 1 (IRF1)	6056.88	16323.48	20666.34	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_000641	interleukin 11 (IL11)	817.02	4237.75	6163.59	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_000640	interleukin 13 receptor, alpha 2 (IL13RA2)	466.64	2314.39	2458.33	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_002425	matrix metallopeptidase 10 (stromelysin 2) (MMP10)	809.28	1712.39	2650.49	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_000603	nitric oxide synthase 3 (endothelial cell) (NOS3)	609.16	1138.13	3365.1	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_001198	PR domain containing 1, with ZNF domain (PRDM1)	24384.73	43253.48	44368.81	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_005623	chemokine (C-C motif) ligand 8 (CCL8)	566.26	1646.75	3391.3	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_003807	tumor necrosis factor (ligand) superfamily, member 14 (TNFSF14)	2938.9	6210.39	7458.47	Imflammation amd Immunity	Up-Regulated under 1 mg/ml LPS
NM_004486	golgi autoantigen, golgin subfamily a, 2 (GOLGA2)	986.54	3394.79	4161.49	Introcellular Transport	Up-Regulated under 1 mg/ml LPS
NM_007275	tumor suppressor candidate 2 (TUSC2)	13739.46	25910.98	31816.79	Others	Up-Regulated under 1 mg/ml LPS
NM_018850	ATP-binding cassette, subfamily B, member 4 isoform C	443.91	1822.85	2234.7	Others	Up-Regulated under 1 mg/ml LPS
NM_002734	cAMP-dependent protein kinase, regulatory subunit alpha 1 (PRKAR1A)	1010.06	1515.21	2095.99	Others	Up-Regulated under 1 mg/ml LPS
NM_013404	mesothelin (MSLN)	1107.15	3289.41	3921.65	Others	Up-Regulated under 1 mg/ml LPS
NM_003785	P antigen family, member 1 (prostate associated) (PAGE1)	1879.32	4845.73	4998.59	Others	Up-Regulated under 1 mg/ml LPS
NM_021978	suppression of tumorigenicity 14 (colon carcinoma)(ST14)	430.21	1405.37	3663.09	Others	Up-Regulated under 1 mg/ml LPS
