# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_huex_1_0_st_v2|3872817|3872817	refseq_dna|NM_130786|NM_130786	hgnc_symbol|A1BG|A1BG
affy_huex_1_0_st_v2|3221800|3221800	refseq_dna|NM_001633|NM_001633	hgnc_symbol|AMBP|AMBP
affy_huex_1_0_st_v2|4017056|4017056	refseq_dna|NM_000354|NM_000354	hgnc_symbol|SERPINA7|SERPINA7
affy_huex_1_0_st_v2|3468473|3468473	refseq_dna|NM_000277|NM_000277	hgnc_symbol|PAH|PAH
affy_huex_1_0_st_v2|3838556|3838556	entrezgene|U03858|2323	hgnc_symbol|FLT3LG|FLT3LG
affy_huex_1_0_st_v2|3742400|3742400	refseq_dna|NM_005022|NM_005022	hgnc_symbol|PFN1|PFN1
affy_huex_1_0_st_v2|3866106|3866106	refseq_dna|NM_033258|NM_033258	hgnc_symbol|GNG8|GNG8
affy_huex_1_0_st_v2|2635998|2635998	refseq_dna|NM_013259|NM_013259	hgnc_symbol|TAGLN3|TAGLN3
affy_huex_1_0_st_v2|2574646|2574646	refseq_dna|NM_139343|NM_139343	hgnc_symbol|BIN1|BIN1
affy_huex_1_0_st_v2|3349719|3349719	refseq_dna|NM_006006|NM_006006	hgnc_symbol|ZBTB16|ZBTB16
affy_huex_1_0_st_v2|2435989|2435989	refseq_dna|NM_002964|NM_002964	hgnc_symbol|S100A8|S100A8
affy_huex_1_0_st_v2|2397898|2397898	refseq_dna|NM_014424|NM_014424	hgnc_symbol|HSPB7|HSPB7
affy_huex_1_0_st_v2|2493858|2493858	refseq_dna|NM_002371|NM_002371	hgnc_symbol|MAL|MAL
affy_huex_1_0_st_v2|2607568|2607568	refseq_dna|NM_006614|NM_006614	hgnc_symbol|CHL1|CHL1
affy_huex_1_0_st_v2|2893794|2893794	refseq_dna|NM_004415|NM_004415	hgnc_symbol|DSP|DSP
affy_huex_1_0_st_v2|3087659|3087659	refseq_dna|NM_003046|NM_003046	hgnc_symbol|SLC7A2|SLC7A2
affy_huex_1_0_st_v2|2371139|2371139	refseq_dna|NM_005562|NM_005562	hgnc_symbol|LAMC2|LAMC2
affy_huex_1_0_st_v2|2634494|2634494	refseq_dna|NM_001627|NM_001627	hgnc_symbol|ALCAM|ALCAM
affy_huex_1_0_st_v2|3109687|3109687	embl|BC069633|BC069633	hgnc_symbol|GRHL2|GRHL2
affy_huex_1_0_st_v2|3333443|3333443	refseq_dna|NM_001083926|NM_001083926	hgnc_symbol|ASRGL1|ASRGL1
affy_huex_1_0_st_v2|2741236|2741236	refseq_dna|NM_019050|NM_019050	hgnc_symbol|USP53|USP53
affy_huex_1_0_st_v2|3933566|3933566	refseq_dna|NM_024022|NM_024022	hgnc_symbol|TMPRSS3|TMPRSS3
affy_huex_1_0_st_v2|3135567|3135567	refseq_dna|NM_006330|NM_006330	hgnc_symbol|LYPLA1|LYPLA1
affy_huex_1_0_st_v2|2783473|2783473	refseq_dna|NM_001001701|NM_001001701	hgnc_symbol|LOC401152|LOC401152
affy_huex_1_0_st_v2|2420832|2420832	refseq_dna|NM_012137|NM_012137	hgnc_symbol|DDAH1|DDAH1
affy_huex_1_0_st_v2|2742224|2742224	refseq_dna|NM_005841|NM_005841	hgnc_symbol|SPRY1|SPRY1
affy_huex_1_0_st_v2|3390195|3390195	refseq_dna|NM_015065|NM_015065	hgnc_symbol|EXPH5|EXPH5
affy_huex_1_0_st_v2|3096545|3096545	refseq_dna|NM_032237|NM_032237	hgnc_symbol|FLJ23356|FLJ23356
affy_huex_1_0_st_v2|3322958|3322958	refseq_dna|NM_019028|NM_019028	hgnc_symbol|ZDHHC13|ZDHHC13
affy_huex_1_0_st_v2|4022106|4022106	refseq_dna|NM_018388|NM_018388	hgnc_symbol|MBNL3|MBNL3
affy_huex_1_0_st_v2|3775808|3775808	refseq_dna|NM_014410|NM_014410	hgnc_symbol|CLUL1|CLUL1
affy_huex_1_0_st_v2|3142519|3142519	refseq_dna|NM_024699|NM_024699	hgnc_symbol|ZFAND1|ZFAND1
affy_huex_1_0_st_v2|3096271|3096271	refseq_dna|NM_138436|NM_138436	hgnc_symbol|C8orf40|C8orf40
affy_huex_1_0_st_v2|2669157|2669157	refseq_dna|NM_014805|NM_014805	hgnc_symbol|EPM2AIP1|EPM2AIP1
affy_huex_1_0_st_v2|4009560|4009560	refseq_dna|NM_017848|NM_017848	hgnc_symbol|FAM120C|FAM120C
affy_huex_1_0_st_v2|3686080|3686080	refseq_dna|NM_145080|NM_145080	hgnc_symbol|NSMCE1|NSMCE1
affy_huex_1_0_st_v2|3178611|3178611	refseq_dna|NM_024077|NM_024077	hgnc_symbol|SECISBP2|SECISBP2
affy_huex_1_0_st_v2|2427688|2427688	refseq_dna|NM_018372|NM_018372	hgnc_symbol|C1orf103|C1orf103
affy_huex_1_0_st_v2|2667809|2667809	refseq_dna|NM_017784|NM_017784	hgnc_symbol|OSBPL10|OSBPL10
affy_huex_1_0_st_v2|3589570|3589570	refseq_dna|NM_001013703|NM_001013703	hgnc_symbol|EIF2AK4|EIF2AK4
affy_huex_1_0_st_v2|3362468|3362468	refseq_dna|NM_030962|NM_030962	hgnc_symbol|SBF2|SBF2
affy_huex_1_0_st_v2|3096092|3096092	refseq_dna|NM_001556|NM_001556	hgnc_symbol|IKBKB|IKBKB
affy_huex_1_0_st_v2|3096428|3096428	refseq_dna|NM_002027|NM_002027	hgnc_symbol|FNTA|FNTA
affy_huex_1_0_st_v2|3029030|3029030	refseq_dna|NM_032982|NM_032982	hgnc_symbol|CASP2|CASP2
affy_huex_1_0_st_v2|4015397|4015397	refseq_dna|NM_003270|NM_003270	hgnc_symbol|TSPAN6|TSPAN6
affy_huex_1_0_st_v2|3621140|3621140	refseq_dna|NM_014793|NM_014793	hgnc_symbol|LCMT2|LCMT2
affy_huex_1_0_st_v2|3775686|3775686	refseq_dna|NM_005151|NM_005151	hgnc_symbol|USP14|USP14
affy_huex_1_0_st_v2|3645947|3645947	refseq_dna|NM_015041|NM_015041	hgnc_symbol|CLUAP1|CLUAP1
affy_huex_1_0_st_v2|2449619|2449619	refseq_dna|NM_194314|NM_194314	hgnc_symbol|ZBTB41|ZBTB41
affy_huex_1_0_st_v2|2617041|2617041	refseq_dna|NM_002078|NM_002078	hgnc_symbol|GOLGA4|GOLGA4
affy_huex_1_0_st_v2|3180263|3180263	refseq_dna|NM_032558|NM_032558	hgnc_symbol|HIATL1|HIATL1
affy_huex_1_0_st_v2|3133135|3133135	refseq_dna|NM_001099412|NM_001099412	hgnc_symbol|MYST3|MYST3
affy_huex_1_0_st_v2|2789266|2789266	refseq_dna|NM_006726|NM_006726	hgnc_symbol|LRBA|LRBA
affy_huex_1_0_st_v2|3527418|3527418	refseq_dna|NM_005484|NM_005484	hgnc_symbol|PARP2|PARP2
affy_huex_1_0_st_v2|3191273|3191273	refseq_dna|NM_020960|NM_020960	hgnc_symbol|GPR107|GPR107
affy_huex_1_0_st_v2|3567391|3567391	refseq_dna|NM_017420|NM_017420	hgnc_symbol|SIX4|SIX4
affy_huex_1_0_st_v2|3779817|3779817	refseq_dna|NM_032142|NM_032142	hgnc_symbol|CEP192|CEP192
affy_huex_1_0_st_v2|2468920|2468920	entrezgene|BC011654|51692	hgnc_symbol|CPSF3|CPSF3
affy_huex_1_0_st_v2|3365487|3365487	refseq_dna|NM_001040697|NM_001040697	hgnc_symbol|UEVLD|UEVLD
affy_huex_1_0_st_v2|3439305|3439305	refseq_dna|NM_003428|NM_003428	hgnc_symbol|ZNF84|ZNF84
affy_huex_1_0_st_v2|2672532|2672532	refseq_dna|NM_014159|NM_014159	hgnc_symbol|SETD2|SETD2
affy_huex_1_0_st_v2|3540091|3540091	entrezgene|BC050719|22890	hgnc_symbol|ZBTB1|ZBTB1
affy_huex_1_0_st_v2|2375810|2375810	refseq_dna|NM_014827|NM_014827	hgnc_symbol|ZC3H11A|ZC3H11A
affy_huex_1_0_st_v2|3932148|3932148	refseq_dna|NM_033656|NM_033656	hgnc_symbol|BRWD1|BRWD1
affy_huex_1_0_st_v2|3919952|3919952	refseq_dna|NM_015358|NM_015358	hgnc_symbol|MORC3|MORC3
affy_huex_1_0_st_v2|3556418|3556418	refseq_dna|NM_019852|NM_019852	hgnc_symbol|METTL3|METTL3
affy_huex_1_0_st_v2|4011889|4011889	refseq_dna|NM_201599|NM_201599	hgnc_symbol|ZMYM3|ZMYM3
affy_huex_1_0_st_v2|2664891|2664891	refseq_dna|NM_014744|NM_014744	hgnc_symbol|TBC1D5|TBC1D5
affy_huex_1_0_st_v2|2541944|2541944	refseq_dna|NM_024624|NM_024624	hgnc_symbol|SMC6|SMC6
affy_huex_1_0_st_v2|2629693|2629693	entrezgene|BC110889|151987	hgnc_symbol|PPP4R2|PPP4R2
affy_huex_1_0_st_v2|2452637|2452637	refseq_dna|NM_022731|NM_022731	hgnc_symbol|NUCKS1|NUCKS1
affy_huex_1_0_st_v2|3739108|3739108	refseq_dna|NM_024619|NM_024619	hgnc_symbol|FN3KRP|FN3KRP
affy_huex_1_0_st_v2|2618940|2618940	refseq_dna|NM_001904|NM_001904	hgnc_symbol|CTNNB1|CTNNB1
affy_huex_1_0_st_v2|2619344|2619344	refseq_dna|NM_005385|NM_005385	hgnc_symbol|NKTR|NKTR
affy_huex_1_0_st_v2|3971768|3971768	refseq_dna|NM_006406|NM_006406	hgnc_symbol|PRDX4|PRDX4
