probeset_id	GeneSymbol	t	p	q
40446_at	PHF1	5.073952	0.000008	0.083857
202423_at	MYST3	4.793737	0.000019	0.084782
212455_at	YTHDC1	4.648092	0.000031	0.084782
218764_at	PRKCH	4.586848	0.000037	0.084782
209898_x_at	ITSN2	4.541179	0.000043	0.084782
218172_s_at	DERL1	4.438555	0.00006	0.084782
201556_s_at	VAMP2	4.435758	0.000061	0.084782
206099_at	PRKCH	4.426747	0.000062	0.084782
204691_x_at	PLA2G6	4.422985	0.000063	0.084782
41577_at	PPP1R16B	4.379403	0.000073	0.084782
212750_at	PPP1R16B	4.347404	0.00008	0.085619
213121_at	SNRNP70	4.281891	0.000099	0.095388
214792_x_at	VAMP2	4.268785	0.000103	0.095388
201354_s_at	BAZ2A	4.183705	0.000135	0.11515
212487_at	GPATCH8	4.079926	0.000186	0.118344
201557_at	VAMP2	4.067562	0.000194	0.118344
215938_s_at	PLA2G6	4.039032	0.000212	0.118344
209907_s_at	ITSN2	4.032793	0.000216	0.118344
211086_x_at	NEK1	4.026944	0.00022	0.118344
202822_at	LPP	3.94996	0.000279	0.122325
200685_at	SFRS11	3.949239	0.00028	0.122325
210786_s_at	FLI1	3.947718	0.000281	0.122325
201221_s_at	SNRNP70	3.870026	0.000356	0.134136
213070_at	PIK3C2A	3.832747	0.000399	0.134136
212485_at	GPATCH8	3.811116	0.000426	0.135313
214855_s_at	GARNL1	3.803699	0.000436	0.135579
211948_x_at	BAT2D1	3.770406	0.000482	0.135825
38398_at	MADD	3.760288	0.000497	0.137149
210647_x_at	PLA2G6	3.701627	0.000593	0.146451
222032_s_at	USP7	3.689678	0.000615	0.147149
220701_at	---	3.671181	0.00065	0.147149
214252_s_at	CLN5	3.668161	0.000656	0.147149
202971_s_at	DYRK2	3.639425	0.000715	0.15113
201713_s_at	RANBP2	3.614094	0.00077	0.154397
207968_s_at	MEF2C	3.610384	0.000779	0.154397
202455_at	HDAC5	3.582292	0.000847	0.158247
214055_x_at	BAT2D1	3.57903	0.000855	0.158247
201408_at	PPP1CB	3.574122	0.000867	0.159233
221483_s_at	ARPP-19	3.555373	0.000917	0.165358
202928_s_at	PHF1	3.553034	0.000923	0.165358
218311_at	MAP4K3	3.536952	0.000968	0.166015
217686_at	PTPN1	3.534105	0.000976	0.166015
204793_at	GPRASP1	3.532507	0.00098	0.166015
213153_at	SETD1B	3.509151	0.00105	0.166015
213656_s_at	KLC1	3.506129	0.001059	0.166015
202599_s_at	NRIP1	3.502401	0.001071	0.166015
207837_at	RBPMS	3.494851	0.001095	0.166015
211089_s_at	NEK3	3.48126	0.001139	0.166015
