GI No.	Definition	No. p53 DNA binding sequencea	Cluster nameb	Fold Changec 4 h PId	Fold Changec 8 h PId	Fold Changec 12 h PId	Fold Changec 16 h PId	Fold Changec 20 h PId	Fold Changec 24 h PId
924	GTP-binding nuclear protein RAN	2	F	e	e	4.4	4	3.2	3.3
23114	14-3-3 protein beta/alpha	1	E	e	e	4.6	e	e	e
28599	fructose-bisphosphate aldolase c	4	D	e	e	e	e	2.6	e
29839	cell division control protein 2 homolog	1	F	e	e	3.1	3.7	2.9	3.5
29979	cyclin-dependent kinases regulatory subunit 2	2	F	e	e	3.8	e	e	e
30506	desmoglein 1 precursor	1	1 missing data point	e	e	e	2.6	e	e
30821	tryptophanyl-tRNA synthetase	2	F	e	e	2.6	6.6	4.2	4.5
31198	receptor protein-tyrosine kinase erbb-2 precursor	2	D	e	e	e	e	3.6	e
31642	trifunctional purine biosynthetic protein adenosine-3	3	F	e	e	e	3.2	e	e
31756	alpha-galactosidase A precursor	5	F	e	e	2.7	4.2	e	e
32015	alpha-tubulin	2	F	e	e	2.9	5	2.5	2.9
32028	CD83 antigen precursor	1	C	e	e	e	2.5	e	e
32327	high mobility group protein HMG1	2	F	e	e	e	2.7	2.6	2.9
32329	nonhistone chromosomal protein HMG-17	1	F	e	e	e	3.3	e	e
32467	heat shock cognate 71 Kda protein	5	F	e	e	5	4	4.1	2.5
32488	heat shock protein HSP 90-alpha	1	F	e	e	2.5	e	e	e
33813	interleukin-2 receptor alpha chain precursor	4	F	e	e	3.7	e	e	e
33911	integrin beta(4)subunit precursor	1	F	e	e	e	2.8	e	e
34031	ER lumen protein retaining receptor 1	1	F	e	e	e	2.6	e	e
34313	l-lactate dehydrogenase M chain	1	F	e	e	2.5	3.2	3.5	e
34388	annexin I	1	F	e	e	5.7	e	e	e
34754	mitochondrial 60 s ribosomal protein l3	1	F	e	e	4.1	e	e	e
34756	myosin regulatory light chain 2, nonsarcomeric	1	F	e	e	e	2.6	2.5	e
35136	ornithine decarboxylase	1	F	e	e	4.1	5.1	3.4	3.1
35173	heme oxygenase 1	2	F	e	e	2.6	e	e	e
35336	dipeptidyl peptidase IV	1	F	e	e	e	e	2.5	e
35959	tubulin beta-5 chain	3	D	e	e	e	e	2.5	e
36546	son protein, son3	1	F	e	e	3	e	e	e
36615	cyclin-dependent kinase-like 1	1	F	e	e	2.5	e	e	e
36796	T-complex polypeptide 1	1	F	e	e	2.7	e	e	e
37208	troponin c, slow skeletal and cardiac muscles	4	1 missing data point	e	e	2.7	e	e	e
37479	thymidylate synthase	4	D	e	e	e	e	2.7	e
37496	translationally controlled tumor protein	1	F	e	e	e	e	2.7	e
37637	annexin V	2	F	e	e	e	3.3	e	e
57966	14-3-3 protein epsilon	1	F	e	e	2.9	e	e	e
71795	apolipoprotein e precursor	3	F	e	e	e	2.5	e	e
72247	homeobox protein hox-A5	1	F	e	e	3.2	e	e	e
87410	ferrochelatase, mitochondrial precursor	11	C	e	e	e	2.6	e	e
