probe set	gene	Accession	EntrezGene	CEF NY315/CEF RCAS	t statistic	P value	CEF SRA/CEF RCAS	t statistic	P value	CEF SRA/CEF NY315	t statistic	P value
Gga.100.1.S1_a_at	FAS: Fas (TNF receptor superfamily, member 6)	BU248604	395274	0.59	1.155	0.360911	1.67	4.438	0.01666	1.09	1.753	0.155295
Gga.10022.1.S1_at	PCTP: phosphatidylcholine transfer protein	BU118683	417399	1.08	4.639	0.014564	0.39	1.044	0.347289	-0.69	-2.012	0.117425
Gga.10034.2.S1_s_at	LOC420896: similar to plasminogen activator inhibitor	BU419559	420896	-1.11	-4.336	0.045847	-0.34	-0.805	0.479016	0.77	1.564	0.182833
Gga.10042.1.S1_a_at	RCJMB04_25l16: CD200 receptor 1	BX930945.2	418367	0.06	0.387	0.718966	2.15	6.903	0.002746	2.09	6.852	0.003492
Gga.10061.1.S1_s_at	SLC16A6: solute carrier family 16, member 6 (monocarboxylic acid transporter 7)	BU344376	417435	1.21	4.278	0.025335	0.18	0.32	0.768274	-1.03	-1.678	0.166673
Gga.10065.1.S1_at	USP54: ubiquitin specific peptidase 54	BU225196	423746	-1.62	-6.006	0.004559	-1.73	-8.771	0.001673	-0.11	-0.46	0.676803
Gga.10069.1.A1_at	RCJMB04_23o9: Core-binding factor, runt domain, alpha subunit 2; translocated to, 3	BX935675.2	415846	-0.9	-5.196	0.027323	-1.56	-12.82	0.00031	-0.66	-3.262	0.034073
Gga.10085.1.S1_s_at	RHPN1: rhophilin, Rho GTPase binding protein 1	BX935626.2	420299	-1.2	-11.692	0.000313	-0.89	-4.395	0.01252	0.31	1.563	0.197028
Gga.10086.1.S1_s_at	C1QDC1: C1q domain containing 1	BU453591	418141	-1.61	-7.597	0.015978	-1.48	-10.748	0.001398	0.12	0.495	0.649049
Gga.1009.1.S1_s_at	RCJMB04_28o6: actin related protein 2/3 complex, subunit 1B, 41kDa	BU223250	416490	-0.07	-0.545	0.614985	0.98	6.676	0.001266	1.05	6.943	0.000987
