Gene Symbol	Quies-Cycl	Quies-Diff	Cycl-Diff	Log2Fold Quies-Cycl	Log2Fold Quies-Diff	Log2Fold Cycl-Diff	Gene.Title
RFC2	-1	-1	0	-1.743516996	-1.633892995	0.109624	replication factor C (activator 1) 2, 40kDa
EPHB3	0	-1	0	-1.645639134	-2.278056198	-0.632417064	EPH receptor B3
SCARB1	0	-1	0	-0.960085122	-1.29045694	-0.330371817	scavenger receptor class B, member 1
CCDC11	0	1	0	0.802828535	1.136715348	0.333886813	coiled-coil domain containing 11
SCIN	0	-1	0	-0.318193231	-2.044493755	-1.726300524	scinderin
SCIN	0	-1	0	-0.248143074	-1.511492508	-1.263349435	scinderin
COBL	0	-1	-1	0.099924437	-1.257777243	-1.35770168	cordon-bleu homolog (mouse)
MAP3K6	0	-1	0	-0.806221682	-1.319294468	-0.513072786	mitogen-activated protein kinase kinase kinase 6
ARSG	0	-1	0	-0.980801668	-1.943303506	-0.962501839	arylsulfatase G
GRHL1	0	-1	0	-0.208193285	-1.752966611	-1.544773326	grainyhead-like 1 (Drosophila)
KLHDC1	0	1	0	0.812195934	1.562515566	0.750319632	kelch domain containing 1
TLOC1	0	1	0	0.718739294	1.181704763	0.462965469	translocation protein 1
PROM2	0	-1	0	-0.326524418	-1.159544833	-0.833020415	prominin 2
RECQL4	-1	-1	0	-1.430144701	-1.745165946	-0.315021246	RecQ protein-like 4
PTK6	0	-1	0	-0.376887534	-1.050918122	-0.674030587	PTK6 protein tyrosine kinase 6
C1orf161	0	-1	0	-0.624659989	-2.00570317	-1.381043181	chromosome 1 open reading frame 161
NLRX1	0	-1	0	-0.7845013	-1.36039135	-0.57589005	NLR family member X1
FAM119A	0	1	0	0.72766653	1.161950894	0.434284364	family with sequence similarity 119, member A
CCDC108	1	1	0	1.536607551	1.275540247	-0.261067304	coiled-coil domain containing 108
MEF2B	0	-1	0	-0.562589617	-1.090561871	-0.527972254	myocyte enhancer factor 2B
RAB7B	0	-1	0	-1.061218816	-1.131670964	-0.070452147	RAB7B, member RAS oncogene family
DTYMK	0	-1	0	-1.004596932	-1.104001359	-0.099404426	deoxythymidylate kinase (thymidylate kinase)
DTYMK /// LOC727761	-1	-1	0	-1.375117057	-1.38783015	-0.012713094	deoxythymidylate kinase (thymidylate kinase) /// similar to deoxythymidylate kinase (thymidylate kinase)
MED25	0	-1	0	-0.819590381	-1.152394088	-0.332803707	mediator complex subunit 25
DMRTC1 /// LOC728656	0	1	0	0.78999084	1.125196476	0.335205636	DMRT-like family C1 /// similar to doublesex and mab-3 related transcription factor 8.1 isoform a
	0	1	0	1.161162806	1.92335845	0.762195644	CDNA clone IMAGE:5303689
DDX51	0	-1	0	-0.990494107	-1.586147631	-0.595653524	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
ALS2CR16	1	0	0	1.506659805	0.922830277	-0.583829528	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 16
WDR78	1	1	0	1.047531666	1.045649974	-0.001881692	WD repeat domain 78
CENPL	-1	-1	0	-1.463268926	-1.486533628	-0.023264702	centromere protein L
TK1	-1	-1	0	-2.480029615	-2.770912553	-0.290882938	thymidine kinase 1, soluble
CNNM2	0	-1	0	-0.618847875	-1.334338517	-0.715490642	cyclin M2
YIF1B	0	-1	0	-0.884674526	-1.799585116	-0.91491059	Yip1 interacting factor homolog B (S. cerevisiae)
LMNA	0	-1	0	-1.906858925	-2.865747448	-0.958888523	lamin A/C
HEATR2	0	-1	0	-0.719597306	-1.53944149	-0.819844184	HEAT repeat containing 2
PDE8B	0	-1	-1	-0.179979355	-1.600924579	-1.420945224	phosphodiesterase 8B
NAGA	-1	-1	0	-1.045168971	-1.05203506	-0.00686609	N-acetylgalactosaminidase, alpha-
C1orf43	0	-1	0	-0.709344414	-1.497200176	-0.787855762	chromosome 1 open reading frame 43
C1orf43	0	-1	0	-1.240088098	-2.051500239	-0.811412141	chromosome 1 open reading frame 43
HISPPD2A	0	-1	0	-1.0027556	-1.745646778	-0.742891177	histidine acid phosphatase domain containing 2A
WFS1	0	-1	0	-0.446275341	-1.002072205	-0.555796864	Wolfram syndrome 1 (wolframin)
CKAP5	-1	-1	0	-1.194135162	-1.325898923	-0.131763761	cytoskeleton associated protein 5
FOXP2	0	1	0	0.865517202	1.623916075	0.758398874	forkhead box P2
DNAJC11	0	-1	0	-0.630999923	-1.057116037	-0.426116114	DnaJ (Hsp40) homolog, subfamily C, member 11
RTN4IP1	-1	-1	0	-1.357154202	-1.599212699	-0.242058497	reticulon 4 interacting protein 1
CFL1	0	-1	0	-1.953239865	-3.148168901	-1.194929036	cofilin 1 (non-muscle)
AGTRAP	0	-1	0	-1.227737584	-1.867504783	-0.639767199	angiotensin II receptor-associated protein
POSTN	0	1	0	1.461040468	3.663164186	2.202123718	periostin, osteoblast specific factor
PQLC2	0	-1	0	-0.645299948	-1.231776204	-0.586476257	PQ loop repeat containing 2
NUP98 /// PHF23	0	-1	0	-0.886019666	-1.116924316	-0.23090465	nucleoporin 98kDa /// PHD finger protein 23
L3MBTL2	0	-1	0	-0.982023867	-1.086402481	-0.104378614	l(3)mbt-like 2 (Drosophila)
EPR1	0	-1	0	-1.484723268	-2.05225063	-0.567527361	Effector cell peptidase receptor 1
LRRC41	0	-1	0	-2.273813908	-2.89396606	-0.620152151	leucine rich repeat containing 41
	0	1	0	0.811712691	1.473379155	0.661666464	CDNA FLJ39218 fis, clone OCBBF2006660
DNM2	0	-1	0	-1.266003523	-1.389891102	-0.12388758	dynamin 2
	0	-1	0	-0.964639203	-1.424776877	-0.460137674	Homo sapiens, clone IMAGE:5247320, mRNA
ARL17 /// ARL17P1	-1	-1	0	-1.128024411	-1.145923765	-0.017899353	ADP-ribosylation factor-like 17 pseudogene 1 /// ADP-ribosylation factor-like 17
IGFBP5	0	1	0	0.816409181	1.388288777	0.571879595	insulin-like growth factor binding protein 5
	0	1	0	0.563645744	1.107706593	0.544060848	CDNA FLJ11689 fis, clone HEMBA1004977
	0	-1	0	-0.887978814	-1.226365701	-0.338386887	Homo sapiens, clone IMAGE:4863312, mRNA
PRNP	0	1	1	-0.28153218	1.473686433	1.755218612	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
CLEC2B	0	-1	-1	-0.759950388	-1.999935667	-1.239985278	C-type lectin domain family 2, member B
LOC730057	0	1	0	1.043242339	1.230059595	0.186817256	Hypothetical protein LOC730057
LOC221091	1	1	0	1.580716989	1.845429627	0.264712638	similar to hypothetical protein
	0	1	0	0.694983934	1.133415555	0.438431621	Full length insert cDNA clone ZD73H04
LOC283588	0	1	0	0.531170938	1.176274678	0.64510374	hypothetical protein LOC283588
CAPN14	0	1	1	-0.071514866	1.058779668	1.130294535	calpain 14
MYCBP2	0	-1	0	-0.704843903	-1.443944134	-0.739100231	MYC binding protein 2
	0	-1	0	-1.03457054	-1.99020914	-0.9556386	CDNA FLJ32222 fis, clone PLACE6004101
	0	1	0	0.525576798	1.511801809	0.986225011	CDNA clone IMAGE:5311184
	0	1	0	0.341186389	1.388286266	1.047099876	CDNA clone IMAGE:5311184
UBE2I	0	-1	0	-0.21971362	-1.052235282	-0.832521662	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)
	0	1	0	0.632487105	1.1517794	0.519292296	CDNA clone IMAGE:5277883
	-1	-1	0	-2.817167141	-4.342173824	-1.525006683	Full length insert cDNA clone ZD83D05
C1orf85	0	1	0	0.927246462	1.828656468	0.901410006	chromosome 1 open reading frame 85
	0	1	0	0.546222012	1.071240016	0.525018003	Homo sapiens, clone IMAGE:2900205, mRNA
PPIL4 /// ZC3H12D	0	1	0	0.545660293	1.367894396	0.822234104	peptidylprolyl isomerase (cyclophilin)-like 4 /// zinc finger CCCH-type containing 12D
	-1	-1	0	-1.122123043	-1.260010575	-0.137887532	CDNA clone IMAGE:5736961
GBP6	0	-1	0	-0.531305135	-2.058925509	-1.527620374	Guanylate binding protein family, member 6
	0	-1	0	-0.477073636	-1.164946002	-0.687872365	CDNA FLJ36989 fis, clone BRACE2006753
RUVBL2	0	-1	0	-0.683362996	-1.092486774	-0.409123777	RuvB-like 2 (E. coli)
NAP1L4	0	-1	0	-1.251743918	-1.69972116	-0.447977242	nucleosome assembly protein 1-like 4
LOC643648	0	1	0	0.988714897	1.020772732	0.032057834	hypothetical protein LOC643648
	0	1	0	0.660448832	1.101138702	0.44068987	Full length insert cDNA clone YW21C01
	0	1	0	0.660023568	1.089853077	0.429829509	Full length insert cDNA clone ZD50G09
	0	1	0	0.23130547	1.270633983	1.039328513	Homo sapiens, clone IMAGE:5245882, mRNA
LOC284837	0	-1	0	-0.249060196	-1.16858306	-0.919522863	hypothetical protein LOC284837
	0	1	1	1.255365211	2.926576902	1.671211691	MRNA; cDNA DKFZp451G0810 (from clone DKFZp451G0810)
FAM83C	0	-1	-1	-0.559760086	-2.114182201	-1.554422115	family with sequence similarity 83, member C
	0	1	0	0.946803455	1.079579678	0.132776223	MRNA; cDNA DKFZp564F0416 (from clone DKFZp564F0416)
A2ML1	0	-1	-1	-0.752899599	-2.828654708	-2.075755109	alpha-2-macroglobulin-like 1
P4HB	0	-1	0	-2.31148884	-3.720039514	-1.408550674	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide
PRMT5	0	-1	0	-0.80418755	-1.033852072	-0.229664521	protein arginine methyltransferase 5
GLS2	0	-1	0	-1.041458049	-1.607040432	-0.565582383	glutaminase 2 (liver, mitochondrial)
DYNC2H1	0	1	0	0.454457698	1.145065216	0.690607519	dynein, cytoplasmic 2, heavy chain 1
ARF1	0	-1	0	-0.912741444	-1.50387148	-0.591130036	ADP-ribosylation factor 1
PPP1R11	-1	-1	0	-1.143914882	-1.236902077	-0.092987195	protein phosphatase 1, regulatory (inhibitor) subunit 11
SNORA68	0	-1	0	-1.017599146	-1.645283765	-0.627684618	small nucleolar RNA, H/ACA box 68
CLN6	0	-1	0	-0.992810823	-1.454705664	-0.46189484	ceroid-lipofuscinosis, neuronal 6, late infantile, variant
TROAP	0	-1	0	-0.457919425	-1.192947701	-0.735028277	trophinin associated protein (tastin)
	0	1	0	0.570444043	1.112204907	0.541760864	Homo sapiens, clone IMAGE:3892140, mRNA
LOC339804	1	1	0	1.245425083	1.819538412	0.574113329	hypothetical gene supported by AK075484; BC014578
	0	-1	-1	-0.196457125	-1.525604997	-1.329147872	CDNA clone IMAGE:4830452
GPBP1L1	0	-1	0	-1.735187512	-2.008116554	-0.272929041	GC-rich promoter binding protein 1-like 1
MLLT3	0	1	0	0.558614155	1.421376533	0.862762378	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
SLC6A16	0	1	0	1.015052122	1.669800154	0.654748031	Solute carrier family 6, member 16
KLC3	0	-1	0	-0.826022289	-2.043629937	-1.217607648	kinesin light chain 3
PLD1	0	-1	-1	-0.242556219	-1.366150413	-1.123594194	phospholipase D1, phosphatidylcholine-specific
PRPF8	-1	-1	0	-1.524778899	-1.517344626	0.007434273	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)
CAPNS1	-1	-1	0	-1.439733771	-1.428055476	0.011678294	calpain, small subunit 1
BAT1	0	-1	0	-0.62597036	-1.472349925	-0.846379566	HLA-B associated transcript 1
ARF1	0	-1	0	-1.110217605	-1.560935819	-0.450718214	ADP-ribosylation factor 1
OAZ1	0	-1	0	-1.338090231	-1.441469027	-0.103378796	ornithine decarboxylase antizyme 1
ATP6V0B	0	-1	0	-1.809491983	-1.945083018	-0.135591035	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b
ACTN4	0	-1	0	-1.075041335	-1.483910101	-0.408868766	actinin, alpha 4
APP	0	1	0	0.805720384	1.273129525	0.46740914	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)
WDR1	-1	-1	0	-1.160509608	-1.667456506	-0.506946898	WD repeat domain 1
AP2M1	-1	-1	0	-2.370085848	-2.555027058	-0.184941211	adaptor-related protein complex 2, mu 1 subunit
KIAA0152	0	-1	0	-0.92432394	-1.205196775	-0.280872835	KIAA0152
WARS	-1	-1	0	-1.238897282	-1.561581903	-0.322684621	tryptophanyl-tRNA synthetase
WARS	-1	-1	0	-1.172475168	-1.049624403	0.122850765	tryptophanyl-tRNA synthetase
PTPRF	-1	-1	0	-1.988923163	-2.693820495	-0.704897332	protein tyrosine phosphatase, receptor type, F
HDLBP	0	-1	0	-1.034145851	-1.533885543	-0.499739692	high density lipoprotein binding protein (vigilin)
NUCB1	0	-1	0	-1.236237756	-1.709357968	-0.473120212	nucleobindin 1
P4HB	0	-1	0	-2.199576642	-2.60795561	-0.408378967	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide
P4HB	0	-1	0	-2.684802021	-3.935667426	-1.250865405	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide
PHB	0	-1	0	-1.007673755	-1.747932567	-0.740258812	prohibitin
CTSA	0	-1	0	-1.515441779	-1.979425338	-0.463983559	cathepsin A
SPARC	0	1	1	0.501994108	2.531877	2.029882892	secreted protein, acidic, cysteine-rich (osteonectin)
SFRS11	0	1	0	0.742312693	1.09310772	0.350795027	splicing factor, arginine/serine-rich 11
PPP2R1A	0	-1	0	-2.557092207	-3.145894653	-0.588802446	protein phosphatase 2 (formerly 2A), regulatory subunit A , alpha isoform
PRKCSH	0	-1	0	-1.96531713	-2.789142799	-0.823825669	protein kinase C substrate 80K-H
GOT2	0	-1	0	-1.236970995	-1.229608592	0.007362402	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)
ACTR1A	0	-1	0	-0.584279363	-1.360930392	-0.776651029	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
ACTR1A	0	-1	0	-0.841609628	-1.747128941	-0.905519313	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)
PGK1	0	-1	0	-0.796416863	-1.013808907	-0.217392044	phosphoglycerate kinase 1
GNB1	0	-1	0	-0.762722021	-1.146624672	-0.383902651	guanine nucleotide binding protein (G protein), beta polypeptide 1
CAPN1	0	-1	0	-1.583106975	-2.226873545	-0.643766569	calpain 1, (mu/I) large subunit
DPYSL2	0	1	1	0.19796012	1.288815578	1.090855459	dihydropyrimidinase-like 2
MAT2A	0	-1	0	-1.161381502	-1.260303197	-0.098921696	methionine adenosyltransferase II, alpha
LAMC1	0	1	1	0.268811205	1.621984779	1.353173574	laminin, gamma 1 (formerly LAMB2)
ACO2	-1	-1	0	-1.469997687	-1.794528997	-0.324531309	aconitase 2, mitochondrial
CCT7	-1	-1	0	-1.056239747	-1.089198498	-0.032958751	chaperonin containing TCP1, subunit 7 (eta)
PSMD8	0	-1	0	-0.675706023	-1.467360722	-0.791654699	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8
TPI1	-1	-1	0	-1.109143918	-1.282028054	-0.172884136	triosephosphate isomerase 1
GSTP1	0	-1	0	-0.735059571	-1.829915358	-1.094855787	glutathione S-transferase pi
ZNF207	-1	-1	0	-1.597836462	-1.61596441	-0.018127948	zinc finger protein 207
PPP1CA	0	-1	0	-1.725591158	-2.353969685	-0.628378527	protein phosphatase 1, catalytic subunit, alpha isoform
DHCR24	0	-1	0	-1.402611074	-1.774417571	-0.371806497	24-dehydrocholesterol reductase
PSAP	0	-1	0	-2.044057149	-2.47509225	-0.431035101	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)
NOL5A	0	-1	0	-0.672622054	-1.015312842	-0.342690789	nucleolar protein 5A (56kDa with KKE/D repeat)
FKBP4	-1	-1	0	-1.028357723	-1.713361466	-0.685003743	FK506 binding protein 4, 59kDa
FKBP4	0	-1	0	-0.617774664	-1.064086525	-0.44631186	FK506 binding protein 4, 59kDa
PALLD	0	1	0	0.437878511	1.147617484	0.709738973	palladin, cytoskeletal associated protein
AHCY	0	-1	0	-1.328949945	-1.541354129	-0.212404184	S-adenosylhomocysteine hydrolase
PALLD	0	1	0	0.481805128	1.228147431	0.746342303	palladin, cytoskeletal associated protein
CCT3	0	-1	0	-0.595839738	-1.204771955	-0.608932217	chaperonin containing TCP1, subunit 3 (gamma)
PPM1G	0	-1	0	-0.852349666	-1.304994885	-0.452645219	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform
TAGLN2	0	-1	0	-1.593658522	-2.328257716	-0.734599194	transgelin 2
ARPC1A	-1	-1	0	-1.1257508	-1.163063439	-0.03731264	actin related protein 2/3 complex, subunit 1A, 41kDa
CCND2	0	1	0	0.202769234	1.13415531	0.931386076	cyclin D2
SSRP1	0	-1	0	-0.777843108	-1.213055102	-0.435211995	structure specific recognition protein 1
SDCBP	0	1	1	0.347178092	1.427288398	1.080110306	syndecan binding protein (syntenin)
FUS	0	-1	0	-0.936935574	-1.500571164	-0.56363559	fusion (involved in t(12;16) in malignant liposarcoma)
ALDOA	0	-1	0	-1.121413421	-1.688394763	-0.566981342	aldolase A, fructose-bisphosphate
TRIM28	0	-1	0	-1.428595718	-2.050065288	-0.62146957	tripartite motif-containing 28
Kua-UEV /// LOC730052 /// RNPEP /// TMEM189 /// UBE2V1	-1	0	0	-1.233496439	-0.935092413	0.298404026	arginyl aminopeptidase (aminopeptidase B) /// ubiquitin-conjugating enzyme E2 variant 1 /// transmembrane protein 189 /// similar to ubiquitin-conjugating enzyme E2 variant 1 isoform d
SSR4	0	-1	0	-0.537016447	-1.117482221	-0.580465774	signal sequence receptor, delta (translocon-associated protein delta)
TXNIP	0	1	0	0.783580282	1.910794908	1.127214626	thioredoxin interacting protein
JUP	0	-1	0	-2.815552336	-3.5548926	-0.739340264	junction plakoglobin
PFKP	0	-1	0	-0.637541247	-1.090671	-0.453129753	phosphofructokinase, platelet
ANP32A	0	1	0	0.65254706	1.315496795	0.662949736	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
PSMF1	0	-1	0	-0.905344927	-1.312004336	-0.406659409	proteasome (prosome, macropain) inhibitor subunit 1 (PI31)
CYC1	-1	-1	0	-1.816081254	-2.155174517	-0.339093262	cytochrome c-1
SMARCC1	0	-1	0	-0.998477615	-1.428505548	-0.430027933	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
DCTN1	0	-1	0	-2.318892586	-2.967583194	-0.648690608	dynactin 1 (p150, glued homolog, Drosophila)
ATP6V1B2	0	-1	0	-0.991013677	-1.306083079	-0.315069401	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2
LOC728980 /// LOC730476 /// NBPF10 /// NBPF11 /// NBPF14 /// NBPF15 /// NBPF16 /// NBPF20 /// NBPF8	0	-1	0	-0.861352738	-1.223387277	-0.362034539	neuroblastoma breakpoint family, member 14 /// neuroblastoma breakpoint family, member 11 /// neuroblastoma breakpoint family, member 15 /// neuroblastoma breakpoint family, member 20 /// neuroblastoma breakpoint family, member 10 /// neuroblastoma breakpoint family, member 8 /// neuroblastoma breakpoint family, member 16 /// hypothetical protein LOC728980 /// hypothetical protein LOC730476
TUFM	-1	-1	0	-1.502167112	-1.677932157	-0.175765045	Tu translation elongation factor, mitochondrial
POLD2	0	-1	0	-0.889894328	-1.465034072	-0.575139744	polymerase (DNA directed), delta 2, regulatory subunit 50kDa
CPE	0	1	0	0.518348191	1.229187263	0.710839072	carboxypeptidase E
PGD	-1	-1	0	-1.546865959	-2.351949503	-0.805083544	phosphogluconate dehydrogenase
HAX1	0	-1	0	-0.785597624	-1.082365656	-0.296768033	HCLS1 associated protein X-1
TIMP3	0	1	0	0.680941883	1.856595622	1.175653739	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)
TIMP3	0	1	0	0.555980474	1.055171623	0.499191149	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)
NMT1	0	-1	0	-0.993996622	-1.405684019	-0.411687397	N-myristoyltransferase 1
ARHGDIA /// LOC728908	0	-1	0	-1.475275743	-2.082442517	-0.607166774	Rho GDP dissociation inhibitor (GDI) alpha /// similar to Rho GDP dissociation inhibitor (GDI) alpha
HTRA1	0	1	1	-0.009012609	1.685582085	1.694594694	HtrA serine peptidase 1
ITPR3	-1	-1	0	-2.040852727	-2.052367046	-0.011514319	inositol 1,4,5-triphosphate receptor, type 3
CSTB	0	-1	-1	-0.188219567	-1.238693888	-1.05047432	cystatin B (stefin B)
LGMN	-1	-1	0	-1.247479554	-1.215779673	0.031699882	legumain
ARIH2	0	-1	0	-1.058736258	-1.607331698	-0.54859544	ariadne homolog 2 (Drosophila)
ENO1	-1	-1	0	-1.269360452	-1.747633972	-0.478273519	enolase 1, (alpha)
PSMD13	0	-1	0	-1.366107775	-1.856823267	-0.490715492	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13
ILK	-1	-1	0	-1.136361105	-1.565396647	-0.429035542	integrin-linked kinase
