Functional classification	Gene description	Gene symbol	Fold Change	Gen Bank ID
Inflammatory Response	Sus scrofa inflammatory response protein 6, mRNA	IRG6	3.840661	NM_213817
Inflammatory Response	Sus scrofa C1q-related factor LOC780424, mRNA	CRF	3.627351	NM_001078676
Inflammatory Response	Sus scrofa CD14 molecule CD14, mRNA	CD14	3.544918	NM_001097445
Inflammatory Response	Sus scrofa alpha-1-antichymotrypsin 2 SERPINA3-2	SERPINA3	3.119463	NM_213787
Inflammatory Response	Sus scrofa complement C4 C4, mRNA	C4	2.949702	NM_001123089
Inflammatory Response	Sus scrofa selectin E SELE, mRNA	SELE	-2.879741	NM_214268
Inflammatory Response	Sus scrofa toll-like receptor 2 (TLR2), mRNA	TLR2	2.8723	NM_213761
Inflammatory Response	Similar to melanoma cell adhesion molecule	CD146	-2.819245	BX915975
Inflammatory Response	Sus scrofa toll-like receptor 8 TLR8, mRNA	TLR8	2.675719	NM_214187
Inflammatory Response	Sus scrofa CD163 molecule CD163, mRNA	CD163	2.633336	NM_213976
Inflammatory Response	Rep: transforming growth factor, beta 2-Macaca mulatta	TGFB2	-2.554227	EV858461
Inflammatory Response	Sus scrofa chemokine C-C motif receptor 5, mRNA	CCR5	2.374719	NM_001001618
Inflammatory Response	Sus scrofa chemokine C-C motif ligand 28, mRNA	CCL28	2.330211	NM_001024695
Inflammatory Response	Sus scrofa chemokine C-X-C motif ligand 9	CXCL9	2.312722	BP169836
Inflammatory Response	Sus scrofa serpin peptidase inhibitor, clade E member 1 SERPINE1, mRNA	SERPINE1	2.225002	NM_213910
Inflammatory Response	Sus scrofa Toll-like receptor 9 TLR9, mRNA	TLR9	2.200666	NM_213958
Inflammatory Response	Rep: arachidonate 15-lipoxygenase Alox15 gene-Mus musculus	Alox15	-2.168114	AK238353
Inflammatory Response	Sus scrofa signal transducer and activator of transcription 1 STAT1, mRNA	STAT1	2.116864	NM_213769
Inflammatory Response	Sus scrofa S100 calcium binding protein A2	S100A2	2.04835	XM_001929556
Inflammatory Response	Sus scrofa serpin peptidase inhibitor, clade G1 inhibitor, member 1 SERPING1, mRNA	SERPING1	2.022489	NM_001123194
