Accession No.	Gene	Ratio	P	Chromosome	Ontology
NM_005416	Small proline-rich protein 3	19.48	0.0022	1	Epidermis development
NM_173086	Keratin 6C	12.42	0.0351	12	Cytoskeleton organization
NM_002963	S100 calcium binding protein A7	7.33	0.0476	1	Innate immune response
NM_001014450	Small proline-rich protein 2F	6.53	0.0039	1	Epidermis development
NM_005988	Small proline-rich protein 2A	6.3	0.0056	1	Epidermis development
NM_002964	S100 calcium binding protein A8	5.99	0.0123	1	Inflammatory response
NM_016190	Cornulin	5.44	0.0135	1	Cell-cell adhesion
NM_001024209	Small proline-rich protein 2E	5.42	0.016	1	Epidermis development
NM_002965	S100 calcium binding protein A9	5.08	0.0092	1	Inflammatory response
NM_002638	Peptidase inhibitor 3, skin-derived	4.03	0.0288	20	Serine-type endopeptidase inhibitor activity
NM_005213	Cystatin A	3.66	0.0397	3	Keratinocyte differentiation
NM_000421	Keratin 10 (epidermolytic hyperkeratosis)	2.98	0.0321	17	Epidermis development
NM_199161	Serum amyloid A2	2.9	0.0473	11	Acute-phase response
NM_005555	Keratin 6B	2.57	0.0261	12	Ectoderm development
NM_001306	Claudin 3	3.57	0.0418	7	Cell-cell adhesion
NM_080390	Transcription elongation factor A (SII)-like 2	2.47	0.0483	X	Transcription
NM_014333	Cell adhesion molecule 1	2.43	0.0176	11	Immune response
NM_022154	Solute carrier family 39 (zinc transporter), member 8	2.02	0.0448	4	Zinc ion transport
NM_006206	Platelet-derived growth factor receptor, C polypeptide	1.92	0.0271	4	Cell activation
NM_000561	Glutathione S-transferase M1	1.72	0.0157	1	Catalytic activity
NM_000848	Glutathione S-transferase M2	1.65	0.037	1	Catalytic activity
NM_139029	CD151 molecule	1.58	0.0092	11	Cell adhesion
NM_004853	Syntaxin 8	1.54	0.009	17	Transport
NM_019071	Inhibitor of growth family, member 3	1.51	0.0348	7	Regulation of cell growth
NM_001759	Cyclin D2	1.45	0.0473	12	G1/S transition of mitotic cell cycle
