Gene	GeneID	Probeset	Is.Sense	Fold.change	P.Adj	Symbol	Symbol.alt	Chromosome	Alternative symbols	Official full name
ELOVL5	60481	ADXCRIH.1549.C1_at	FALSE	1.663963395	0.116225537	ELOVL5	ELOVL5	6p21.1-p12.1	HELO1|dJ483K16.1	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)
ZNF518B	85460	ADXCRAD_AW965202_x_at	TRUE	1.061169904	0.214602005	ZNF518B	ZNF518B	4p16.1	KIAA1729	zinc finger protein 518B
KIT	3815	ADXCRAD_NM_000222_s_at	TRUE	2.236619887	0.21710823	KIT	KIT	4q11-q12	C-Kit|CD117|PBT|SCFR	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
EPM2AIP1	9852	ADXCRAD_CN361802_s_at	TRUE	0.929599841	0.218805639	EPM2AIP1	EPM2AIP1	3p22.1	FLJ11207|KIAA0766	EPM2A (laforin) interacting protein 1
MCL1	4170	ADXCRIH.2463.C2_at	TRUE	1.075880384	0.218805639	MCL1	MCL1	1q21	BCL2L3|EAT|MCL1-ES|MCL1L|MCL1S|MGC104264|MGC1839|Mcl-1|TM|bcl2-L-3|mcl1/EAT	myeloid cell leukemia sequence 1 (BCL2-related)
SEMA5A	9037	ADXCRAG_AF009314_at	TRUE	1.581263393	0.218805639	SEMA5A	SEMA5A	5p15.2	FLJ12815|SEMAF|semF	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A
CHFR	55743	ADXCRAG_AF170724_s_at	TRUE	1.110876713	0.218805639	CHFR	CHFR	12q24.33	FLJ10796|FLJ33629|RNF116|RNF196	checkpoint with forkhead and ring finger domains
ZFP36L1	677	ADXCRAD_CX782083_at	TRUE	0.889929077	0.218805639	ZFP36L1	ZFP36L1	14q22-q24	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	zinc finger protein 36, C3H type-like 1
ZEB2	9839	ADXCRPD.10165.C1_at	TRUE	1.10871004	0.218805639	ZEB2	ZEB2	2q22.3	FLJ42816|HSPC082|KIAA0569|SIP-1|SIP1|SMADIP1|ZFHX1B	zinc finger E-box binding homeobox 2
CUGBP2	10659	ADXCRAG_AL833001_s_at	TRUE	0.876759123	0.218805639	CELF2	CELF2	10p13	BRUNOL3|CUGBP2|ETR-3|ETR3|NAPOR	CUGBP, Elav-like family member 2
SMOC2	64094	ADXCRIHRC.2171.C1_s_at	TRUE	1.449703369	0.218805639	SMOC2	SMOC2	6q27	MST117|MSTP117|MSTP140|SMAP2|bA270C4A.1|bA37D8.1|dJ421D16.1	SPARC related modular calcium binding 2
HSF5	124535	ADXCRPD.10572.C1_at	TRUE	1.297580645	0.218805639	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
NR4A1	3164	ADXCRIH.2120.C2_s_at	TRUE	1.764434978	0.218805639	NR4A1	NR4A1	12q13	GFRP1|HMR|MGC9485|N10|NAK-1|NGFIB|NP10|NUR77|TR3	nuclear receptor subfamily 4, group A, member 1
FOS	2353	ADXCRPD.4275.C1_s_at	TRUE	0.918521868	0.218805639	FOS	FOS	14q24.3	AP-1|C-FOS	FBJ murine osteosarcoma viral oncogene homolog
EPM2AIP1	9852	ADXCRPDRC.8558.C1_s_at	TRUE	1.26889658	0.218805639	EPM2AIP1	EPM2AIP1	3p22.1	FLJ11207|KIAA0766	EPM2A (laforin) interacting protein 1
CXCL2	2920	ADXCRPD.3056.C1_s_at	TRUE	1.003944019	0.218805639	CXCL2	CXCL2	4q21	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	chemokine (C-X-C motif) ligand 2
EPM2AIP1	9852	ADXCRPD.8558.C1_at	FALSE	1.266560297	0.218805639	EPM2AIP1	EPM2AIP1	3p22.1	FLJ11207|KIAA0766	EPM2A (laforin) interacting protein 1
EGR1	1958	ADXCRAD_AJ712041_at	FALSE	1.220464783	0.218805639	EGR1	EGR1	5q31.1	AT225|G0S30|KROX-24|NGFI-A|TIS8|ZIF-268|ZNF225	early growth response 1
FOS	2353	ADXCRIH.27.C2_at	TRUE	1.138136257	0.218805639	FOS	FOS	14q24.3	AP-1|C-FOS	FBJ murine osteosarcoma viral oncogene homolog
TBC1D8	11138	ADXCRPDRC.13473.C1_s_at	TRUE	-0.759091865	0.222543909	TBC1D8	TBC1D8	2q11.2	AD3|HBLP1|TBC1D8A|VRP	TBC1 domain family, member 8 (with GRAM domain)
MEF2C	4208	ADXCRAG_AL833268_at	TRUE	1.214006114	0.24738676	MEF2C	MEF2C	5q14	C5DELq14.3; DEL5q14.3	myocyte enhancer factor 2C
