# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_005502.2|NM_005502	hgnc_symbol|ABCA1|ABCA1
refseq_dna|NM_001606.3|NM_001606	hgnc_symbol|ABCA2|ABCA2
refseq_dna|NM_001089.1|NM_001089	hgnc_symbol|ABCA3|ABCA3
refseq_dna|NM_000350.2|NM_000350	hgnc_symbol|ABCA4|ABCA4
refseq_dna|NM_172232.1|NM_172232	hgnc_symbol|ABCA5|ABCA5
refseq_dna|NM_080284.2|NM_080284	hgnc_symbol|ABCA6|ABCA6
refseq_dna|NM_033308.1|NM_033308	hgnc_symbol|ABCA7|ABCA7
refseq_dna|NM_007168.2|NM_007168	hgnc_symbol|ABCA8|ABCA8
refseq_dna|NM_080283.3|NM_080283	hgnc_symbol|ABCA9|ABCA9
refseq_dna|NM_080282.2|NM_080282	hgnc_symbol|ABCA10|ABCA10
refseq_dna|NM_015657.3|NM_015657	hgnc_symbol|ABCA12|ABCA12
refseq_dna|NM_152701.2|NM_152701	hgnc_symbol|ABCA13|ABCA13
refseq_dna|NM_000927.3|NM_000927	hgnc_symbol|ABCB1|ABCB1
refseq_dna|NM_000593.5|NM_000593	hgnc_symbol|ABCB2|ABCB2
refseq_dna|NM_000544.3|NM_000544	hgnc_symbol|ABCB3|ABCB3
refseq_dna|NM_000443.3|NM_000443	hgnc_symbol|ABCB4|ABCB4
refseq_dna|NM_178559.3|NM_178559	hgnc_symbol|ABCB5|ABCB5
refseq_dna|NM_005689.1|NM_005689	hgnc_symbol|ABCB6|ABCB6
refseq_dna|NM_004299.3|NM_004299	hgnc_symbol|ABCB7|ABCB7
refseq_dna|NM_007188.2|NM_007188	hgnc_symbol|ABCB8|ABCB8
refseq_dna|NM_203444.1|NM_203444	hgnc_symbol|ABCB9|ABCB9
refseq_dna|NM_012089.1|NM_012089	hgnc_symbol|ABCB10|ABCB10
refseq_dna|NM_003742.2|NM_003742	hgnc_symbol|ABCB11|ABCB11
refseq_dna|NM_004996.2|NM_004996	hgnc_symbol|ABCC1|ABCC1
refseq_dna|NM_000392.1|NM_000392	hgnc_symbol|ABCC2|ABCC2
refseq_dna|NM_003786.2|NM_003786	hgnc_symbol|ABCC3|ABCC3
refseq_dna|NM_005845.2|NM_005845	hgnc_symbol|ABCC4|ABCC4
refseq_dna|NM_005688.2|NM_005688	hgnc_symbol|ABCC5|ABCC5
refseq_dna|NM_001171.2|NM_001171	hgnc_symbol|ABCC6|ABCC6
refseq_dna|NM_000492.3|NM_000492	hgnc_symbol|ABCC7|ABCC7
refseq_dna|NM_000352.2|NM_000352	hgnc_symbol|ABCC8|ABCC8
refseq_dna|NM_005691.2|NM_005691	hgnc_symbol|ABCC9|ABCC9
refseq_dna|NM_033450.2|NM_033450	hgnc_symbol|ABCC10|ABCC10
refseq_dna|NM_032583.3|NM_032583	hgnc_symbol|ABCC11|ABCC11
refseq_dna|NM_033226.2|NM_033226	hgnc_symbol|ABCC12|ABCC12
refseq_dna|NM_000033.2|NM_000033	hgnc_symbol|ABCD1|ABCD1
refseq_dna|NM_005164.2|NM_005164	hgnc_symbol|ABCD2|ABCD2
refseq_dna|NM_002858.2|NM_002858	hgnc_symbol|ABCD3|ABCD3
refseq_dna|NM_005050.1|NM_005050	hgnc_symbol|ABCD4|ABCD4
refseq_dna|NM_002940.2|NM_002940	hgnc_symbol|ABCE1|ABCE1
refseq_dna|NM_001090.2|NM_001090	hgnc_symbol|ABCF1|ABCF1
refseq_dna|NM_007189.1|NM_007189	hgnc_symbol|ABCF2|ABCF2
refseq_dna|NM_018358.1|NM_018358	hgnc_symbol|ABCF3|ABCF3
