Gene name	Description	Entrez Gene ID	ANOVA p-value	Mma20 1 dpi fold change	Mma20 1 dpi p-value	E11 1 dpi fold change	E11 1 dpi p-value	Mma20 6 dpi fold change	Mma20 6 dpi p-value	E11 6 dpi fold change	E11 6 dpi p-value	Function
zgc:92926	hypothetical protein LOC436797	436797	0.00002	2.11	2.45E-28	3.58	0	2.37	3.79E-06	3.47	2.75E-06	BP_small GTPase mediated signal transduction
rab5al	RAB5A, member RAS oncogene family like	393945	0.00004	-1.62	5.66E-22	-1.21	2.41E-07	-1.02	0.75287	-1.56	9.72E-11	BP_small GTPase mediated signal transduction
zgc:73061	Ras-related protein Rab-39A	406315	0.00004	-2.4	1.14E-07	1.29	0.12174	-1.39	0.04157	-1.5	0.04154	BP_small GTPase mediated signal transduction
zgc:110645	hypothetical protein LOC550583	550583	3.63E-11	-1.09	0.21642	2.34	2.71E-16	-1.43	0.00061	1.18	0.29334	BP_small GTPase mediated signal transduction
zgc:101893	hypothetical protein LOC494045	494045	1.15E-11	-1.59	0	-1.05	0.20869	-2.39	0	-1.33	1.13E-15	BP_small GTPase mediated signal transduction
rala	v-ral simian leukemia viral oncogene homolog A (ras related)	393993	0.00848	-1.66	1.70E-12	-1.2	0.01372	-2.4	4.11E-34	-1.86	8.47E-10	BP_small GTPase mediated signal transduction
rnd1	Rho family GTPase 1; GTP-binding protein	405780	0.00106	-1.52	1.95E-07	-1.13	0.00251	-1.95	0.00011	-1.26	0.03617	BP_small GTPase mediated signal transduction
zgc:64022	hypothetical protein LOC393336	393336	0.00002	-1.24	0.01773	1.63	3.42E-06	1.5	2.63E-07	2.33	3.59E-06	BP_small GTPase mediated signal transduction
cdc42l2	cell division cycle 42 like 2; cdc42b	556226	0.00345	1.17	0.00617	1.83	0.00006	-1.05	0.6828	1.18	0.00338	BP_small GTPase mediated signal transduction
zgc:92870	hypothetical protein LOC445039	445039	0.00194	1.12	0.14699	1.66	1.84E-11	1.72	8.36E-13	1.64	0.02133	BP_small GTPase mediated signal transduction
zgc:65861	H1 histone family, member 0	321618	0.00622	1.65	8.64E-07	2.59	1.54E-22	-1.05	0.59505	1.71	0.0003	BP_chromatin assembly and disassembly
h2afvl	histone 2A family member ZA	403077	2.79E-08	1.3	1.09E-06	2.33	1.73E-32	1.81	1.49E-20	1.51	2.47E-07	BP_chromatin assembly and disassembly
h2afv	H2A histone family, member Z	252913	2.06E-06	-1.55	6.66E-17	-1.06	0.17333	-1.29	2.99E-06	-1.46	3.49E-32	BP_chromatin assembly and disassembly
mid1ip1	MID1 interacting protein 1; gastrulation specific protein-like	322977	5.14E-06	-2.34	0	-1.61	8.05E-12	-3.07	0	-2.46	0	BP_chromatin assembly and disassembly
zgc:63676	hypothetical protein LOC393453	393453	0.00003	-1.42	0.01148	1.83	0.00001	-1.12	0.4081	1.59	0.00504	BP_chromatin assembly and disassembly
lgtn	hypothetical protein LOC394137	394137	0.00009	-2.29	1.43E-18	-1.23	0.033	-1.54	0.00005	-2.15	0.00001	BP_cellular component organization and biogenesis
h2afv	H2A histone family, member Z	252913	2.06E-06	-1.55	6.66E-17	-1.06	0.17333	-1.29	2.99E-06	-1.46	3.49E-32	BP_cellular component organization and biogenesis
dzip1	DAZ interacting protein 1; Iguana; zin finger protein igu/dzip1	402875	0.00002	-1.14	0.28974	2.05	7.07E-10	1.32	0.01465	1.37	0.15747	BP_cellular component organization and biogenesis
pane1	proliferation associated nuclear element; proliferation associated nuclear element 1	402852	3.24E-06	-1.05	0.31609	1.54	2.45E-07	1.21	0.04259	1.07	0.32232	BP_cellular component organization and biogenesis
zgc:112262	hypothetical protein LOC554146	554146	0.00237	-1.56	7.21E-25	-1.21	0.00222	-1.15	0.00014	-1.65	4.88E-29	BP_cellular component organization and biogenesis
jmjd6	jumonji domain containing 6; phosphatidylserine receptor	266962	0.00194	-1.65	2.74E-36	-1.19	0.1058	-1.04	0.73299	-1.99	0	BP_cellular component organization and biogenesis
bnip3l2	BCL2/adenovirus E1B interacting protein 3-like, 2	323563	0.00351	1.23	0.01265	1.95	2.25E-09	1.84	2.06E-11	2.19	2.79E-14	BP_cellular component organization and biogenesis
zgc:123274		556571	3.56E-14	-1.89	4.00E-06	2.9	5.53E-21	-2.48	3.19E-15	1.25	0.14997	BP_cellular component organization and biogenesis
zgc:55580	basic leucine zipper and W2 domains 2	393892	0.00142	1.41	2.71E-12	1.78	0	1.67	1.18E-07	1.95	6.05E-21	BP_cellular component organization and biogenesis
tbx2b	T-box 2b; T-box gene C	30253	0.00984	-1.58	4.58E-16	-1.23	0.00067	-1.72	5.19E-07	-1.49	1.15E-11	BP_cellular component organization and biogenesis
eif4e1b	eukaryotic translation initiation factor 4e 1b	30738	1.28E-11	-1.21	0.00045	1.59	3.57E-17	-2.37	0	-1.1	0.13397	BP_cellular component organization and biogenesis
zgc:56330	eukaryotic translation initiation factor 4E binding protein 3	324490	3.43E-06	1.79	8.65E-10	3.37	0	7.5	0	2.14	1.21E-10	BP_cellular component organization and biogenesis
agxt	alanine-glyoxylate aminotransferase	79378	0.00058	1.34	0.01263	2.08	9.88E-39	-1.5	0.00002	1.79	1.41E-29	BP_cellular component organization and biogenesis
