Rank	ProbeID	M	A	t	P.Value	Fold_Change	Representative_Public_ID	Gene_Title	Gene_Symbol	Entrez_gene	Chromosome location	Ensembl	Genome.Version
1	1443621_at	1.827802584	4.055437814	10.57541499	1.76E-06	3.549959545	BG092359	Transcribed locus	BG092359		chr11 B4		Feb. 2006 (NCBI Build 36)
2	1434701_at	0.729344601	8.024753628	6.549612388	9.17E-05	1.657885763	BB795363	expressed sequence AW215868	AW215868	104611	chr11 B2		Feb. 2006 (NCBI Build 36)
3	1426278_at	-0.740916095	3.664695291	-6.310834473	0.000122103	-1.671236718	AY090098	interferon, alpha-inducible protein 27	Ifi27	76933	chr12 E		Feb. 2006 (NCBI Build 36)
4	1453749_at	-0.860211313	4.942610569	-5.72339162	0.000255123	-1.81530418	BB749723	RIKEN cDNA 2610507I01 gene	2610507I01Rik	72203	chr11 B2		Feb. 2006 (NCBI Build 36)
5	1426690_a_at	0.650791571	7.318041352	5.347849444	0.000418764	1.570029396	AI326423	sterol regulatory element binding factor 1	Srebf1	20787	chr11 B2	ENSMUSG00000020538	Feb. 2006 (NCBI Build 36)
6	1441198_at	-0.72248333	4.536184316	-5.338576548	0.000424025	-1.650019792	BB311524	zinc finger protein 39	Zfp39	22698	chr11 B1.3	ENSMUSG00000037001	Feb. 2006 (NCBI Build 36)
7	1440260_at	0.587813889	2.74837407	5.3019203	0.000445532	1.502967579	BG064532	RIKEN cDNA A930007B11 gene	A930007B11Rik	77944	chr16		Feb. 2006 (NCBI Build 36)
8	1417477_at	0.679499358	6.392461181	4.988657659	0.000685345	1.60158388	NM_025294	gene trap locus F3b	Gtlf3b	24083	chr11 B2	ENSMUSG00000018931	Feb. 2006 (NCBI Build 36)
9	1418304_at	-1.320417155	5.121847951	-4.973156119	0.000700364	-2.497383111	NM_130878	protocadherin 21	Pcdh21	170677	chr14 B	ENSMUSG00000021803	Feb. 2006 (NCBI Build 36)
10	1429017_at	0.551354179	5.100916599	4.957432895	0.000715958	1.465460598	AK010198	Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)	Smcr8	237782	chr11 B2		Feb. 2006 (NCBI Build 36)
11	1424869_at	0.51384524	7.038878468	4.894528583	0.000782179	1.427850804	BC003479	dehydrogenase/reductase (SDR family) member 7B	Dhrs7b	216820	chr11 B2	ENSMUSG00000042569	Feb. 2006 (NCBI Build 36)
12	1439426_x_at	-0.450448036	3.983243402	-4.767069582	0.000937377	-1.366464553	AV058500	P lysozyme structural	Lzp-s	17110	chr10 D2	ENSMUSG00000069515	Feb. 2006 (NCBI Build 36)
13	1416621_at	0.69373075	7.815123045	4.736053447	0.000979936	1.617460802	NM_008502	lethal giant larvae homolog 1 (Drosophila)	Llgl1	16897	chr11 B2|11 34.0 cM	ENSMUSG00000020536	Feb. 2006 (NCBI Build 36)
14	1428026_at	-1.466845777	4.508388692	-4.700154642	0.001031792	-2.76416891	BC028776	teashirt zinc finger family member 2	Tshz2	228911	chr2 H3|2 99.0 cM	ENSMUSG00000047907	Feb. 2006 (NCBI Build 36)
15	1427066_a_at	0.431698776	6.832495824	4.671918003	0.001074643	1.348820881	AJ404329	RIKEN cDNA 4933439F18 gene	4933439F18Rik	66771	chr11 B2	ENSMUSG00000018415	Feb. 2006 (NCBI Build 36)
