Curated Gene Symbol	Rank	Accession no.	Abbreviation	Gene name	AGS cell Fold change 3h	AGS cell Fold change 6h	AGS cell Fold change 24h	MKN45 cell Fold change 3h	MKN45 cell Fold change 6h	MKN45 cell Fold change 24h
IL8	1	NM_000584	IL-8	Interleukin 8	39.7	8.3	2.9	16.4	21.5	33.3
	2	NM_004591	MIP-3alpha / CCL20	Small inducible cytokine subfamily A (Cys-Cys), member 20	35.5	13.5	1.3	419.5	259.8	87.8
	3	NM_006290	TNF-AIP3 / A20	Tumor necrosis factor, alpha-induced protein 3	10.3	5	6.2	17.6	33.6	23.6
TNIP1	4	NM_006058	TNIP1	Nef-associated factor 1	3.2	5	11.6	10.4	15.4	27.8
UBE2K	5	NM_013332	HIP2	Hypoxia-inducible protein 2	8.9	5.5	26.3	12.3	13.1	32.5
GADD45B	6	AF078077	GADD45beta	Growth arrest and DNA-damage-inducible, beta	1.1	0.8	3.9	0.7	6	23.3
VEGFA	7	M27281	VEGF	Vascular endothelial growth factor	1.8	2.7	6.8	2.5	4.8	42.9
	8	AI078167	iKB-alpha	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	1.4	1.4	2.8	18.8	11.9	13
BCL3	9	NM_005178	BCL3	B-cell CLL/lymphoma 3	2.3	1.5	1.5	2.3	3	4.4
	10	NM_005739	RAS-GAP1	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	0.4	0.3	7.5	1.6	2.1	3.5
	11	AF352832	HSP8	Heat shock 70 kDa protein 8	0.8	0.3	0.1	0.8	1.2	0.8
MAP3K8	12	NM_005204	MAP3K8	Mitogen-activated protein kinase kinase kinase 8	2.6	2.1	1.2	5.6	3.6	1
IRF2	13	NM_002199	IRF2	Interferon regulatory factor 2	0.7	1.2	1.5	0.9	1.5	4.3
JUNB	14	NM_002229	JunB	JunB proto-oncogene	4.8	1.7	4	3.1	2.7	6.2
LOX	15	L16895	LOX	Lysyl oxidase	0.7	0.7	0.5	0.8	0.6	1.7
IER3	16	NM_003897	IER3	Immediate early response 3	4.2	1.1	1.6	2.4	1.2	0.4
MAP2K1	17	AI571419	MAP2K1	Mitogen-activated protein kinase kinase 1	1.4	1.1	3.4	1.3	1.2	3.2
