Gene symbol	Fold-increase I/T	Fold-increase I	Fold-increase T	Description	GenBank
ICOSLG	173	1	2	Inducible T-cell co-stimulator ligand	NM_015259
STAT2	154	3	82	Signal transducer and activator of transcription 2, 113 kDa	NM_005419
IL8	117	77	1	Interleukin 8	NM_000584
	104	2		CDNA FLJ32774 fis, clone TESTI2002002	AK058169
CXCL11	98		25	Chemokine (C-X-C motif) ligand 11	NM_005409
CCL8	98		112	Chemokine (C-C motif) ligand 8	NM_005623
CXCL10	91			Chemokine (C-X-C motif) ligand 10	NM_001565
EPSTI1	90	5	20	Epithelial stromal interaction 1 (breast)	NM_033255
GCH1	87	8	40	GTP cyclohydrolase 1 (dopa-responsive dystonia)	NM_000161
CX3CL1	76		10	Chemokine (C-X3-C motif) ligand 1	NM_002996
RSAD2	76	4	60	Radical S-adenosyl methionine domain containing 2	NM_080657
CXCL9	73	1	51	Chemokine (C-X-C motif) ligand 9	NM_002416
CX3CL1	70	2	2	Chemokine (C-X3-C motif) ligand 1	NM_002996
MX1	68	7	39	Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78	NM_002462
	67	1	0	Ubiquitin specific peptidase 22	BC110499
SECTM1	66	2	15	Secreted and transmembrane 1	NM_003004
	63	4	56	2Åå-5Åå-oligoadenylate synthetase 2, 69/71 kDa	BQ213856
TLR2	57	2	2	Toll-like receptor 2	NM_003264
	56	13	2	O60448 (O60448) Neuronal thread protein AD7c-NTP, partial	THC2544236
GBP1	55	3	27	Guanylate binding protein 1, interferon-inducible, 67 kDa	NM_002053
MFHAS1	54	1	2	Malignant fibrous histiocytoma amplified sequence 1	NM_004225
MRGPRX3	52	37	1	MAS-related GPR, member X3	NM_054031
NIPA1	49	4	2	Non imprinted in Prader.Willi/Angelman syndrome 1	NM_144599
	49			Hypothetical protein BC008326	NM_138342
ETV7	49	6	29	ets variant gene 7 (TEL2 oncogene)	NM_016135
TNFAIP6	47			Tumor necrosis factor, alpha-induced protein 6	NM_007115
IRF1	47	4	28	Interferon regulatory factor 1	NM_002198
GBP2	47	9	32	Guanylate binding protein 2, interferon-inducible	NM_004120
TNF	46	4	1	Tumor necrosis factor (TNF superfamily, member 2)	NM_000594
CCL2	45	25	18	Chemokine (C-C motif) ligand 2	NM_002982
GBP1	45	2	30	Guanylate binding protein 1, interferon-inducible, 67 kDa	NM_002053
OAS2	44	9	48	2Åå-5Åå-oligoadenylate synthetase 2, 69/71 kDa	NM_016817
IL15	43	7	31	Interleukin 15	NM_172174
MX2	43	5	25	Myxovirus (influenza virus) resistance 2 (mouse)	NM_002463
FOXA1	42	5	9	Forkhead box A1	NM_004496
IL1B	42	29	0	Interleukin 1, beta	NM_000576
SECTM1	42		44	Secreted and transmembrane 1	NM_003004
SSTR2	41		5	Somatostatin receptor 2	NM_001050
TNFAIP3	41	21	1	Tumor necrosis factor, alpha-induced protein 3	NM_006290
CXCL11	41	1	8	Chemokine (C-X-C motif) ligand 11	NM_005409
ICAM1	40	12	14	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	NM_000201
IL15RA	40	5	32	Interleukin 15 receptor, alpha	NM_172200
	40	2	22	Hypothetical protein LOC129607	BG547557
SOD2	39	12	3	Superoxide dismutase 2, mitochondrial	NM_001024465
VCAM1	39	10	2	Vascular cell adhesion molecule 1	NM_001078
ISG20	39	2	13	Interferon stimulated exonuclease gene 20 kDa	NM_002201
CD83	38	8	1	CD83 molecule	NM_004233
C13orf16	37	1	27	Chromosome 13 open reading frame 16	NM_152324
ATF3	37	2	19	Activating transcription factor 3	NM_001040619
IFI35	37	2	25	Interferon-induced protein 35	NM_005533
