Gene symbol	Accession number	Average signal pre-surgical treatment	Average signal post-surgical treatment	Fold change	P-value
FOS	NM_005252	20770.2	5492.05	3.78	<0.05
ADM	NM_001124	1185.35	362.83	3.26	<0.05
APP	NM_000484	93.75	33.72	2.78	<0.05
C1QA	NM_015991	993.2	367.71	2.7	<0.05
DUSP1	NM_004417	2554.45	960.37	2.61	<0.05
PRG1	NM_002727	2293.78	869.9	2.63	<0.05
GADD45B	NM_015675	4410.4	1728.24	2.55	<0.05
RHOB	NM_004040	6204.6	2463.1	2.51	<0.05
RKHD2	NM_016626	640.55	254.47	2.51	<0.05
FCGR1A	NM_000566	2009.45	818.37	2.45	<0.05
ARSB	NM_000046	254.8	109.49	2.33	<0.05
NR4A2	NM_006186	2777.33	1196.46	2.32	<0.05
PDK4	NM_002612	3094.4	1387.48	2.23	<0.05
VIM	NM_003380	913.45	412.67	2.21	<0.05
MCEMP1	NM_1744918	3042.63	1398.37	2.18	<0.05
BCL10	NM_003921	744.85	343.42	2.17	<0.05
CLEC4D	NM_080387	1130.35	526.07	2.15	<0.05
KLF10	NM_001032282	11627.93	5472.43	2.12	<0.05
ACSL1	NM_001995	3533.87	1693.89	2.09	<0.05
QKI	NM_006775	1453.6	698.18	2.08	<0.05
NID1	NM_002508	847.73	410.41	2.07	<0.05
PBEF1	NM_005746	10671.57	5181.76	2.06	<0.05
S100P	NM_005980	1006.8	496.69	2.03	<0.05
SAP30	NM_003864	2633.73	1299.58	2.03	<0.05
CCNL1	NM_020307	1343.28	663.85	2.02	<0.05
IMPA2	NM_014214	2083.43	1034.43	2.01	<0.05
