Significant regulation	Affy ID	Gene	Human product	Non-EC-specific expression (q-value)	Non-EC /EC Transcript ratio (per million)
Up E7 to E10	Gga.6972.2.S1_at	ABI3	ABI family, member 3	0.14	--
Down E10 to E14	GgaAffx.5725.1.S1_s_at	ACTL6A	actin-like 6A	0.49	--
Up E7 to E10	Gga.1972.1.S1_at	ACTN4	actinin, alpha 4	0.05	7.78125
Up E7 to E10	Gga.2875.2.S1_a_at	ACVR1	activin A receptor, type I	0.53	--
Down E10 to E14	GgaAffx.102.1.S1_at	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19	0.62	--
Up E7 to E10	Gga.1607.2.S1_s_at	AES	amino-terminal enhancer of split	0	--
Down E10 to E14	Gga.1607.2.S1_s_at	AES	amino-terminal enhancer of split	0	--
Up E10 to E14	Gga.6303.1.S1_s_at	AGR2	anterior gradient homolog 2 (Xenopus laevis)	0.57	--
Down E5 to E7	Gga.4448.1.S1_at	AGRN	agrin	0.57	2.0625
Up E7 to E10	Gga.8999.1.S1_at	AKAP13	A kinase (PRKA) anchor protein 13	0.53	2.96875
Up E5 to E7	Gga.4170.1.S1_at	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	0.53	--
Down E5 to E7	GgaAffx.20275.1.S1_s_at	ALCAM	activated leukocyte cell adhesion molecule	0.53	2.75
Up E5 to E7	Gga.3807.1.S2_s_at	ALDH1A3	aldehyde dehydrogenase 1 family, member A3	0.38	2.75
Up E10 to E14	GgaAffx.22422.1.S1_s_at	AMOT	angiomotin	0.62	--
Up E7 to E10	Gga.1002.1.S1_at	AMT	aminomethyltransferase	0.62	--
Down E10 to E14	Gga.1002.1.S1_at	AMT	aminomethyltransferase	0.62	--
Up E7 to E10	Gga.13183.1.S1_at	ANK2	ankyrin 2, neuronal	0.62	--
Up E7 to E10	Gga.15966.1.S1_at	ANK2	ankyrin 2, neuronal	0.62	--
Up E7 to E10	Gga.11404.1.S1_at	AP1S1	adaptor-related protein complex 1, sigma 1 subunit	0.44	--
Up E10 to E14	Gga.7334.1.S1_at	APBB1IP	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	0.49	--
Up E5 to E7	Gga.2301.1.S1_at	APCDD1	adenomatosis polyposis coli down-regulated 1	0.57	--
Down E10 to E14	Gga.9479.1.S1_at	ARF5	ADP-ribosylation factor 5	0.14	--
Up E7 to E10	GgaAffx.25247.1.S1_at	ARFIP2	ADP-ribosylation factor interacting protein 2	0.29	--
Up E7 to E10	Gga.4290.1.S1_at	ARNT	aryl hydrocarbon receptor nuclear translocator	0.29	--
Up E7 to E10	Gga.1009.1.S1_s_at	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa	0.02	6.0625
Down E10 to E14	Gga.19048.1.S1_at	ATAD3A	ATPase family, AAA domain containing 3A	0.14	--
Up E7 to E10	GgaAffx.22699.1.S1_at	ATP11B	ATPase, class VI, type 11B	0.38	3.875
Down E5 to E7	GgaAffx.10104.2.S1_s_at	ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	0.53	2.96875
Down E5 to E7	GgaAffx.13227.1.S1_s_at	ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	0.53	2.96875
Down E10 to E14	Gga.8001.3.S1_a_at	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	0.44	--
Up E7 to E10	GgaAffx.23283.1.S1_s_at	AUTS2	autism susceptibility candidate 2	0.53	--
Up E10 to E14	Gga.1328.1.S2_at	B2M	beta-2-microglobulin	0	4.509569378
Up E7 to E10	Gga.2424.2.S1_a_at	B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2	0.38	--
Down E5 to E7	Gga.14725.1.S1_at	B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6	0.62	--
Up E7 to E10	Gga.11427.1.S1_at	BANF1	barrier to autointegration factor 1	0.29	--
Down E5 to E7	Gga.5613.1.S1_at	BANP	BTG3 associated nuclear protein	0.53	--
Up E7 to E10	GgaAffx.26189.2.S1_s_at	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	0.38	--
Down E10 to E14	Gga.3179.1.S1_at	BASP1	brain abundant, membrane attached signal protein 1	0.05	--
Up E7 to E10	GgaAffx.11648.1.S1_at	BCL6	B-cell CLL/lymphoma 6	0.62	--
Down E10 to E14	Gga.2168.1.S1_at	BIN1	bridging integrator 1	0.12	--
Down E10 to E14	GgaAffx.11745.1.S1_s_at	BIN1	bridging integrator 1	0.12	--
Up E5 to E7	Gga.3738.1.S1_at	BLNK	B-cell linker	0.49	--
Up E7 to E10	GgaAffx.21171.1.S1_s_at	BTG2	BTG family, member 2	0.44	--
Down E10 to E14	Gga.8462.1.S1_at	BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	0.57	--
Up E10 to E14	Gga.15371.1.S1_at	C10orf116	chromosome 10 open reading frame 116	0.57	--
Up E7 to E10	Gga.17583.1.S1_s_at	C11orf2	chromosome 11 open reading frame2	0.33	4.125
Up E10 to E14	GgaAffx.21640.1.S1_at	C14orf83	chromosome 14 open reading frame 83	0.62	--
Down E5 to E7	Gga.12588.3.S1_a_at	C19orf40	chromosome 19 open reading frame 40	0.62	--
Down E5 to E7	GgaAffx.25828.1.S1_at	C1orf112	chromosome 1 open reading frame 112	0.49	--
Up E5 to E7	Gga.4853.1.S1_at	C20orf149	chromosome 20 open reading frame 149	0.29	4.8125
Up E7 to E10	Gga.4853.1.S1_at	C20orf149	chromosome 20 open reading frame 149	0.29	4.8125
Up E10 to E14	Gga.2510.1.S1_at	C3	complement component 3	0	--
Up E7 to E10	Gga.8064.1.S1_at	C9orf150	chromosome 9 open reading frame 150	0.53	--
Up E5 to E7	Gga.16169.1.S1_at	CA2	carbonic anhydrase II	0	--
Up E10 to E14	Gga.3986.2.S1_a_at	CA2	carbonic anhydrase II	0	--
Up E7 to E10	Gga.12998.1.S1_at	CA3	carbonic anhydrase III, muscle specific	0.44	--
Down E10 to E14	Gga.12998.1.S1_at	CA3	carbonic anhydrase III, muscle specific	0.44	--
Up E7 to E10	Gga.11632.1.S1_s_at	CALR	calreticulin	0	7.546875
Up E7 to E10	Gga.8292.1.S1_at	CAMTA1	calmodulin binding transcription activator 1	0.62	--
Up E7 to E10	Gga.10069.1.A1_at	CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	0.53	--
Up E7 to E10	Gga.12967.1.S1_at	CCNG2	cyclin G2	0.49	--
Up E10 to E14	GgaAffx.21845.2.S1_s_at	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	0	31.06217617
Up E10 to E14	Gga.4414.3.S1_a_at	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	0	31.06217617
Up E7 to E10	GgaAffx.13100.1.S1_s_at	CDC25B	cell division cycle 25 homolog B (S. pombe)	0.53	2.96875
Down E10 to E14	Gga.6008.1.S1_at	CDC45L	CDC45 cell division cycle 45-like (S. cerevisiae)	0.53	--
Down E10 to E14	GgaAffx.3765.1.S1_s_at	CDC7	cell division cycle 7 homolog (S. cerevisiae)	0.49	--
Down E10 to E14	GgaAffx.24435.1.S1_s_at	CDCA3	cell division cycle associated 3	0.53	--
Down E10 to E14	Gga.3169.1.S1_at	CDCA3	cell division cycle associated 3	0.53	--
Up E7 to E10	Gga.728.1.S1_a_at	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	0.01	--
