Symbol Gene	GenBank	FC	P value	(n = 29)	(n = 14)	FC	P value
ANPEP	NM_001150	3.52	0.0008	0.17 (0.03–1.52)	0.37 (0.10–23.7)	2.16	0.0033
CYP4B1	NM_000779	4.12	0.0011	3.13 (0.11–71.5)	10.6 (2.14–431)	3.4	0.0033
CYP4X1	NM_178033	5.57	0.0032	1.04 (0.05–73.3)	5.85 (0.63–97.7)	5.62	0.0124
CYP4Z1	NM_171834	7.76	0.0035	0.36 (0.01–220)	9.17 (0.10–311)	25.15	0.0085
CYP4Z2P	NR_002788	3.8	0.0009	34.8 (0.12–1457)	160 (22.9–2103)	4.59	0.0007
HMGCS2	NM_005518	5.31	0.0003	0.10 (0.00–11.1)	3.40 (0.07–16.3)	32.56	0.0011
ID4	NM_001546	3.03	0.0002	0.07 (0.02–0.61)	0.16 (0.05–1.03)	2.13	0.0133
LIMCH1	NM_014988	2.96	0.0002	0.54 (0.10–3.83)	1.66 (0.48–2.87)	3.06	0.0014
LTF	NM_002343	10.52	0.0005	0.03 (0.00–11.3)	0.86 (0.00–37.4)	31.54	0.0012
MAPT	NM_016835	2.82	0.0004	1.09 (0.02–12.1)	4.40 (0.04–10.2)	4.02	0.001
MSX2	NM_002449	2.17	0.0011	1.74 (0.09–4.56)	3.32 (1.56–8.57)	1.91	0.0025
NR2F2	NM_021005	2.08	0.0063	0.51 (0.14–2.02)	1.06 (0.58–2.20)	2.09	0.0009
NRIP3	NM_020645	3.28	0.0002	0.94 (0.05–18.9)	3.64 (0.64–33.9)	3.87	0.0025
NTN4	NM_021229	4.21	0.0008	0.48 (0.05–3.07)	1.87 (0.68–3.19)	3.91	0.0004
PIK3R1	NM_181523	2.45	,0.0001	0.28 (0.07–0.89)	0.49 (0.18–1.61)	1.74	0.0053
REEP1	NM_022912	3.3	0.0005	1.15 (0.16–14.4)	3.49 (1.36–8.99)	3.04	0.0446
SEC14L2	NM_012429	3.03	0.0006	0.98 (0.13–16.1)	5.54 (0.37–24.4)	5.68	0.0049
SLC4A4	NM_003759	4.81	0.0005	0.28 (0.10–8.45)	3.45 (0.00–116)	12.15	0.019
SLC40A1	NM_014585	4.42	0.0005	0.37 (0.11–7.79)	1.14 (0.26–6.62)	3.12	0.0068
TCF7L2	NM_030756	2.08	,0.0001	0.24 (0.00–0.64)	0.35 (0.23–0.91)	1.45	0.001
TFAP2B	NM_003221	6.68	0.002	0.09 (0.00–26.0)	1.32 (0.00–34.7)	15.23	0.0164
TMC5	NM_024780	4.27	0.0022	2.53 (0.05–36.4)	9.45 (1.26–37.8)	3.74	0.0177
TNFRSF11B	NM_002546	2.12	0.0023	0.67 (0.13–10.6)	2.64 (0.44–31.3)	3.91	0.0004
VANGL2	NM_020335	2.49	0.0009	0.64 (0.03–3.44)	1.90 (0.13–5.37)	2.99	0.0018
VTCN1	NM_024626	5.47	0.0007	0.19 (0.00–4.89)	1.12 (0.22–23.3)	5.97	0.0025
WNT5A	NM_003392	3.43	,0.0001	0.56 (0.05–6.03)	2.10 (0.37–6.17)	3.75	0.0013
NKAIN1	NM_024522	23.52	0.0006	137.8 (0.94–560)	12.13 (1.39–389)	211.36	0.0124
TPD52	NM_005079	22.17	0.0014	6.29 (3.13–81.8)	3.88 (1.20–11.68)	21.62	0.002
TUSC3	NM_006765	22.48	0.0026	0.58 (0.09–9.35)	0.32 (0.12–0.63)	21.83	0.0092
