Probe Set ID	Unigene(Avadis)	Gene Title	Gene Symbol	Fold change	p-value
204614_at	Hs.514913	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 2	SERPINB2	162.02783	0.016820205
205207_at	Hs.512234	interleukin 6 (interferon, beta 2)	IL6	123.92417	0.003309565
1554997_a_at	Hs.196384	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	PTGS2	118.698906	0.01654471
240287_at	Hs.160789	similar to immune-responsive gene 1	LOC341720	84.790115	0.010261582
206157_at	Hs.546280	pentaxin-related gene, rapidly induced by IL-1 beta	PTX3	84.3429	0.00532544
235737_at	Hs.389874	thymic stromal lymphopoietin	TSLP	76.11728	0.007011183
205476_at	Hs.75498	chemokine (C-C motif) ligand 20	CCL20	68.17864	0.018704653
220054_at	Hs.98309	interleukin 23, alpha subunit p19	IL23A	66.30536	0.007080643
209774_x_at	Hs.75765	chemokine (C-X-C motif) ligand 2	CXCL2	66.25199	0.000759215
227099_s_at	Hs.530443	hypothetical LOC387763	LOC387763	56.63821	0.016112523
207850_at	Hs.89690	chemokine (C-X-C motif) ligand 3	CXCL3	52.768944	0.002191762
244725_at	Hs.371976	DMRT-like family A1	DMRTA1	50.281376	0.000281714
210118_s_at	Hs.1722	interleukin 1, alpha	IL1A	49.23722	0.019662412
1552496_a_at	Hs.99141	cordon-bleu homolog (mouse)	COBL	48.601074	0.006450454
207113_s_at	Hs.241570	tumor necrosis factor (TNF superfamily, member 2)	TNF	37.33867	0.014266471
201668_x_at	Hs.519909	myristoylated alanine-rich protein kinase C substrate	MARCKS	35.176903	0.018597266
229316_at	Hs.369785	hypothetical protein MGC2749	MGC2749	29.869968	0.00569354
205818_at	Hs.532316	deleted in bladder cancer 1	DBC1	26.614586	0.001636148
207901_at	Hs.674	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	IL12B	26.456707	0.006438575
209437_s_at	Hs.445818	spondin 1, extracellular matrix protein	SPON1	23.55159	0.005172801
205067_at	Hs.126256	interleukin 1, beta	IL1B	23.429121	0.009254154
