Gene name	Symbol	Acc. Number	Array cell	Fold change	SD	Cell cycle function
V-abl Abelson murine leukemia viral oncogene homolog 1	ABL1	NM_005157	A01	18.25	3.19	S phase and DNA replication and regulation
Cullin 2	CUL2	NM_003591	D10	14.32	1.89	G1 phase and G1/S transition and checkpoint and arrest
B-cell CLL/lymphoma 2	BCL2	NM_000633	A09	12.44	2.12	Regulation
Cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	CDKN2B	NM_004936	D03	11.03	2.37	Checkpoint and arrest and negative regulator
Anaphase promoting complex subunit 4	ANAPC4	NM_013367	A03	9.17	0.27	G2 phase and G2/M transition and regulation
Cullin 3	CUL3	NM_003590	D11	8.46	0.65	G1 phase and G1/S transition and checkpoint and arrest
Cyclin-dependent kinase 5, regulatory subunit 1 (p35)	CDK5R1	NM_003885	C07	8	1.66	Regulation
RAD1 homolog	RAD1	NM_002853	F09	7.43	0.48	Checkpoint and arrest
SERTA domain containing 1	SERTAD1	NM_013376	G06	7.41	0.27	G2 phase and G2/M transition
Ataxia telangiectasia and Rad3 related	ATR	NM_001184	A06	6.51	0.36	Checkpoint and arrest
Ubiquitin-activating enzyme E1	UBE1	NM_003334	G12	6.48	1.19	S phase and DNA replication
Dynamin 2	DNM2	NM_004945	E01	5.38	0.37	G2 phase and G2/M transition
Cell division cycle 16 homolog	CDC16	NM_003903	C01	4.94	0.43	M phase
HUS1 checkpoint homolog	HUS1	NM_004507	E07	4.89	0.74	Checkpoint and arrest
Cyclin-dependent kinase 8	CDK8	NM_001260	C11	4.86	1.25	Regulation
RAD51 homolog (RecA homolog)	RAD51	NM_002875	F11	4.77	3.09	M phase
Menage a trois homolog 1, cyclin H assembly factor	MNAT1	NM_002431	F05	4.51	0.18	G2 phase and G2/M transition
Tumor protein p53 (Li-Fraumeni syndrome)	TP53	NM_000546	G11	4.4	1.48	Checkpoint and arrest
Cyclin-dependent kinase 2	CDK2	NM_001798	C05	4.07	0.24	Checkpoint and arrest and regulation
Anaphase promoting complex subunit 2	ANAPC2	NM_013366	A02	3.76	0.63	G1 phase and G1/S transition and regulation
Growth arrest and DNA-damage-inducible, alpha	GADD45A	NM_001924	E03	3.7	0.08	Checkpoint and arrest and regulation
Cyclin-dependent kinase inhibitor 1B (p27, Kip1)	CDKN1B	NM_004064	D01	3.65	0.25	G1 phase and G1/S transition and checkpoint and arrest
Cyclin-dependent kinase inhibitor 3	CDKN3	NM_005192	D04	3.36	0.09	G1+G2 phase and G1/S + G2/M transition and checkpoint and arrest
CDK5 regulatory subunit associated protein 1	CDK5RAP1	NM_016408	C08	3.32	0.06	G2 phase and G2/M transition
Cyclin F	CCNF	NM_001761	B07	3.22	0.2	M phase and regulation
Cyclin-dependent kinase 6	CDK6	NM_001259	C09	3.22	0.23	G1 phase and G1/S transition and regulation
DIRAS family, GTP-binding RAS-like 3	DIRAS3	NM_004675	A04	3.15	0.12	?
CHK1 checkpoint homolog	CHEK1	NM_001274	D05	2.95	0.15	Checkpoint and arrest
Nibrin	NBN	NM_002485	F07	2.89	0.03	Checkpoint and arrest
Retinoblastoma-like 2 (p130)	RBL2	NM_005611	G04	2.89	0.83	Negative regulator
Cell division cycle 34 homolog	CDC34	NM_004359	C04	2.86	0.14	G1 phase and G1/S transition and checkpoint and arrest
Cyclin G2	CCNG2	NM_004354	B09	2.81	0.18	Checkpoint and arrest
BCL2-associated X protein	BAX	NM_004324	A07	2.76	0.06	Negative regulator
Proliferating cell nuclear antigen	PCNA	NM_182649	F08	2.76	0.19	S phase and DNA replication
SMT3 suppressor of mif two 3 homolog 1	SUMO1	NM_003352	G08	2.73	0.1	S phase and DNA replication
Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CDKN1A	NM_000389	C12	2.67	0.08	Checkpoint and arrest and regulation
Hect domain and RLD 5	HERC5	NM_016323	E06	2.54	0.04	G2 phase and G2/M transition
Cyclin-dependent kinase 4	CDK4	NM_000075	C06	2.52	0.13	G1 phase and G1/S transition and regulation
G-2 and S-phase expressed 1	GTSE1	NM_016426	E05	2.49	0.1	G2 phase and G2/M transition
Cyclin T2	CCNT2	NM_001241	B12	2.41	0.16	G2 phase and G2/M transition and regulation
Breast cancer 2, early onset	BRCA2	NM_000059	A12	2.36	0.27	Checkpoint and arrest and regulation
Retinoblastoma-like 1 (p107)	RBL1	NM_002895	G03	2.31	0.04	Negative regulator
MCM5 minichromosome maintenance deficient 5	MCM5	NM_006739	F03	2.28	0.13	S phase and DNA replication
CDC28 protein kinase regulatory subunit 1B	CKS1B	NM_001826	D07	2.28	0.03	G2 phase and G2/M transition and regulation
Cell division cycle 20 homolog	CDC20	NM_001255	C03	2.24	0.17	Regulation
Cyclin C	CCNC	NM_005190	B03	2.16	0.14	Regulation
MAD2 mitotic arrest deficient-like 2	MAD2L2	NM_006341	E11	2.03	0.46	Checkpoint and arrest
Transcription factor Dp-1	TFDP1	NM_007111	G09	-22.5	1.04	Regulation
