Gene	Chromosome	Cancer vs. non-malignant	intestinal vs. diffuse	g1 vs. g0	M0 vs. M1	T1-2 vs. T3-4	N0 vs. N1-3
ALPK2	18q21.31-q21.32	p < 0.05	p = 0.104	p < 0.05	p = 0.451	p = 0.072	p = 0.378
ASAP1	8q24.1-q24.2	p < 0.001	p = 0.319	p = 0.396	p = 0.208	p = 0.232	p = 0.289
CEACAM5	19q13.1-q13.2	p < 0.001	p = 0.061	p = 0.254	p = 0.543	p = 0.197	p = 0.253
CYP3A4	7q21.1	p < 0.001	p = 0.061	p < 0.05	p = 0.355	p = 0.228	p = 0.422
ERBB2	17q21.1	p < 0.001	p = 0.168	p < 0.05	p = 0.49	p = 0.35	p = 0.314
HHIPL2	1q41	p < 0.05	p = 0.248	p < 0.05	p = 0.847	p = 0.129	p = 0.736
PNMT	17q21-q22	p < 0.001	p = 0.649	p = 0.346	p = 0.133	p = 0.824	p = 0.136
PERLD1	17q12	p < 0.001	p = 0.316	p < 0.05	p = 0.437	p = 0.208	p = 0.161
PTPRA	20p13	p < 0.001	p = 0.304	p < 0.05	p = 0.112	p = 0.953	p = 0.596
ENAH	1q42.12	p < 0.001	p = 0.29	p < 0.05	p = 0.149	p = 0.949	p = 0.342
LTB4R	14q11.2-q12	p < 0.001	p = 0.427	p = 0.422	p = 0.468	p = 0.452	p = 0.604
MMP9	20q11.2-q13.1	p < 0.001	p = 0.495	p < 0.05	p = 0.089	p = 0.496	p = 0.238
OSMR	5p13.1	p < 0.001	p = 0.548	p < 0.05	p = 0.182	p = 1	p = 0.184
