Array feature/Clone ID	Gene symbol	Gene name	Gene ontology (GO) function/s	Infected vs control animal relative expression
NBFGC_AW656075	NCOR1	Nuclear receptor co-repressor 1	DNA binding, protein binding, transcription corepressor activity	-2.12
NBFGC_BF604459	PPP2R5B	PP2A protein phosphatase 2A B56-beta	Protein phosphatase type 2A regulator activity	1.43
BOTL0100001XG10R	UCP2	Uncoupling protein 2 (UCP2) (mitochondrial, proton carrier)	Binding, transporter activity	-1.80
BOTL0100002XD04R	UNC84B	Unc-84 homolog B	Microtubule binding	-1.58
BOTL0100003XB12R	ZDHHC19	Zinc finger, DHHC-type containing 19	Acyltransferase activity, metal ion binding, transferase activity, zinc ion binding	1.94
BOTL0100003XF01R	NFKB1	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	Protein binding, transcription factor activity	-2.28
BOTL0100004XD01R	GAN	Giant axonal neuropathy (gigaxonin)	Protein binding	-1.41
BOTL0100005XF07R	SFPQ	Splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	DNA, RNA, nucleotide and protein binding	-1.67
BOTL0100007_C06	NRM	Nurim	Nuclear envelope membrane protein	-3.07
BOTL0100013_F01	-	Unknown	Unknown – limited similarity to Formin 2	-1.59
	FGFR1	Fibroblast growth factor receptor 1	ATP, nucleotide and protein binding. Receptor and tranferase activity.	-2.77
NBFGC_BE479784	TBK1	TANK-binding kinase 1	ATP and nucleotide binding. Protein kinase and signal transducer activity.	-1.63
NBFGC_BE682784	28S	28S ribosomal RNA gene	Protein biosynthesis	1.52
NBFGC_BF076990	GPR98	G protein-coupled receptor 98	G-protein coupled receptor activity, calcium ion binding	2.07
	NRP1	Neuropilin 1	Receptor activity, vascular endothelial growth factor receptor activity	-2.98
