Ensembl ID	Fold Change	Gene Name	Gene Symbol
ENSG00000099622	2.003489146	Cold-inducible RNA-binding protein (Glycine-rich RNA-binding protein CIRP) (A18 hnRNP)	CIRBP
ENSG00000162722	1.897561277	Tripartite motif-containing protein 58 (Protein BIA2)	TRIM58
ENSG00000141956	1.865992655	PR domain zinc finger protein 15 (PR domain-containing protein 15) (Zinc finger protein 298)	PRDM15
ENSG00000114742	1.859456738	WD repeat-containing protein 48 (WD repeat endosomal protein) (p80)	WDR48
ENSG00000166896	1.841605249	Mitochondrial inner membrane protease ATP23 homolog (EC 3.4.24.-) (XRCC6-binding protein 1) (Ku70-binding protein 3)	XRCC6BP1
ENSG00000197279	1.819335946	Zinc finger protein 165 (LD65) (Zinc finger and SCAN domain-containing protein 7) (Cancer/testis antigen 53) (CT53)	ZNF165
ENSG00000136826	1.809125591	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut- enriched krueppel-like factor)	KLF4
ENSG00000109854	1.799476502	Oxidoreductase HTATIP2 (EC 1.1.1.-) (HIV-1 TAT-interactive protein 2) (30 kDa HIV-1 TAT-interacting protein)	HTATIP2
ENSG00000108826	1.796934344	39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27) [Source:UniProtKB/Swiss-Prot;Acc:Q9P0M9]	MRPL27
ENSG00000109501	1.785482245	Wolframin	WFS1
ENSG00000118050	1.777021848	Uncharacterized protein C19orf24  [Source:UniProtKB/Swiss-Prot;Acc:Q9BVV8]	C19orf24
ENSG00000104760	1.767934815	Fibrinogen-like protein 1 precursor (Hepatocyte-derived fibrinogen- related protein 1) (HFREP-1) (Hepassocin) (Liver fibrinogen-related protein 1) (LFIRE-1) (HP-041)	FGL1
ENSG00000169344	1.767364448	Uromodulin precursor (Tamm-Horsfall urinary glycoprotein) (THP)	UMOD
ENSG00000113209	1.755454425	Protocadherin beta-5 precursor (PCDH-beta-5)	PCDHB5
ENSG00000170854	1.752013798	MYC-induced nuclear antigen (Mineral dust-induced gene protein) (Nucleolar protein 52)	MINA
ENSG00000184710	1.737692628		ENSG00000184710
ENSG00000188386	1.73437889	Calcineurin subunit B type 2 (Protein phosphatase 2B regulatory subunit 2) (Protein phosphatase 3 regulatory subunit B beta isoform) (Calcineurin B-like protein) (CBLP) (CNBII)	PPP3R2
ENSG00000177700	1.725605564	DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (DNA-directed RNA polymerase III subunit L) (RPB10) (DNA-directed RNA polymerase II 7.6 kDa polypeptide) (RPB7.6).	POLR2L
ENSG00000188763	1.714760803	Frizzled-9 precursor (Fz-9) (hFz9) (FzE6) (CD349 antigen)	FZD9
ENSG00000108639	1.712642447	Synaptogyrin-2 (Cellugyrin) [Source:UniProtKB/Swiss-Prot;Acc:O43760]	SYNGR2
ENSG00000136273	1.708976194	Checkpoint protein HUS1 (hHUS1)	HUS1
ENSG00000168521	1.708613259		ENSG00000168521
ENSG00000199156	1.704188828	hsa-mir-422a	hsa-mir-422a
ENSG00000003987	1.692546791	Myotubularin-related protein 7 (EC 3.1.3.-)	MTMR7
ENSG00000128159	1.692325234	Gamma-tubulin complex component 6 (GCP-6)	TUBGCP6
ENSG00000186352	1.688417433	Ankyrin repeat domain-containing protein 37 (Low-density lipoprotein receptor-related protein 2-binding protein) (hLrp2bp) [Source:UniProtKB/Swiss-Prot;Acc:Q7Z713]	ANKRD37
ENSG00000129757	1.68570054	Cyclin-dependent kinase inhibitor 1C (Cyclin-dependent kinase inhibitor p57) (p57KIP2)	CDKN1C
ENSG00000057019	1.682429603	Discoidin, CUB and LCCL domain-containing protein 2 Precursor  (Endothelial and smooth muscle cell-derived neuropilin-like protein) (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q96PD2]	DCBLD2
ENSG00000041802	1.675970019	Large subunit GTPase 1 homolog (EC 3.6.1.-) (hLsg1)	LSG1
ENSG00000188644	1.673993935		ENSG00000188644
ENSG00000207625	1.670854216	hsa-mir-211	hsa-mir-211
ENSG00000163386	1.667024818	Neuroblastoma breakpoint family member 9	NBPF9
ENSG00000169021	1.663181937	Cytochrome b-c1 complex subunit Rieske, mitochondrial precursor (EC 1.10.2.2) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) (Rieske iron-sulfur protein) (RISP) (Complex III subunit 5)	UQCRFS1
ENSG00000161544	1.661690455	Cytoglobin (Histoglobin) (HGb) (Stellate cell activation-associated protein)	CYGB
ENSG00000158185	1.655628303	Ankyrin repeat domain-containing protein 36A	ANKRD36
ENSG00000134809	1.652924332	Mitochondrial import inner membrane translocase subunit Tim10 [Source:UniProtKB/Swiss-Prot;Acc:P62072]	TIMM10
ENSG00000162438	1.644538843	Chymotrypsin-C precursor (EC 3.4.21.2) (Caldecrin)	CTRC
ENSG00000157399	1.643665091	Arylsulfatase E precursor (EC 3.1.6.-) (ASE)	ARSE
ENSG00000091010	1.642791998	POU domain, class 4, transcription factor 3 (Brain-specific homeobox/POU domain protein 3C) (Brn-3C) [Source:UniProtKB/Swiss-Prot;Acc:Q15319]	POU4F3
