Gene Symbol	GenBank ID	Gene Name	Fold Change	P	Epithelial genes (n = 134)†
PODXL	NM_005397	podocalyxin-like	1.94	0.0002	Actin cytoskeleton organization (n = 6)
ANXA4	BC000182	annexin A4	-1.84	0	Cell adhesion/ECM-related (n = 22)
CD99	U82164	CD99 antigen	1.66	0	Cell adhesion/ECM-related (n = 22)
CDH1	NM_004360	cadherin 1, type 1, E-cadherin	-3.33	0.0404	Cell adhesion/ECM-related (n = 22)
CLDN1	AF101051	claudin 1	-2.07	0.0002	Cell adhesion/ECM-related (n = 22)
CLDN7	NM_020412	claudin 7	-7.26	0	Cell adhesion/ECM-related (n = 22)
EVA1	AF275945	epithelial V-like antigen 1	3	0.0002	Cell adhesion/ECM-related (n = 22)
FBLP-1	AL133035	filamin-binding LIM protein-1	-3.01	0.0131	Cell adhesion/ECM-related (n = 22)
ITGA3	NM_002204	integrin, alpha 3	1.62	0.0002	Cell adhesion/ECM-related (n = 22)
ITGB6	AK026736	integrin, beta 6	2.5	0.0002	Cell adhesion/ECM-related (n = 22)
PDZKIIPI	NM_005764	PDZK1-interacting protein 1	-2.03	0	Cell adhesion/ECM-related (n = 22)
NID2	NM_007361	nidogen 2	-1.91	0.0005	Cell adhesion/ECM-related (n = 22)
OCLN	AI829721	occludin	-1.7	0.0512	Cell adhesion/ECM-related (n = 22)
DUSP1	NM_004417	dual-specificity phosphatase 1	-1.94	0.0053	Cell cycle (n = 8)
BPAG1	AI798790	bullous pemphigoid antigen 1, 230/240 kDa	1.64	0	Cell growth/maintenance (n = 42)
DEFB1	U73945	defensin, beta 1	-7.78	0	Cell growth/maintenance (n = 42)
GDI2	D13988	GDP dissociation inhibitor 2	-1.86	0	Cell growth/maintenance (n = 42)
SEMA3C	NM_006379	sema domain, immunoglobulin domain (Ig), secreted, (semaphorin) 3C	6.22	0	Cell growth/maintenance (n = 42)
TACSTD2	J04152	tumor-associated calcium signal transducer 2	-4.03	0.0325	Cell growth/maintenance (n = 42)
F11R	AF154005	F11 receptor	-2.09	0.0325	Cell motility (n = 8)
JAG1	U77914	jagged 1	2.19	0	Cell motility (n = 8)
CA2	M36532	carbonic anhydrase II	-17.04	0	Metabolism (n = 29)
CITED2	AF109161	Cbp/p300-interacting factor, with Glu/Asp-rich carboxy-terminal domain, 2	-2.02	0.034	Metabolism (n = 29)
EXT1	NM_000127	exostoses (multiple) 1	-1.63	0.0005	Metabolism (n = 29)
					Mesenchymal genes (n = 173)
ACTN1	AI082078	actinin, alpha 1	1.9	0.0005	Actin cytoskeleton organization (n = 9)
PLEK2	NM_016445	pleckstrin 2	2.02	0.0008	Actin cytoskeleton organization (n = 9)
BGN	BC002416	biglycan	10.5	0	Cell adhesion/ECM-related (n = 21)
CD44	AF098641	CD44 antigen	2.1	0	Cell adhesion/ECM-related (n = 21)
COL5A1	NM_000393	collagen, type V, alpha 1	2.05	0	Cell adhesion/ECM-related (n = 21)
COL5A2	AL564683	collagen, type V, alpha 2	39.29	0	Cell adhesion/ECM-related (n = 21)
FN1	AK026737	fibronectin 1	-10.39	0.0425	Cell adhesion/ECM-related (n = 21)
Lamb1	M20206	laminin, beta 1	2.91	0	Cell adhesion/ECM-related (n = 21)
CDC2	NM_001786	cell division cycle 2, G1 to S and G2 to M	-1.69	0.0523	Cell cycle (n = 10)
CXCL1	NM_001511	chemokine (C-X-C motif) ligand 1	-1.78	0.0015	Cell growth and/or maintenance (n = 59)
EPS8	NM_004447	epidermal growth factor receptor pathway substrate 8	2.07	0	Cell growth and/or maintenance (n = 59)
