pbs	Gene Symbol	chrom	arm	cytogenet	start	end	genes Cluster	p-value	fold change
219308_s_at	AK5	1	1p	p31.1	77721586	77798240	a	8,78E-05	2,97241088
209137_s_at	USP10	16	16q	q24.1	83291084	83370670	a	0,00050589	0,34589039
201200_at	CREG1	1	1q	q24.2	165776880	165789628	a	0,00066233	0,83794043
213032_at	NFIB	9	9p	p23	14071847	14073499	a	0,00100488	1,66511871
203698_s_at	FRZB	2	2q	q32.1	183407530	183439729	a	0,00103472	4,23800028
1553971_a_at	GATS	7	7q	q22.1	99645222	99649244	a	0,00148594	0,9206392
202959_at	MUT	6	6p	p12.3	49506031	49538967	a	0,00159112	0,88675453
238860_at	C6orf130	6	6p	p21.1	41142031	41142703	a	0,00165907	1,11116848
206799_at	SCGB1D2	11	11q	q12.3	61766301	61768855	a	0,00178056	7,25805534
204863_s_at	IL6ST	5	5q	q11.2	55271508	55326529	a	0,00180232	1,34424801
225637_at	DEF8	16	16q	q24.3	88555981	88561968	a	0,00215187	1,0290585
1558103_a_at	NA	15	15q	q25.2	81593881	81596691	a	0,00243804	1,48693516
244581_at	ZBTB20	3	3q	q13.31	115859877	115860393	a	0,00245561	0,20364107
215667_x_at	NA	7	7q	q11.23	72114615	72157707	a	0,00248963	0,36169586
236042_at	NA	12	12p	p13.33	954456	955373	a	0,00290093	0,45275917
227642_at	TFCP2L1	2	2q	q14.2	121690635	121691154	a	0,00293946	3,03784325
201939_at	PLK2	5	5q	q11.2	57785570	57791844	a	0,0029999	1,14440281
244740_at	MGC9913	19	19q	q13.43	61681330	61697525	a	0,00306356	1,29502017
220432_s_at	CYP39A1	6	6p	p12.3	46625492	46728322	a	0,00320576	2,18643041
217800_s_at	NDFIP1	5	5q	q31.3	141468619	141512523	a	0,00323594	0,9943486
225108_at	AGPS	2	2q	q31.2	178111252	178116808	a	0,00337567	1,22247908
213260_at	FOXC1	6	6p	p25.3	1555249	1559126	a	0,0035713	1,19588428
221530_s_at	BHLHB3	12	12p	p12.1	26164065	26169271	a	0,0036432	2,28680449
203263_s_at	ARHGEF9	X	Xq	q11.1	62771572	62891718	a	0,00378353	0,86814785
204421_s_at	FGF2	4	4q	q27	123967435	124036069	a	0,00382975	1,27477502
218634_at	PHLDA3	1	1q	q32.1	199701245	199704856	a	0,00385296	0,63092334
223495_at	CCDC8	19	19q	q13.32	51605425	51608681	a	0,00390874	1,432545
228584_at	SGCB	4	4q	q12	52582888	52584036	a	0,0039775	1,55846189
235207_at	NA	17	17q	q12	30919254	30925515	a	0,00436341	1,43876108
204917_s_at	MLLT3	9	9p	p21.3	20334967	20612451	a	0,00456504	1,526166
211000_s_at	IL6ST	5	5q	q11.2	55279145	55307879	a	0,00456988	1,40256905
237223_at	NA	2	2p	p21	47406500	47406939	a	0,00469942	0,17889164
211429_s_at	SERPINA1	15	15q	q22.31	63855585	63856741	a	0,00471544	2,94924474
227882_at	FKRP	19	19q	q13.32	51953037	51953676	a	0,00499437	0,66126378
244261_at	IL28RA	1	1p	p36.11	24353233	24353698	a	0,00501423	0,98754073
202925_s_at	PLAGL2	20	20q	q11.21	30243967	30259192	a	0,00512747	0,40843336
226235_at	LOC339290	18	18p	p11.31	5227888	5229389	a	0,00522715	0,61848359
210073_at	ST8SIA1	12	12p	p12.1	22245240	22378500	a	0,00584265	2,2486084
215440_s_at	BEX4	X	Xq	q22.1	102356736	102358666	a	0,00586605	1,34683303
221796_at	NTRK2	9	9q	q21.33	86616703	86620437	a	0,00606784	5,061113
226142_at	GLIPR1	12	12q	q21.2	74179310	74181975	a	0,00635552	0,95621059
202965_s_at	CAPN6	X	Xq	q22.3	110374986	110400407	a	0,00643439	2,79622302
242053_at	NA	2	2q	q11.2	99131158	99137531	a	0,00644198	1,15600309
203636_at	MID1	X	Xp	p22.2	10373595	10761687	a	0,00656577	1,16659136
225810_at	MTMR10	15	15q	q13.3	29018435	29020286	a	0,00714176	0,96408267
229302_at	TMEM178	2	2p	p22.1	39798071	39798605	a	0,00778917	2,38967329
202794_at	INPP1	2	2q	q32.2	190916683	190944552	a	0,00780384	1,13436123
228345_at	CHIC1	X	Xq	q13.2	72822464	72823669	a	0,0079775	1,98642505
210482_x_at	MAP2K5	15	15q	q23	65622666	65886280	a	0,00800643	0,53102112
210976_s_at	PFKM	12	12q	q13.11	46799392	46826154	a	0,00802032	1,41563579
243996_at	NA	9	9p	p13.3	35776642	35780424	a	0,00807603	0,44533472
212956_at	TBC1D9	4	4q	q31.21	141761385	141811532	a	0,00825642	2,00060466
213158_at	NA	3	3q	q13.31	115516042	115518086	a	0,0083635	1,86632432
204422_s_at	FGF2	4	4q	q27	123967312	124038826	a	0,00842587	2,90617706
212403_at	UBE3B	12	12q	q24.11	108399821	108458890	a	0,00860697	0,77354213
240344_x_at	LYRM7	NA	NA	NA	NA	NA	a	0,00910822	0,86018746
204855_at	SERPINB5	18	18q	q21.33	59295198	59323297	a	0,00911084	3,10957093
221476_s_at	RPL15	3	3p	p24.2	23934341	23937334	a	0,00924368	0,51768127
228131_at	ERCC1	19	19q	q13.32	50602431	50603156	a	0,00932085	1,11691882
208914_at	GGA2	16	16p	p12.1	23382871	23429299	a	0,00949516	0,58254247
209692_at	EYA2	20	20q	q13.12	45052054	45250897	a	0,00956756	1,05363796
213156_at	NA	3	3q	q13.31	115516042	115518086	a	0,00994607	2,00736842
213098_at	RQCD1	2	2q	q35	219141633	219168102	b	4,56E-05	-0,44984361
226216_at	INSR	19	19p	p13.2	7064325	7067184	b	0,00032604	-1,07151451
214444_s_at	PVR	19	19q	q13.31	49838993	49857246	b	0,00034699	-0,50600511
223483_at	SERGEF	11	11p	p15.1	17766174	17991159	b	0,00037356	-0,35479183
