GeneID	Gene Symbol	Name
1308	COL17A1	Collagen, type XVII, alpha 1
3855	KRT7	Keratin 7
374	AREG	Amphiregulin (schwannoma-derived growth factor)
3861	KRT14	Keratin 14 (epidermolysis bullosa simplex, Dowling-Meara, Koebner)
2810	SFN	Stratifin
3853	KRT6A	Keratin 6A
6273	S100A2	S100 calcium binding protein A2
3868	KRT16	Keratin 16 (focal non-epidermolytic palmoplantar keratoderma)
10653	SPINT2	Serine protease inhibitor, Kunitz type, 2
5349	FXYD3	FXYD domain containing ion transport regulator 3
810	CALML3	Calmodulin-like 3
57402	S100A14	S100 calcium binding protein A14
79098	SARG	Specifically androgen-regulated protein
286887	KRT6E	Keratin 6E
4071	TM4SF1	Transmembrane 4 superfamily member 1
23650	TRIM29	Tripartite motif-containing 29
148641	SLC35F3	Solute carrier family 35, member F3
3918	LAMC2	Laminin, gamma 2
3852	KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)
3675	ITGA3	Integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)
6382	SDC1	Syndecan 1
3898	LAD1	Ladinin 1
11202	KLK8	Kallikrein 8 (neuropsin/ovasin)
3854	KRT6B	Keratin 6B
57648	KIAA1522	KIAA1522 protein
84951	CTEN	C-terminal tensin-like
9053	MAP7	Microtubule-associated protein 7
780	DDR1	Discoidin domain receptor family, member 1
247	ALOX15B	Arachidonate 15-lipoxygenase, second type
3728	JUP	Junction plakoglobin
5652	PRSS8	Protease, serine, 8 (prostasin)
1830	DSG3	Desmoglein 3 (pemphigus vulgaris antigen)
4128	MAOA	Monoamine oxidase A
1001	CDH3	Cadherin 3, type 1, P-cadherin (placental)
79628	KIAA1985	KIAA1985 protein
55287	FLJ11036	Hypothetical protein FLJ11036
3872	KRT17	Keratin 17
79413	ZBED2	Zinc finger, BED domain containing 2
23682	RAB38	RAB38, member RAS oncogene family
5655	KLK10	Kallikrein 10
92359	CRB3	Crumbs homolog 3 (Drosophila)
3664	IRF6	Interferon regulatory factor 6
118932	ANKRD22	Ankyrin repeat domain 22
244	ANXA8	Annexin A8
3691	ITGB4	Integrin, beta 4
10610	SIAT7B	Sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) B
7378	UPP1	Uridine phosphorylase 1
