EntrezID	Symbol	Description	Location	Type	EnsemblID	log2 | Resting Teff RPKM	log2 | Activated Teff RPKM	log2 | Resting Treg RPKM	log2 | Activated Treg RPKM	LR rest | CD25 vs CD4	LR act | CD25 vs CD4	LR CD4 | act vs rest	LR CD25 | act vs rest
2615	LRRC32	leucine rich repeat containing 32	Plasma Membrane	other	ENSG00000137507	0	1.036452757	0	5.244830145	0	4.208377388	1.036452757	5.244830145
79094	CHAC1	ChaC, cation transport regulator homolog 1 (E. coli)	unknown	other	ENSG00000128965	0	2.619354877	0	4.740330268	0	2.120975391	2.619354877	4.740330268
1958	EGR1	early growth response 1	Nucleus	transcription regulator	ENSG00000120738	0	2.723422517	0	4.697791074	0	1.974368557	2.723422517	4.697791074
5831	PYCR1	pyrroline-5-carboxylate reductase 1	unknown	enzyme	ENSG00000183010	0	2.414462795	0	4.252135295	0	1.8376725	2.414462795	4.252135295
3596	IL13	interleukin 13	Extracellular Space	cytokine	ENSG00000169194	0	0.681755384	0	4.144679243	0	3.462923859	0.681755384	4.144679243
719	C3AR1	complement component 3a receptor 1	Plasma Membrane	G-protein coupled receptor	ENSG00000171860	0.678670464	1.657945539	4.097571244	0	3.418900779	-1.657945539	0.979275075	-4.097571244
79413	ZBED2	zinc finger, BED-type containing 2	unknown	other	ENSG00000177494	0	1.373902993	0	3.984283531	0	2.610380537	1.373902993	3.984283531
3586	IL10	interleukin 10	Extracellular Space	cytokine	ENSG00000136634	0	0	0	3.967770736	0	3.967770736	0	3.967770736
139716	GAB3	GRB2-associated binding protein 3	unknown	other	ENSG00000160219	2.629238899	2.372831935	3.939472946	0	1.310234047	-2.372831935	-0.256406964	-3.939472946
3164	NR4A1	nuclear receptor subfamily 4, group A, member 1	Nucleus	ligand-dependent nuclear receptor	ENSG00000123358	0.244240727	1.590622455	0	3.896609192	-0.244240727	2.305986737	1.346381728	3.896609192
7850	IL1R2	interleukin 1 receptor, type II	Plasma Membrane	transmembrane receptor	ENSG00000115590	0	0	0	3.746137628	0	3.746137628	0	3.746137628
80329	ULBP1	UL16 binding protein 1	Plasma Membrane	transmembrane receptor	ENSG00000111981	0	0.865583616	0	3.711368726	0	2.84578511	0.865583616	3.711368726
112744	IL17F	interleukin 17F	Extracellular Space	cytokine	ENSG00000112116	0	2.889021471	0	3.673164042	0	0.784142571	2.889021471	3.673164042
1978	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	Cytoplasm	translation regulator	ENSG00000187840	1.351010583	1.982362355	0	3.671672887	-1.351010583	1.689310532	0.631351771	3.671672887
6004	RGS16	regulator of G-protein signaling 16	Cytoplasm	other	ENSG00000143333	0.779135807	1.305496212	0.049313647	3.687930154	-0.72982216	2.382433942	0.526360405	3.638616506
586	BCAT1	branched chain aminotransferase 1, cytosolic	Cytoplasm	enzyme	ENSG00000060982	0	2.354476207	0	3.620747239	0	1.266271033	2.354476207	3.620747239
7422	VEGFA	vascular endothelial growth factor A	Extracellular Space	growth factor	ENSG00000112715	0	1.998227851	0	3.619879659	0	1.621651808	1.998227851	3.619879659
170575	GIMAP1	GTPase, IMAP family member 1	Cytoplasm	other	ENSG00000213203	5.831463622	4.866827318	5.793914883	2.228044612	-0.037548739	-2.638782706	-0.964636304	-3.565870271
11251	GPR44	G protein-coupled receptor 44	Plasma Membrane	G-protein coupled receptor	ENSG00000183134	0.96029289	0	3.871854972	0.312654299	2.911562082	0.312654299	-0.96029289	-3.559200674
84706	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2	unknown	enzyme	ENSG00000166123	0	1.293513148	0	3.530538368	0	2.23702522	1.293513148	3.530538368
5723	PSPH	phosphoserine phosphatase	unknown	phosphatase	ENSG00000146733	0	1.984983642	0	3.491370242	0	1.5063866	1.984983642	3.491370242
57486	NLN	neurolysin (metallopeptidase M3 family)	Cytoplasm	peptidase	ENSG00000123213	0	2.720251356	0	3.437732977	0	0.717481621	2.720251356	3.437732977
932	MS4A3	membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)	Plasma Membrane	other	ENSG00000149516	0.267803141	0	4.553864873	1.158206438	4.286061733	1.158206438	-0.267803141	-3.395658435
7371	UCK2	uridine-cytidine kinase 2	Cytoplasm	kinase	ENSG00000143179	0.196563949	2.483789849	1.0956622	4.485823476	0.899098251	2.002033628	2.2872259	3.390161276
79931	TNIP3	TNFAIP3 interacting protein 3	unknown	other	ENSG00000050730	0	0.295904422	0	3.382774972	0	3.086870551	0.295904422	3.382774972
3604	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	Plasma Membrane	other	ENSG00000049249	0	2.947118815	3.463393118	6.827928703	3.463393118	3.880809887	2.947118815	3.364535584
