Name	GenBank Accession No.	UniGene Cluster ID	Function	Fold Change
Opa-interacting protein 5	H54393	Hs.116206	Cell adhesion	9.6
Claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	H94482	Hs.110903	Cytoskeleton/morphology	2.7
Myxovirus (influenza) resistance 2, homolog of murine	AA286908	Hs.926	Immune response	10.3
Glucose-6-phosphate dehydrogenase	R87497	Hs.289108	Metabolism	12.2
2?,5?-Oligoadenylate synthetase 1	AA146773	Hs.82396	Metabolism/cell cycle/morphology	5.3
Tumor rejection antigen (gp96) 1	AA598758	Hs.82689	Protein processing/cell cycle	11.8
Pregnancy-associated plasma protein A	W84789	Hs.433703	Protein processing	9
Leptin receptor gene-related protein	H51066	Hs.23581	Protein processing	3.7
Ribosomal protein L10a	R01139	Hs.425293	Protein processing	2.2
Secreted phosphoprotein 2, 24 kDa	N54053	Hs.12230	Protein processing	2.1
Kallikrein 10	AA459401	Hs.69423	Protein processing/cell cycle	2.1
Sjogren syndrome antigen A1 (52 kDa, ribonucleoprotein autoantigen SS-A/Ro)	N45131	Hs.1042	RNA binding	13.5
TIA1 cytotoxic granule-associated RNA-binding protein-like 1	N59426	Hs.182741	RNA binding/cell cycle	2.8
Guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1	W92431	Hs.51147	Signal transduction	11
SKIP for skeletal muscle and kidney enriched inositol phosphatase	AA476625	Hs.178347	Signal transduction/morphology	10.4
Secreted frizzled-related protein 1	T68892	Hs.7306	Signal transduction/cell cycle/morphology	3.7
Potassium channel, subfamily K, member 1 (TWIK-1)	N62620	Hs.79351	Small molecule/ion transport	2.1
Coilin	W88740	Hs.966	Transcription factor/cell cycle	10.1
Nuclear receptor subfamily 0, group B, member 2	W90085	Hs.427055	Transcription factor/morphology	9
Transcription elongation factor B (SIII), polypeptide 2 (18 kDa, elongin B)	AA630017	Hs.172772	Transcription factor/cell cycle	3.3
Nuclear factor (erythroid-derived 2), 45 kDa	H58953	Hs.75643	Transcription factor/cell cycle	3
EBNA-2 coactivator (100 kDa)	AA017383	Hs.79093	Transcription factor	2.9
