Rank	GenBank	Name	Symbol	HepG2	Hep3B
1	NM_003244	TGFB-induced factor (TALE family homeobox)	TGIF	3.09	1.78
2	NM_006899	Isocitrate dehydrogenase 3 (NAD+) ß	IDH3B	3.41	2.15
3	BG354575	Cell division cycle associated 2	CDCA2	2.47	1.79
4	NM_022170	Williams-Beuren syndrome chromosome region 1	WBSCR1	2.33	1.75
5	AF163473	Protein phosphatase 2A, ß isoform	PPP2R1B	2.47	1.93
6	BG325046	TNF receptor-associated factor 3	TRAF3	2.13	1.72
7	NM_001096	ATP citrate lyase	ACLY	2.09	1.72
8	NM_001865	Cytochrome C oxidase subunit VIIa polypeptide 2	COX7A2	2.17	1.79
9	NM_012429	SEC14-like 2 (S. cerevisiae)	SEC14L2	2.17	1.8
10	BE253334	Cytochrome C oxidase subunit VIa polypeptide 1	COX6A1	2.08	1.74
11	NM_003503	CDC7 cell division cycle 7 (S. cerevisiae)	CDC7	2.03	1.75
12	NM_001443	Fatty acid binding protein 1, liver	FABP1	2.33	2.04
13	Z17227	Interleukin 10 receptor, ß	IL10RB	2.33	2.06
14	NM_003366	Ubiquinol-cytochrome C reductase core protein II	UQCRC2	2.37	2.26
15	AK000405	Ubiquitin-like 4	UBL4	2.09	2.27
16	NM_013238	DnaJ (Hsp40) homolog, subfamily D, member 1	DNAJD1	1.99	2.21
17	NM_003127	Spectrin, alpha, non-erythrocytic 1 (·-fodrin)	SPTAN1	1.91	2.17
18	NM_006328	RNA binding motif protein 14	RBM14	2	2.35
