Classification	GenBank ID	Name	Detached/ attached	Description
Apoptosis	NM_005165	ALDOC	2.61	Fructose-bisphosphate aldolase C
Apoptosis	NM_001124	ADM	4.01	Proadrenomedullin N-20 terminal peptide
Apoptosis	NM_004050	BCL2L2	2.69	Apoptosis regulator Bcl-W
Apoptosis	NM_020371	AVEN	;2.18	Apoptosis, caspase activation inhibitor
Apoptosis	NM_032730	RTN4IP1	;2.18	Reticulon 4 interacting protein 1;
Apoptosis	NM_003897	IER3	7.95	Radiation-inducible immediate-early gene IEX-1
Apoptosis	NM_004052	BNIP3	7.88	BCL2/adenovirus E1B 19 kDa interacting protein 3
Metabolism	NM_001216	CA9	10.31	Carbonic anhydrase IX precursor
Metabolism	NM_016109	ANGPTL4	16.29	Angiopoietin-related protein 4 precursor
Metabolism	NM_170665	ATP2A2	;2.01	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
Metabolism	NM_001975	ENO2	4.13	Gamma enolase
Metabolism	NM_004567	PFKFB4	9.37	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4
Metabolism	NM_015328	KIAA0828	2.31	Putative adenosylhomocysteinase 3
Metabolism	NM_198596	KIAA1247	4.11	Extracellular sulfatase Sulf-2 precursor
Transcription factor	NM_005252	FOS	6.04	Proto-oncogene protein c-fos
Transcription factor	NM_001731	BTG1	3.00	B-cell translocation protein 1
Transcription factor	NM_006079	CITED2	2.02	Cbp/p300-interacting transactivator 2
Transcription factor	NM_004083	DDIT3	2.16	Growth arrest and DNA-damage-inducible protein GADD153
Cell cycle	NM_002592	PCNA	;2.27	Proliferating cell nuclear antigen
Cell cycle	NM_057735	CCNE2	;2.60	Cyclin E2
Cell cycle	NM_004354	CCNG2	6.21	Cyclin G2
Cell cycle	NM_057182	CCNE1	;3.80	Cyclin E1
Proliferation	NM_004864	GDF15	4.84	Growth/differentiation factor 15 precursor
Proliferation	AF022375	VEGF	2.51	Vascular endothelial growth factor
Proliferation	NM_000598	IGFBP3	31.07	Insulin-like growth factor binding protein 3 precursor
Proliferation	NM_000213	ITGB4	3.19	Integrin beta-4 precursor
