Symbol	Gene Name	Cytoband	P value	Gene Function
ACOX2	Acyl-Coenzyme A oxidase 2, branched chain	3p14.3	4.9 E-3	Lipid metabolism
ALDH2	Aldehyde dehydrogenase 2 family (mitochondrial)	12q24.2	9.8 E-4	Alcohol metabolism
ALDH3B1	Aldehyde dehydrogenase 3 family, member B1	11q13	3.9 E-3	Alcohol metabolism
AREG	Amphiregulin (schwannoma-derived growth factor)	4q13-q21	1.4 E-4	Autocrine growth factor family member
CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	1q32	6.9 E-4	Immune response, protection of cells from complement mediated damage
CLDN10	Claudin 10	13q31-q34	2.9 E-3	Intercellular tight junctions
DGKD	Diacylglycerol kinase, delta 130kDa	2q37.1	1.0 E-3	Intercellular signalling, cell growth.
EGR1	Early growth response 1	5q31.1	2.5 E-3	Transcriptional regulation of genes involved in mitogenesis
MSLN	Mesothelin	16p13.3	4.61 E-5	Possible role in cell adhesion
MST1R	Macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	3p21.3	4.5 E-3	Cell motility, positive regulation of cell cycle
NPC2	Niemann-Pick disease, type C2	14q24.3	4.6 E-4	Regulation of cholesterol transport and storage
NR4A1	Nuclear receptor subfamily 4, group A, member 1	12q13	6.2 E-4	Transcription factor
PFDN1	Prefoldin subunit 1	5q31	1.5 E-3	Cell cycle, transcription factor activity, protein folding
PTGS2	Prostaglandin-endoperoxide synthase 2 (cyclo-oxygenase 2)	1q25.2-q25.3	3.1 E-3	Prostaglandin biosynthesis
ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5	2p11.2	1.4 E-3	Cell differentiation, cell proliferation, signal transduction.
TFPI2	Tissue factor pathway inhibitor 2	7q22	4.5 E-4	Matrix remodelling, coagulation
UPP1	Uridine phosphorylase 1	7p12.3	1.0 E-4	Nucleotide catabolism
