Gene name	Systematic Name	I	D
Shc1	NM_011368	1.5	1.2
Mapk11	NM_011161	1.3	NS
Mapk9	NM_016961	1.3	1.3
Mapk14	NM_011951	1.3	NS
Map2k1	NM_008927	1.2	1.2
Mapk10	AK076990	1.1	1.0
Map3k10	XM_887283	1.6	1.7
Map2k5	NM_011840	1.7	NS
Nras	NM_010937	NS	NS
Tgfb3	NM_009368	1.6	2.2
Fos	NM_010234	1.8	NS
Map3k6	Nm_016693	1.6	2.2
Mef2d	AK141270	0.8	NS
Map3k3	ENSMUST00000100328	0.9	NS
Tgfb1	NM_011577	0.8	NS
Creb1	NM_009952	0.8	0.8
Rps6kb1	AK028860	0.8	NS
Rps6ka5	NM_153587	0.8	0.8
Map4k4	NM_008696	0.7	NS
Traf2	NM_009422	0.8	NS
Raf1	NM_029780	0.7	NS
Map2k4	NM_009157	0.7	NS
Max	NM_008558	0.7	NS
Sp1	NM_013672	0.7	NS
Pak2	NM_177326	0.6	NS
Daxx	NM_007829	0.6	0.6
Pak1	NM_011035	0.8	0.7
Ripk1	NM_009068	0.6	0.7
Map3k11	NM_022012	0.5	0.6
Mapk7	NM_011841	0.5	0.6
Grb2	U07617	0.6	0.7
Map3k1	NM_011945	0.4	0.6
Mknk2	NM_021462	0.5	NS
Mapkapk2	NM_008551	0.5	0.5
Map3k5	NM_008580	0.5	0.4
Map3k14	NM_016896	0.4	0.4
Tgfb2	NM_009367	0.6	NS
Mapk13	NM_011950	0.5	0.4
Map3k8	D13759	0.3	0.3
Nfkb1	BC050841	0.2	0.4
