Agilent Human Microarray Probe Name	Probe Chromosomal Coordinates (hg19)	Gene Symbol	Gene Accession	Gene Name	GO Annotation	DNA-binding	Interpro Domaon	69 Zinc Finger	Sex-bias	Composite array score	Male/Female normalized ratio	Male/Female Fold-change	p-value	Microarray Signal Intensity1 (female)	Miccroarray Signal Intensity2 (male)
A_23_P117515	chr14:58838770-58838829	ARID4A	NM_023001	AT rich interactive domain 4A (RBP1-like)	molecular function|DNA binding|IDA|GO:0003677|GOA|15640446//molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|12724404//molecular function|protein binding|TAS|GO:0005515|GOA|1857421//molecular function|transcription factor activity|TAS|GO:0003700|GOA|8414517//molecular function|transcription repressor activity|IDA|GO:0016564|GOA|12724404//biological process|chromatin assembly or disassembly|IEA|GO:0006333|GOA|na//biological process|negative regulation of transcription, DNA-dependent|IDA|GO:0045892|GOA|12724404//biological process|negative regulation of transcription, DNA-dependent|IPI|GO:0045892|GOA|11283269//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|8414517//cellular component|chromatin|IEA|GO:0000785|GOA|na//cellular component|intracellular|IEA|GO:0005622|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|transcriptional repressor complex|IDA|GO:0017053|GOA|11283269//cellular component|transcriptional repressor complex|IPI|GO:0017053|GOA|12724404	Yes	IPR000953:Chromo domain,IPR001606:AT-rich interaction region,IPR002999:Tudor domain,IPR012603:RBB1NT,	0	F	15	0.8665	-1.1541	2.7665E-07	1093.0765	946.4949
A_23_P25305	chr12:103353454-103353513	ASCL1	NM_004316	Achaete-scute complex homolog 1 (Drosophila)	molecular function|E-box binding|IDA|GO:0070888|GOA|ARRAY(0xc7a5d0)//molecular function|bHLH transcription factor binding|IPI|GO:0043425|GOA|ARRAY(0x19c8358)//molecular function|protein binding|IPI|GO:0005515|GOA|10903890//molecular function|sequence-specific DNA binding|IEA|GO:0043565|GOA|na//molecular function|transcription factor activity|IDA|GO:0003700|GOA|10903890//biological process|Notch signaling pathway|IDA|GO:0007219|GOA|16160079//biological process|central nervous system neuron development|IEA|GO:0021954|GOA|na//biological process|cerebral cortex GABAergic interneuron differentiation|IEP|GO:0021892|GOA|12050665//biological process|cerebral cortex development|IEA|GO:0021987|GOA|na//biological process|lung epithelial cell differentiation|NAS|GO:0060487|GOA|12858003//biological process|negative regulation of apoptosis|IMP|GO:0043066|GOA|17507989//biological process|negative regulation of gene-specific transcription|IDA|GO:0032582|GOA|11736660//biological process|negative regulation of neuron differentiation|IDA|GO:0045665|GOA|12000752//biological process|neuroblast fate determination|IEA|GO:0007400|GOA|na//biological process|neuroblast proliferation|IEA|GO:0007405|GOA|na//biological process|neurogenesis|IDA|GO:0022008|GOA|19008346//biological process|neuron migration|IEA|GO:0001764|GOA|na//biological process|noradrenergic neuron fate commitment|IMP|GO:0003359|GOA|14532329//biological process|olfactory pit development|IEA|GO:0060166|GOA|na//biological process|oligodendrocyte cell fate commitment|IEA|GO:0021779|GOA|na//biological process|oligodendrocyte development|IEA|GO:0014003|GOA|na//biological process|pattern specification process|IEA|GO:0007389|GOA|na//biological process|positive regulation of Notch signaling pathway|IEA|GO:0045747|GOA|na//biological process|positive regulation of transcription from RNA polymerase II promoter|IDA|GO:0045944|GOA|10903890//biological process|regulation of timing of subpallium neuron differentiation|IEA|GO:0060165|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|response to retinoic acid|IEP|GO:0032526|GOA|12000752//biological process|spinal cord association neuron differentiation|IEA|GO:0021527|GOA|na//biological process|spinal cord oligodendrocyte cell fate specification|IEA|GO:0021530|GOA|na//biological process|subpallium neuron fate commitment|IEA|GO:0060163|GOA|na//biological process|sympathetic nervous system development|NAS|GO:0048485|GOA|10903890//cellular component|neuronal cell body|IEA|GO:0043025|GOA|na//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0xcf9aa4)	Yes	IPR001092:Basic helix-loop-helix dimerisation region bHLH,IPR011598:Helix-loop-helix DNA-binding,IPR015660:Achaete-scute transcription factor related,	0	F	16	0.1832	-5.4584	0	461.6575	78.736
A_24_P367666	chr1:155448859-155448918	ASH1L	NM_018489	Ash1 (absent, small, or homeotic)-like (Drosophila)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|RNA polymerase II transcription factor activity|TAS|GO:0003702|GOA|10860993//molecular function|histone-lysine N-methyltransferase activity|IEA|GO:0018024|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|methyltransferase activity|IEA|GO:0008168|GOA|na//molecular function|protein binding|IEA|GO:0005515|GOA|na//molecular function|transferase activity|IEA|GO:0016740|GOA|na//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|DNA packaging|TAS|GO:0006323|GOA|10860993//biological process|cell-cell signaling|TAS|GO:0007267|GOA|10860993//biological process|chromatin modification|IEA|GO:0016568|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//biological process|transcription from RNA polymerase II promoter|TAS|GO:0006366|GOA|10860993//cellular component|cell junction|IEA|GO:0030054|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na//cellular component|tight junction|IEA|GO:0005923|GOA|na	Yes	IPR001025:Bromo adjacent region,IPR001214:SET,IPR001487:Bromodomain,IPR001965:Zinc finger, PHD-type,IPR003616:Post-SET zinc-binding region,IPR006560:AWS,IPR017956:AT hook, DNA-binding, conserved site,IPR018359:Bromodomain, conserved site,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,	1	F	15	0.7078	-1.4129	6.6498E-07	240.5105	165.2097
A_32_P386298	chr18:31263426-31263485	ASXL3	NM_030632	Additional sex combs like 3 (Drosophila)	molecular function|metal ion binding|IEA|GO:0046872|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR019786:Zinc finger, PHD-type, conserved site,	1	F	15	0.6758	-1.4796	3.0979E-06	6.3994	4.3679
A_23_P216068	chr8:124333308-124333367	ATAD2	NM_014109	ATPase family, AAA domain containing 2	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|ATPase activity, uncoupled|IEA|GO:0042624|GOA|na//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|nucleoside-triphosphatase activity|IEA|GO:0017111|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	IPR001487:Bromodomain,IPR003593:ATPase, AAA+ type, core,IPR003959:ATPase, AAA-type, core,IPR003960:ATPase, AAA-type, conserved site,IPR008895:YL1 nuclear,IPR018359:Bromodomain, conserved site,	0	M	14	1.1807	1.1807	3.1845E-09	992.967	1171.2097
A_24_P923757	chr12:14577680-14577739	ATF7IP	NM_018179	Activating transcription factor 7 interacting protein	molecular function|ATPase activity|IEA|GO:0016887|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x185101c)//molecular function|transcription corepressor activity|IEA|GO:0003714|GOA|na//biological process|DNA methylation|IDA|GO:0006306|GOA|12665582//biological process|interspecies interaction between organisms|IEA|GO:0044419|GOA|na//biological process|negative regulation of transcription from RNA polymerase II promoter|IEA|GO:0000122|GOA|na//biological process|negative regulation of transcription, DNA-dependent|IDA|GO:0045892|GOA|12665582//biological process|positive regulation of transcription, DNA-dependent|IDA|GO:0045893|GOA|12665582//biological process|regulation of RNA polymerase II transcriptional preinitiation complex assembly|IDA|GO:0045898|GOA|12665582//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|cytoplasm|IDA|GO:0005737|GOA|18029348//cellular component|nucleus|IDA|GO:0005634|GOA|ARRAY(0x437b744)//cellular component|transcription factor complex|IEA|GO:0005667|GOA|na	No	IPR003961:Fibronectin, type III,	0	F	15	0.7719	-1.2955	1.0351E-09	105.9062	81.0966
A_24_P341987	chr16:10525185-10525244	ATF7IP2	NM_024997	Activating transcription factor 7 interacting protein 2	biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	No	0	0	F	14	0.8413	-1.1886	5.0314E-11	90.9753	76.6672
A_24_P128041	chrX:76953070-76953105	ATRX	NM_138270	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	molecular function|ATP binding|IEA|GO:0005524|GOA|na//molecular function|DNA binding|IEA|GO:0003677|GOA|na//molecular function|DNA helicase activity|TAS|GO:0003678|GOA|7697714//molecular function|chromatin binding|IEA|GO:0003682|GOA|na//molecular function|chromo shadow domain binding|IPI|GO:0070087|GOA|15882967//molecular function|helicase activity|TAS|GO:0004386|GOA|7874112//molecular function|hydrolase activity|IEA|GO:0016787|GOA|na//molecular function|metal ion binding|IEA|GO:0046872|GOA|na//molecular function|nucleotide binding|IEA|GO:0000166|GOA|na//molecular function|protein binding|IPI|GO:0005515|GOA|ARRAY(0x153b1cc)//molecular function|zinc ion binding|IEA|GO:0008270|GOA|na//biological process|DNA methylation|TAS|GO:0006306|GOA|10742099//biological process|DNA recombination|TAS|GO:0006310|GOA|7697714//biological process|DNA repair|IEA|GO:0006281|GOA|na//biological process|forebrain development|IEA|GO:0030900|GOA|na//biological process|regulation of transcription, DNA-dependent|TAS|GO:0006355|GOA|7697714//cellular component|nuclear chromosome|IEA|GO:0000228|GOA|na//cellular component|nuclear heterochromatin|TAS|GO:0005720|GOA|10570185//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR000330:SNF2-related,IPR000679:Zinc finger, GATA-type,IPR001650:DNA/RNA helicase, C-terminal,IPR001841:Zinc finger, RING-type,IPR014001:DEAD-like helicase, N-terminal,IPR014021:Helicase, superfamily 1 and 2, ATP-binding,IPR019786:Zinc finger, PHD-type, conserved site,	1	F	15	0.7533	-1.3274	2.2541E-06	490.5544	364.4779
A_32_P22191	chr3:107364682-107364725	BBX	NM_020235	Bobby sox homolog (Drosophila)	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR000910:High mobility group, HMG1/HMG2,IPR019102:Transcription factor, HMG box, BBX, region of unknown function DUF2028,	0	F	15	0.8691	-1.1507	1.5114E-06	275.6216	240.4199
A_24_P42316	chr5:70782427-70785262	BDP1	NM_018429	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	molecular function|DNA binding|IEA|GO:0003677|GOA|na//biological process|regulation of transcription|IEA|GO:0045449|GOA|na//cellular component|nucleus|IEA|GO:0005634|GOA|na	Yes	IPR001005:SANT, DNA-binding,IPR014778:Myb, DNA-binding,	0	F	14	0.8109	-1.2331	0.0012	803.9424	661.8099
