Gene	Product	Fold-change(Logbase2)	Function	Genomic location
PCDH7	Protocadherin 7	7.9	Cell adhesion	4p15
NRXN3	Neurexin 3	7.7	Cell adhesion	14q31
TPTE/PTEN2	Transmembrane phosphatase with tensinhomology	5.4	Signal transduction	21p11
EPHA3	EPH receptor A3	5.3	Signal transduction	3p11.2
TSPY	Testis specific protein, Y-linked	4.5	Hormone-response	Yp11.2
HGF	Hepatocyte growth factor	4.4	Signal transduction	7q21.1
PKIA	Protein kinase inhibitor alpha	4.4	Signal transduction	8q21.12
PRLR	Prolactin receptor	3.8	Signal transduction	5p14-p13
NR2F1	Nuclear receptor subfamily 2, group f, member 1	3.6	Hormone-response	5q14
TNS	Tensin	3.6	Signal transduction, cell migration	2q35-q36
MET	Hepatocyte growth factor receptor	3.2	Signal transduction	7q31
CALN1	Calneuron 1	3.2	Calcium-binding protein	7q11
ADAM-TS3	A disintegrin and metalloprotease with thrombospondin motifs-3	3.1	propeptidase	4q13.3
NPL4	Nuclear protein localization 4	3	Protein trafficking	17qter
MYO3A	Myosin IIIA	3	Actin-dependent motor protein	10p11.1
GNA11	Guanine nucleotide binding protein (Gprotein), alpha 11	2.8	Signal transduction	19p13.3
GAGEB1/PA GE1	P antigen family, member 1 (prostate associated)	2.7	Tumor-linked protein, function unknown	Xp11.23
AKAP9	A kinase anchor protein 1	2.6	Signal transduction	17q21-q23
TCF4	Transcription factor 4	2.6	Signal transduction	18q21.1
MYLK	Myosin, light polypeptide kinase	2.6	cell migration	3q21
KLK2	Kallikrein 2	2.4	peptidase	19q13.41
HOXA10	Homeo box A10	2.3	Signal transduction	7p15-p14
DDR2	Discoidin domain receptor family, member 2	2.2	Signal transduction	1q12-q23
EGF	Epidermal growth factor	2.2	Cell growth	4q25
TEM8	Tumor endothelial marker 8	2.1	angiogenesis	2p13.1
XAGE-1	X antigen family, member 1	2	Cancer/testis-associated gene, unknown function	Xp11.22-p11.21
GAS2	Growth arrest-specific 2	2	Regulation of cell shape, apoptosis	11p14.3-p15.2
