Gene Name	Description	RefSeq ID	Fold Change	FDR
FUT1	Homo sapiens fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase) (FUT1), mRNA	NM_000148	20.5	104.093
KLHDC7B	kelch domain containing 7		18.9	141.939
KLF4	Homo sapiens Kruppel-like factor 4 (gut) (KLF4), mRNA	NM_004235	15.1	142.628
FLJ22761	Homo sapiens hypothetical protein FLJ22761 (FLJ22761), mRNA	NM_025130	14.7	68.516
FLNC	Homo sapiens filamin C, gamma (actin binding protein 280) (FLNC), mRNA	NM_001458	13.4	1160.198
ANKRD1	Homo sapiens ankyrin repeat domain 1 (cardiac muscle) (ANKRD1), mRNA	NM_014391	12.1	351.262
AREG	Homo sapiens amphiregulin (schwannoma-derived growth factor) (AREG), mRNA	NM_001657	11.6	229.813
FLJ43339	Homo sapiens FLJ43339 protein (FLJ43339), mRNA	NM_207380	10.7	22.677
INHBA	Homo sapiens inhibin, beta A (activin A, activin AB alpha polypeptide) (INHBA), mRNA	NM_002192	7.7	14.188
MGC4504	Homo sapiens hypothetical protein MGC4504 (MGC4504), mRNA	NM_024111	7.5	278.164
C1orf24	Homo sapiens chromosome 1 open reading frame 24 (C1orf24), mRNA	NM_052966	7.2	63.368
MIST1	Homo sapiens class II bHLH protein MIST1 (MIST1), mRNA	NM_177455	7.0	84.426
ALPK3	Homo sapiens alpha-kinase 3 (ALPK3), mRNA	NM_020778	6.8	202.422
INHBE	Homo sapiens inhibin, beta E (INHBE), mRNA	NM_031479	6.4	1324.331
UNC5B	Homo sapiens unc-5 homolog B (C. elegans) (UNC5B), mRNA	NM_170744	6.2	265.313
LTBP1	Homo sapiens latent transforming growth factor beta binding protein 1 (LTBP1), transcript variant 2, mRNA	NM_000627	6.1	129.491
HDAC9	Homo sapiens histone deacetylase 9 (HDAC9), transcript variant 2, mRNA	NM_058177	6.1	137.831
HDAC9	Homo sapiens histone deacetylase 9 (HDAC9), transcript variant 1, mRNA	NM_058176	6.1	137.831
ZXDA	Homo sapiens zinc finger, X-linked, duplicated A (ZXDA), mRNA	NM_007156	6.0	47.217
ULBP1	Homo sapiens UL16 binding protein 1 (ULBP1), mRNA	NM_025218	6.0	37.657
GDF15	Homo sapiens growth differentiation factor 15 (GDF15), mRNA	NM_004864	5.9	958.298
CAM-KIIN	Homo sapiens CaM-KII inhibitory protein (CAM-KIIN), mRNA	NM_033259	5.7	17.248
IL17RD	Homo sapiens interleukin 17 receptor D (IL17RD), mRNA	NM_017563	5.7	17.248
TAF1L	Homo sapiens TAF1-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa (TAF1L), mRNA	NM_153809	5.5	41.058
ENST00000261862	Homo sapiens cDNA FLJ27224 fis, clone SYN04819.	AK130734	5.5	65.613
FLJ13710	Homo sapiens hypothetical protein FLJ13710 (FLJ13710), mRNA	NM_024817	5.5	65.613
RASGEF1B	Homo sapiens RasGEF domain family, member 1B (RASGEF1B), mRNA	NM_152545	5.4	39.536
LOC387758	Homo sapiens similar to RIKEN cDNA 1110018M03 (LOC387758), mRNA	NM_203371	5.4	23.547
RRAD	Homo sapiens Ras-related associated with diabetes (RRAD), mRNA	NM_004165	5.4	15.662
HGNT-IV-H	Homo sapiens UDP-N-acetylglucosamine:a-1,3-D-mannoside beta-1,4-N-acetylglucosaminyltransferase IV (HGNT-IV-H), mRNA	NM_013244	5.4	15.662
FLJ13955	Homo sapiens hypothetical protein FLJ13955 (FLJ13955), mRNA	NM_024759	5.2	44.660
APS	Homo sapiens adaptor protein with pleckstrin homology and src homology 2 domains (APS), mRNA	NM_020979	5.2	22.089
