Gene Name	GenBank Accession No.	UniGene Cluster ID	Function	Signal, AU
Human pre-T/NK cell associated protein (3B3) mRNA, 3? end	R55188	Hs.143288	Differentiation	239
Ubiquitin-conjugating enzyme E2I (homologous to yeast UBC9)	AA487197	Hs.84285	Protein processing	222
CDC28 protein kinase 1	AA459292	Hs.380768	Cell cycle (signal transduction)	213
D-Dopachrome tautomerase	AA397824	Hs.180015	Metabolism	197
Phosphatidylinositol 4,5-bisphosphate 5-phosphatase, A	AA772066	Hs.439210	Signal transduction	191
BENE protein	AA778392	Hs.185055	Membrane trafficking	191
Phosphodiesterase 6H, cGMP-specific, cone, gamma	AA707922	Hs.54471	Signal transduction	190
Fanconi anemia, complementation group G	AA430675	Hs.8047	Cell cycle	183
Carbonic anhydrase VA, mitochondrial	AA699469	Hs.177446	Metabolism	183
Cut (Drosophila)-like 1	AA292536	Hs.147049	Differentiation	181
Suppression of tumorigenicity 16 (melanoma differentiation)	AA281635	Hs.315463	Apoptosis	172
pM5 protein	AA629923	Hs.227823	Matrix regulation	171
Cytochrome c oxidase subunit VIIc	AA629719	Hs.430075	Metabolism (energy generation)	171
Proteasome (prosome, macropain) subunit, alpha type, 1	R27585	Hs.82159	Protein processing	165
Kinesin family member 5B	AA046690	Hs.149436	Cytoskeleton	162
COP9 (constitutive photomorphogenic,Arabidopsis, homolog) subunit 5	AA461527	Hs.380969	Transcription factor	156
Phosphoinositide-3-kinase, catalytic, delta polypeptide	AA281784	Hs.162808	Signal transduction	155
Multiple endocrine neoplasia I	AA243439	Hs.423348	Cell cycle	155
c-mer proto-oncogene tyrosine kinase	AA436564	Hs.117078	Signal transduction	155
Adaptor-related protein complex 1, gamma 1 subunit	N78621	Hs.5344	Protein processing	155
Lectin, galactoside-binding, soluble, 2 (galectin 2)	AA872397	Hs.113987	Cell cycle	153
Major histocompatibility complex, class I, A	AA644657	Hs.181244	Immune system	149
Chaperonin containing TCP1, subunit 6B (zeta 2)	AA812973	Hs.73072	Protein processing	148
Major histocompatibility complex, class II, DQ beta 1	AA669055	Hs.73931	Immune system	146
Testis specific protein, Y-linked	AA608988	Hs.2051	Cell cycle	144
Rho GTPase activating protein 1	AA427934	Hs.138860	Cytoskeleton (signal transduction)	143
Colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	N92646	Hs.520937	Differentiation	140
CDC28 protein kinase 2	AA397813	Hs.83758	Cell cycle (signal transduction)	139
Vertebrate LIN7 homolog 1, Tax interaction protein 33	AA757170	Hs.416087	Exocytosis	139
Calponin 3, acidic	AA043228	Hs.194662	Cytoskeleton	138
Profilin 1	AA521431	Hs.408943	Cytoskeleton	137
Myeloid cell nuclear differentiation antigen	N29376	Hs.153837	Immune response	136
Protease, serine, 2 (trypsin 2)	AA284528	Hs.241561	Protease/protein degradation	133
Villin 2 (ezrin)	AA411440	Hs.155191	Differentiation	133
Annexin A6	AA872001	Hs.118796	Exo and endocytosis	132
Spi-B transcription factor (Spi-1/PU.1 related)	N71628	Hs.192861	Transcription factor	131
Estrogen-related receptor alpha	AA098896	Hs.110849	Transcription regulator	130
Mitogen-activated protein kinase kinase 3	AA829383	Hs.180533	Signal transduction	130
Glutathione peroxidase 3 (plasma)	AA664180	Hs.386793	Antioxidant	129
Prefoldin 4	AA253430	Hs.91161	Protein processing (protein folding)	128
Neural cell adhesion molecule 2	AA709271	Hs.177691	Cell-cell interaction	128
Primase, polypeptide 2A (58 kDa)	AA434404	Hs.74519	Cell cycle (DNA replication)	128
Ankyrin 1, erythrocytic	AA464755	Hs.183805	Cytoskeleton (attaches cell membrane to cytoskeleton, involved in motility, activation, proliferation)	127
Golgi autoantigen, golgin subfamily a, 2	AA424786	Hs.24049	Protein processing (targets proteins to Golgi apparatus)	126
Nidogen (enactin)	AA709414	Hs.356624	Cell-matrix interaction (differentiation; binds to coll IV and laminin)	126
GT198, complete ORF	AA134555	Hs.279032	TNF-alpha binding protein	125
Guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3	AA490256	Hs.73799	Signal transduction	124
Heterogeneous nuclear ribonucleoprotein F	AA490991	Hs.808	Transcriptional regulation (processing of pre-mRNA)	123
Adenosine deaminase, RNA-specific	AA600189	Hs.7957	RNA editing	123
PDGF associated protein	AA490300	Hs.278426	Cell cycle (enhances PDGFA proliferation; suppresses PDGFB proliferation)	123
