Probe Set ID	Gene Description	Gene Symbol
202424_at	mitogen-activated protein kinase kinase 2	MAP2K2
213487_at	Mitogen-activated protein kinase kinase 2	MAP2K2
213490_s_at	mitogen-activated protein kinase kinase 2	MAP2K2
201244_s_at	v-raf-1 murine leukemia viral oncogene homolog 1	RAF1
212983_at	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	HRAS
201469_s_at	SHC (Src homology 2 domain containing) transforming protein 1	SHC1
214853_s_at	SHC (Src homology 2 domain containing) transforming protein 1	SHC1
217048_at
201983_s_at	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR
201984_s_at	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR
210984_x_at	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR
211550_at	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR
211551_at	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR
211607_x_at	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	EGFR
204686_at	insulin receptor substrate 1	IRS1
204369_at	phosphoinositide-3-kinase, catalytic, alpha polypeptide	PIK3CA
212688_at	phosphoinositide-3-kinase, catalytic, beta polypeptide	PIK3CB
217620_s_at	phosphoinositide-3-kinase, catalytic, beta polypeptide	PIK3CB
203879_at	phosphoinositide-3-kinase, catalytic, delta polypeptide	PIK3CD
211230_s_at	phosphoinositide-3-kinase, catalytic, delta polypeptide	PIK3CD
203379_at	ribosomal protein S6 kinase, 90kDa, polypeptide 1	RPS6KA1
204906_at	ribosomal protein S6 kinase, 90kDa, polypeptide 2	RPS6KA2
212912_at	ribosomal protein S6 kinase, 90kDa, polypeptide 2	RPS6KA2
203843_at	ribosomal protein S6 kinase, 90kDa, polypeptide 3	RPS6KA3
1861_at	BCL2-antagonist of cell death	BAD
209364_at	BCL2-antagonist of cell death	BAD
206665_s_at	BCL2-like 1	BCL2L1
212312_at	BCL2-like 1	BCL2L1
215037_s_at	BCL2-like 1	BCL2L1
208478_s_at	BCL2-associated X protein	BAX
211833_s_at	BCL2-associated X protein	BAX
207163_s_at	v-akt murine thymoma viral oncogene homolog 1	AKT1
203808_at
203809_s_at	v-akt murine thymoma viral oncogene homolog 2	AKT2
211453_s_at	v-akt murine thymoma viral oncogene homolog 2	AKT2
212607_at	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
212609_s_at	V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
219393_s_at	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3
200744_s_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1
200745_s_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1
200746_s_at	guanine nucleotide binding protein (G protein), beta polypeptide 1	GNB1
200852_x_at	guanine nucleotide binding protein (G protein), beta polypeptide 2	GNB2
217450_at
206047_at	guanine nucleotide binding protein (G protein), beta polypeptide 3	GNB3
204000_at	guanine nucleotide binding protein (G protein), beta 5	GNB5
207124_s_at	guanine nucleotide binding protein (G protein), beta 5	GNB5
211871_x_at	guanine nucleotide binding protein (G protein), beta 5	GNB5
201921_at	guanine nucleotide binding protein (G protein), gamma 10 /// hypothetical protein LOC552891	GNG10 /// LOC552891
204115_at	guanine nucleotide binding protein (G protein), gamma 11	GNG11
212294_at	guanine nucleotide binding protein (G protein), gamma 12	GNG12
220806_x_at	guanine nucleotide binding protein (G protein), gamma 13	GNG13
222005_s_at	guanine nucleotide binding protein (G protein), gamma 3	GNG3
205184_at	guanine nucleotide binding protein (G protein), gamma 4	GNG4
207157_s_at	guanine nucleotide binding protein (G protein), gamma 5	GNG5
206896_s_at	guanine nucleotide binding protein (G protein), gamma 7	GNG7
214227_at	Guanine nucleotide binding protein (G protein), gamma 7	GNG7
217327_at
207166_at	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	GNGT1
203966_s_at	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	PPM1A
210407_at	protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform	PPM1A
209296_at	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	PPM1B
213225_at	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	PPM1B
204566_at	protein phosphatase 1D magnesium-dependent, delta isoform	PPM1D
203063_at	protein phosphatase 1F (PP2C domain containing)	PPM1F
37384_at	protein phosphatase 1F (PP2C domain containing)	PPM1F
200913_at	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	PPM1G
218273_s_at	protein phosphatase 2C, magnesium-dependent, catalytic subunit	PPM2C
205867_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
205868_s_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
209895_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
209896_s_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
212610_at	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	PTPN11
200780_x_at	GNAS complex locus	GNAS
200981_x_at	GNAS complex locus	GNAS
211858_x_at	GNAS complex locus	GNAS
212273_x_at	GNAS complex locus	GNAS
214157_at	GNAS complex locus	GNAS
214548_x_at	GNAS complex locus	GNAS
217057_s_at	GNAS complex locus	GNAS
217058_at	GNAS complex locus	GNAS
217673_x_at	GNAS complex locus	GNAS
200603_at	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	PRKAR1A
200604_s_at	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	PRKAR1A
200605_s_at	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	PRKAR1A
212555_at	protein kinase, cAMP-dependent, regulatory, type I, beta	PRKAR1B
212559_at	protein kinase, cAMP-dependent, regulatory, type I, beta	PRKAR1B
204842_x_at	protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A
204843_s_at	protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A
213052_at	Protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A
203680_at	protein kinase, cAMP-dependent, regulatory, type II, beta	PRKAR2B
203213_at	cell division cycle 2, G1 to S and G2 to M	CDC2
203214_x_at	cell division cycle 2, G1 to S and G2 to M	CDC2
210559_s_at	cell division cycle 2, G1 to S and G2 to M	CDC2
202801_at	protein kinase, cAMP-dependent, catalytic, alpha	PRKACA
216234_s_at	protein kinase, cAMP-dependent, catalytic, alpha /// similar to protein kinase, cAMP-dependent, catalytic, gamma	LOC730418 /// PRKACA
202741_at	protein kinase, cAMP-dependent, catalytic, beta	PRKACB
202742_s_at	protein kinase, cAMP-dependent, catalytic, beta	PRKACB
207228_at	protein kinase, cAMP-dependent, catalytic, gamma	PRKACG
