Gen Bank ID	Description	Gene name	Fold change (S1-S10)
NM_002343.1	Lactotransferrin	LTF	149.63
M33326.1	Carcinoembryonic antigen-related cell adhesion molecule 8	CEACAM8	97.29
NM_005564.1	Lipocalin 2	LCN2	80.4
NM_004660.2	S100 calcium binding protein A9	S100A9	65.39
NM_001725.1	Bactericidal permeability-increasing protein	BPI	49.94
NM_005091.1	Peptidoglycan recognition protein	PGLYRP	47.86
NM_001925.1	Defensin alpha 4	DEFA4	46.88
U19970.1	Antimicrobial LPS-binding protein CAP18	CAMP	43.36
NM_005980.1	S100 calcium-binding protein P	S100P	39.52
NM_005143.1	Haptoglobin	HP	34.78
NM_004084.2	Defensin alpha 1	DEFA1	29.51
NM_006865.1	Leukocyte immunoglobulin-like receptor, subfamily A, member 3	LILRA3	19.43
NM_002870.1	RAS oncogene family (RAB13)	RAB13	14.85
NM_003064.1	Secretory leukocyte protease inhibitor	SLPI	11.35
NM_000265.1	Neutrophil cytosolic factor 1	NCF1	11.3
NM_000634.1	Interleukin 8 receptor alpha	IL8RA	10.85
AL138717	Rag D protein	RAGD	7.84
BG327863	CD24 antigen	CD24	7.69
NM_000419.2	integrin, alpha 2b (antigen CD41B)	ITGA2B	5.5
NM_001828.3	Charot-Leyden crystal protein	CLC	5.47
AI078167	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	NFKBIA	5.21
NM_005621.1	S100 calcium-binding protein A12	S100A12	5.05
NM_003255.2	Tissue inhibitor of metalloproteinase 2	TIMP2	4.93
NM_002029.1	Formyl peptide receptor 1	FPR1	4.59
NM_005384.1	Nuclear factor, interleukin 3 regulated	NFIL3	4.5
M25915.1	Complement cytolysis inhibitor (CLI)	CLU	4.07
NM_002965.2	S100 calcium-binding protein A9	S100A9	4.05
NM_014214.1	Inositol (myo)-1(or 4)-monophosphatase 2	IMPA2	3.95
NM_003189.1	T-cell acute lymphocytic leukemia 1	TAL1	3.94
U62027.1	C3a receptor	C3AR1	3.83
NM_001150	Alanyl (membrane) aminopeptidase	ANPEP	3.83
BE789881	RAS oncogene family	RAB31	3.75
NM_001769.1	CD9 antigen (p24)	CD9	3.73
NM_014358.1	C-type lectin, superfamily member 9	CLECSF9	3.53
NM_006834.1	RAS oncogene family member (RAB32)	RAB32	3.4
J04162.1	Leukocyte IgG receptor (Fc-gamma-R)	FCGR3A	3.32
NM_006866.1	Lleukocyte immunoglobulin-like receptor, subfamily A2	LILRA2	3.3
U41070.1	Leukotriene b4 receptor	LTB4R	3.23
NM_000632.2	Integrin, alpha M	ITGAM	3.2
BC003393.1	Phosphoinositide-3-kinase, catalytic, beta polypeptide	PIK3CB	3.13
NM_002432.1	Myeloid cell nuclear differentiation antigen	MNDA	3.08
NM_003264.1	Toll-like receptor 2	TLR2	3.05
NM_004475.1	Flotillin 2	FLOT2	3.04
NM_003461.1	Zyxin	ZYX	2.96
NM_003897.1	Immediate early response 3	IER3	2.91
AF119873.1	Serine (or cysteine) proteinase inhibitor alpha-1	SERPINA1	2.87
NM_016205.1	Platelet derived growth factor C	PDGFC	2.74
NM_005479.1	Frequently rearranged in advanced T-cell lymphomas	FRAT1	2.72
AV756141	Colony stimulating factor 2 receptor beta	CSF2RB	2.71
NM_006019.1	T-cell, immune regulator 1	TCIRG1	2.59
J02959.1	Leukotriene A-4 hydrolase	LTA4H	2.59
BC004188.1	Tubulin, beta, 2	TUBB2	2.57
NM_001780.1	CD63 antigen	CD63	2.53
NM_003254.1	Tissue inhibitor of metalloproteinase 1	TIMP1	2.37
AF070673.1	Stannin	SNN	2.35
BC003570.1	Similar to vesicle-associated membrane protein 3	VAMP3	2.31
