Gene Symbol	Gene Title	Entrez Gene ID	Chromosomal Location	Ratio PRI-BR	Ttest PRI-BR	Ratio PRI-MET	Ttest PRI-MET
HDAC1	histone deacetylase 1	3065	1p34	0.89	0.18313	1.13	0.20977
HDAC2	histone deacetylase 2	3066	6q21	1.21	0.07163	1.13	0.36416
HDAC3	histone deacetylase 3	8841	5q31	1.03	0.82389	1.35	0.02611
HDAC4	histone deacetylase 4	9759	2q37.3	0.85	0.2014	1.16	0.2489
HDAC5	histone deacetylase 5	10014	17q21	1.42	0.00002	0.88	0.20375
HDAC6	histone deacetylase 6	10013	Xp11.23	1.12	0.41446	1.13	0.44684
HDAC7A	Histone deacetylase 7A	51564	12q13.1	2.07	0.00015	0.71	0.16774
HDAC8	histone deacetylase 8	55869	Xq13	0.78	0.23055	1.17	0.3951
HDAC9	histone deacetylase 9	9734	7p21.1	1.34	0.74409	1.49	0.63287
HDAC10	histone deacetylase 10	83933	22q13.31	1.27	0.61065	1.07	0.87114
HDAC11	histone deacetylase 11	79885	3p25.1	1	N/A	1	0.06894
SIRT1	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	23411	10q21.3	0.58	0.00003	1.02	0.8811
SIRT2	sirtuin (silent mating type information regulation 2 homolog) 2 (S. cerevisiae)	22933	19q13	1.1	0.48855	0.93	0.62789
