Genes up-regulated by TNF-?	Accession no.	Fold-change or grade of expression over background in wild-type HUVECsa	P	Induction dependent on IKK2/NF-?B, %	Induction dependent on p38 MAP kinase, %	Function
IL-8	AF043337.1	17.3	< .001	100	53.1	Chemokines/cytokines
Bone morphogenetic protein 2	AA583044	4.8	< .001	77.4	50.9	Chemokines/cytokines
Inhibin beta Ab	M13436.1	3.1	< .001	100	44.7	Chemokines/cytokines
CXCL6c	NM_002993.1	2.7	< .001	100	No	Chemokines/cytokines
Fraktalkined	NM_002996.1	25	< .05	100	No	Chemokines/cytokines
VCAM-1	NM_001078.1	38.1	< .001	100	52.7	Cell-surface receptors
E-selectin	NM_000450.1	35.7	< .001	100	No	Cell-surface receptors
ICAM-1	NM_000201.1	22.1	< .001	100	No	Cell-surface receptors
CD137 antigene	NM_001561.2	3	< .001	ND	No	Cell-surface receptors
CD69 antigen	L07555.1	10	< .05	100	No	Cell-surface receptors
Coagulation factor IIIf	NM_001993.2	10	< .05	ND	100	Coagulation
Cyclo-oxygenase 2g	NM_000963.1	2.9	< .005	ND	100	Inflammation/immune response
Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alphah	AI078167	7.4	< .001	100	No	Signaling/transcription
Jagged 1	U77914.1	5	< .001	100	No	Signaling/transcription
Nef-associated factor 1i	NM_006058.1	4.7	< .001	100	No	Signaling/transcription
Ephrin-A1j	NM_004428.1	4.5	< .001	78.9	No	Signaling/transcription
Jun B proto-oncogene	NM_002229.1	3.2	< .001	No	No	Signaling/transcription
Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2k	BC002844.1	3	< .05492	100	No	Signaling/transcription
Nuclear receptor interacting protein 1l	A1824012	2.9	< .001	100	44	Signaling/transcription
TNF-?-induced protein 3m	NM_006290.1	13	< .001	100	No	Apoptosis/cell proliferation
TRAILn	NM_003810.1	4	< .005	ND	46.4	Apoptosis/cell proliferation
c-IAP-2o	U37546.1	10	< .05	100	No	Apoptosis/cell proliferation
Guanylate binding protein 1, interferon-inducible, 67 kDa	NM_002053.1	3.6	< .001	100	49.3	Metabolism
Transporter 1, ATP-binding cassette, subfamily B	NM_000593.2	5	< .05	100	No	Transporters/channels
HIV type 1 enhancer binding protein 2p	AL023584	4	< .001	66	No	Others
