Probe set	Gene symbol	Gene title
202637_s_at	ICAM-1	Intercellular adhesion molecule 1
203083_at	THBS2	Thrombospondin 2
203434_s_at	MME	Membrane metallo-endopeptidase
206825_at	OXTR	Oxytocin receptor
208591_s_at	PDE3B	Phosphodiesterase 3B, cGMP-inhibited
208791_at; 208792_s_at	CLU	Clusterin
210121_at	B3GALT2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
211742_s_at	EVI2B	Ecotropic viral integration site 2B
212865_s_at; 216866_s_at	COL14A1	Collagen, type XIV, alpha 1
214240_at	GAL	Galanin prepropeptide
220603_s_at	MCTP2	Multiple C2 domains, transmembrane 2
